ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_wssv_1	hemocytes_wssv_2	hemocytes_wssv_3	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_wssv_1_normalized	hemocytes_wssv_2_normalized	hemocytes_wssv_3_normalized	Expression
XM_027356981.1	6397.55047757108	-7.11736150858677	0.586628316588533	-12.1326593131012	7.09087074200756e-34	1.01895812562649e-29	9612	9624	6523	252	21	143	9160.14091946386	18102.6627147955	10848.3314037448	177.149808911041	17.2389655531604	79.7790529581122	Up_hemocytes_Down_hemocytes_wssv
XM_027379490.1	8029.17888535729	-4.71433821347437	0.40935537920376	-11.5164926442258	1.08956352561742e-30	7.82851393156117e-27	11333	12336	7458	1259	492	858	10800.2368955768	23203.9118089898	12403.3198848886	885.046069123018	403.884335816901	478.674317748674	Up_hemocytes_Down_hemocytes_wssv
XM_027363874.1	1802.07562183595	-4.67296107106239	0.438285704904427	-10.6619061921752	1.53420244245403e-26	7.34882969935481e-23	2045	2455	2308	281	85	251	1948.86477115102	4617.8342648403	3838.41006896258	197.536096444454	69.7767653342206	140.03176428312	Up_hemocytes_Down_hemocytes_wssv
XM_027379151.1	51416.3015110818	-3.2883978508653	0.323027701301144	-10.1799252436238	2.43748557345396e-24	8.75666692263337e-21	69402	61841	58561	12951	14464	13741	66139.4194852924	116322.398685128	97392.1715981445	9104.23482224957	11873.5427505196	7666.04172515679	Up_hemocytes_Down_hemocytes_wssv
XM_027355035.1	38898.553055619	-3.35899691677802	0.335888980707855	-10.0003188842315	1.51907104868397e-23	4.36581019391773e-20	57271	47399	41446	13101	7983	8898	54578.6964834181	89157.1186636111	68928.3984914311	9209.68113707757	6553.26961956568	4964.15393861037	Up_hemocytes_Down_hemocytes_wssv
XM_027354773.1	545.125968866574	-4.54381111070879	0.463388091793394	-9.80562770424988	1.06482875013248e-22	2.55026485656729e-19	1638	584	287	60	35	113	1560.9977971371	1098.49906748136	477.306624693354	42.1785259312002	28.7316092552673	63.0421887011656	Up_hemocytes_Down_hemocytes_wssv
XM_027370857.1	5223.65116231521	-3.18249774646362	0.332017799269307	-9.58532269495055	9.21690680994864e-22	1.89209929798517e-18	12054	5628	3703	1814	1132	1623	11487.3427635474	10586.2204653854	6158.41962104351	1275.19743398662	929.262333627503	905.464356300812	Up_hemocytes_Down_hemocytes_wssv
XM_027362559.1	6479.58268993142	-5.28473466431795	0.559269113479064	-9.44935905979685	3.40911747838954e-21	6.12362727055721e-18	3962	12734	6119	308	629	430	3775.74680845982	23952.5464474445	10176.4433327478	216.516433113495	516.348063473233	239.895054349568	Up_hemocytes_Down_hemocytes_wssv
XM_027362556.1	61977.9245347019	-4.58225418735862	0.50496448941888	-9.07440876215263	1.14296331212964e-19	1.82493142170033e-16	88562	85244	67479	11651	6326	2722	84398.709957299	160343.2440212	112223.601838616	8190.3667604069	5193.03314710917	1518.59148358029	Up_hemocytes_Down_hemocytes_wssv
XM_027362555.1	99329.8964437618	-4.46353520586745	0.497179551962264	-8.97771275638913	2.76453711178308e-19	3.97263982963228e-16	151186	129084	110188	19824	11333	4666	144078.762489603	242805.913744458	183252.482096555	13935.7849676686	9303.29507685556	2603.14028743043	Up_hemocytes_Down_hemocytes_wssv
XM_027378670.1	218.456539360061	-3.41020281234772	0.386572842987014	-8.82163057807524	1.12804876586598e-18	1.4736418877722e-15	265	303	226	53	46	67	252.542378657711	569.94044083365	375.858178329958	37.2576979058935	37.761543592637	37.3789968405141	Up_hemocytes_Down_hemocytes_wssv
XM_027380496.1	2778.97049642567	-3.94504427264834	0.44818227217593	-8.80232110363292	1.34015083293005e-18	1.60483062243373e-15	3524	4812	1953	643	274	608	3358.33714109349	9051.33135739776	3248.01337291331	452.013202896029	224.927455312664	339.200448940785	Up_hemocytes_Down_hemocytes_wssv
XM_027354585.1	2383.70838008053	-2.49073616345648	0.287115954152031	-8.67501832426075	4.13483894504822e-18	4.57058735694945e-15	3359	2743	2274	1017	884	1289	3201.09377325001	5159.55983236535	3781.86503328462	714.926014533844	725.678359475894	719.127267573473	Up_hemocytes_Down_hemocytes_wssv
XM_027372149.1	4557.3236719701	-3.58731540177998	0.415508801006077	-8.63354853878898	5.94774002185551e-18	6.10493029386169e-15	4037	6586	5417	858	762	1561	3847.2210665705	12388.2103740278	9008.95465492647	603.152920816163	625.528178643248	870.874836836456	Up_hemocytes_Down_hemocytes_wssv
XM_027368745.1	18703.1682469461	-4.11196602580648	0.480770387993689	-8.55286874669256	1.20066402040742e-17	1.15023613155031e-14	25269	22183	24218	5488	1493	1885	24081.107042648	41726.0356403064	40276.6962955527	3857.92917184045	1225.60836051755	1051.63297081148	Up_hemocytes_Down_hemocytes_wssv
XM_027362561.1	2464.50334522056	-4.57610470243713	0.540095692627171	-8.47276652064697	2.39632584100377e-17	2.15220014595151e-14	1946	4267	2592	210	422	182	1854.51875044493	8026.19096051875	4310.727425802	147.624840759201	346.421117306366	101.536976492143	Up_hemocytes_Down_hemocytes_wssv
XM_027365601.1	8484.20089085096	-3.41116355194873	0.404533283283577	-8.43234337669445	3.38811091045857e-17	2.86395022254645e-14	10119	10685	10096	1442	1354	4029	9643.30690429201	20098.3947534903	16790.5494177843	1013.69057321318	1111.50282661806	2247.76086970793	Up_hemocytes_Down_hemocytes_wssv
XM_027356980.1	363.587177828801	-5.2767525860429	0.628487627624151	-8.39595300545599	4.62130462969133e-17	3.68934152937024e-14	166	709	382	30	10	45	158.196357951623	1333.62301171966	635.300106734708	21.0892629656001	8.20903121579066	25.1052963854199	Up_hemocytes_Down_hemocytes_wssv
XM_027382822.1	1165.91291111123	-2.56145445730305	0.305680929022577	-8.37950363960673	5.31513723484813e-17	4.01992221393514e-14	1539	1193	1366	568	382	538	1466.65177643101	2244.02292381038	2271.77996282621	399.290045482029	313.584992443203	300.147765674576	Up_hemocytes_Down_hemocytes_wssv
XR_003476729.1	383.614455950952	-5.2679465501526	0.631663238558055	-8.33980233229678	7.44148219526488e-17	5.34670495729782e-14	425	568	463	64	8	12	405.020795960481	1068.40320261885	770.01033879102	44.9904276599469	6.56722497263253	6.69474570277865	Up_hemocytes_Down_hemocytes_wssv
XM_027372425.1	3292.05342346998	-2.50334936465929	0.30335661680862	-8.25216667760568	1.55548268807003e-16	1.06439458226506e-13	4196	3345	3909	1594	1040	1768	3998.74649376512	6291.91674781702	6501.01601368056	1120.54283890555	853.739246442229	986.359200209388	Up_hemocytes_Down_hemocytes_wssv
XM_027362558.1	808.814759942804	-4.18051004006709	0.508587727104722	-8.21984058456506	2.03773865426192e-16	1.33101383917017e-13	784	1259	892	164	129	59	747.144244783569	2368.1683663682	1483.47564190408	115.287970878614	105.8965026837	32.9158330386617	Up_hemocytes_Down_hemocytes_wssv
XM_027360478.1	38767.9392497278	-3.25017312647296	0.397897042140203	-8.1683771987622	3.1256533525075e-16	1.95285385545795e-13	47181	59116	32666	13775	6793	12299	44963.0262922622	111196.696700733	54326.4745722407	9683.48657837139	5576.3949048866	6861.55644987288	Up_hemocytes_Down_hemocytes_wssv
XM_027378860.1	1500.72379189835	-2.08423668090406	0.255403675099879	-8.16055869238762	3.33478469399526e-16	1.99670233552966e-13	2590	1383	1333	834	624	1110	2468.24438008858	2601.4113190526	2216.89801643289	586.281510443683	512.243547865337	619.263977507025	Up_hemocytes_Down_hemocytes_wssv
XM_027364902.1	72.996546243546	-5.44938664048081	0.669457775089971	-8.14000052467602	3.9527618423546e-16	2.27204750698542e-13	89	140	48	6	5	3	84.8161196246654	263.338817546901	79.8282856629999	4.21785259312002	4.10451560789533	1.67368642569466	Up_hemocytes_Down_hemocytes_wssv
XM_027352755.1	104251.368928819	-2.9982686277524	0.36929276171951	-8.11894772535423	4.70242996144648e-16	2.5989968671533e-13	102405	107333	154201	35093	29017	37794	97590.952024313	201892.466455439	256450.030781672	24669.5168417268	23820.1458788598	21085.1015909014	Up_hemocytes_Down_hemocytes_wssv
XM_027380827.1	8739.19246316747	-3.32097403631478	0.409299609634391	-8.11379722370431	4.90619853109048e-16	2.61118788488038e-13	9756	10278	11446	3377	1210	2513	9297.37149503635	19332.8311910503	19035.7199520562	2373.94803449439	993.29277711067	1401.9913292569	Up_hemocytes_Down_hemocytes_wssv
