ID	log2FoldChange
XM_027356981.1	-7.11736150858677
XM_027379490.1	-4.71433821347437
XM_027363874.1	-4.67296107106239
XM_027379151.1	-3.2883978508653
XM_027355035.1	-3.35899691677802
XM_027354773.1	-4.54381111070879
XM_027370857.1	-3.18249774646362
XM_027362559.1	-5.28473466431795
XM_027362556.1	-4.58225418735862
XM_027362555.1	-4.46353520586745
XM_027378670.1	-3.41020281234772
XM_027380496.1	-3.94504427264834
XM_027354585.1	-2.49073616345648
XM_027372149.1	-3.58731540177998
XM_027368745.1	-4.11196602580648
XM_027362561.1	-4.57610470243713
XM_027365601.1	-3.41116355194873
XM_027356980.1	-5.2767525860429
XM_027382822.1	-2.56145445730305
XR_003476729.1	-5.2679465501526
XM_027372425.1	-2.50334936465929
XM_027362558.1	-4.18051004006709
XM_027360478.1	-3.25017312647296
XM_027378860.1	-2.08423668090406
XM_027364902.1	-5.44938664048081
XM_027352755.1	-2.9982686277524
XM_027380827.1	-3.32097403631478
XM_027352200.1	-3.3230899853501
XM_027369084.1	-3.03245325282248
XM_027360477.1	-3.22408858172386
XM_027362560.1	-4.47560496945226
XM_027356700.1	-2.73615925688155
XM_027359278.1	2.67169129570243
XM_027378861.1	-2.19478778409448
XM_027362565.1	-3.18174121447149
XR_003476853.1	-2.53044546160696
XM_027380825.1	-3.28466775960137
XM_027364044.1	-2.16540492139728
XM_027378576.1	-2.81474573789304
XM_027380826.1	-3.10425296975766
XM_027362557.1	-4.50647136896435
XM_027366112.1	-2.78783654247912
XM_027364045.1	-2.1841799348686
XM_027370692.1	-2.31881915182096
XM_027364042.1	-2.05982750950467
XM_027381338.1	-2.83086306878061
XM_027381353.1	-2.86245461156064
XR_003475421.1	-2.5109668231948
XM_027362564.1	-3.17664794474689
XM_027381346.1	-2.81424359942888
XM_027373151.1	-2.3609680287032
XM_027360481.1	-3.17040317603399
XM_027352258.1	-3.24846529027271
XR_003475419.1	-2.60930659770789
XM_027381309.1	-2.41377973242147
XM_027351673.1	4.72291560818068
XM_027362562.1	-3.18733093190071
XM_027352082.1	-2.58539559505413
XM_027351017.1	-2.4805376310414
XM_027353848.1	-2.07613142998978
XR_003477346.1	-2.32551060549728
XM_027351730.1	-2.58928156962123
XM_027352252.1	-2.75253166896707
XM_027364039.1	-2.11524405599465
XM_027366108.1	-2.60936875880059
XM_027381766.1	-3.40404578119444
XM_027364043.1	-2.10534092277878
XR_003475420.1	-2.60865870712666
XM_027355965.1	-2.34195999753514
XM_027376768.1	-2.16800166174023
XM_027366111.1	-2.89000756923771
XM_027356692.1	-3.42908760732689
XM_027374831.1	-1.99433297086329
XM_027364047.1	-2.00801758660848
XM_027359320.1	-2.36872660431078
XM_027372510.1	-3.23290983078043
XM_027381184.1	-2.96594517106685
XM_027362563.1	-3.09937926747331
XM_027382995.1	-3.1077300043969
