ID	padj
XM_027356981.1	1.01895812562649e-29
XM_027379490.1	7.82851393156117e-27
XM_027363874.1	7.34882969935481e-23
XM_027379151.1	8.75666692263337e-21
XM_027355035.1	4.36581019391773e-20
XM_027354773.1	2.55026485656729e-19
XM_027370857.1	1.89209929798517e-18
XM_027362559.1	6.12362727055721e-18
XM_027362556.1	1.82493142170033e-16
XM_027362555.1	3.97263982963228e-16
XM_027378670.1	1.4736418877722e-15
XM_027380496.1	1.60483062243373e-15
XM_027354585.1	4.57058735694945e-15
XM_027372149.1	6.10493029386169e-15
XM_027368745.1	1.15023613155031e-14
XM_027362561.1	2.15220014595151e-14
XM_027365601.1	2.86395022254645e-14
XM_027356980.1	3.68934152937024e-14
XM_027382822.1	4.01992221393514e-14
XR_003476729.1	5.34670495729782e-14
XM_027372425.1	1.06439458226506e-13
XM_027362558.1	1.33101383917017e-13
XM_027360478.1	1.95285385545795e-13
XM_027378860.1	1.99670233552966e-13
XM_027364902.1	2.27204750698542e-13
XM_027352755.1	2.5989968671533e-13
XM_027380827.1	2.61118788488038e-13
XM_027352200.1	3.81158332918298e-13
XM_027369084.1	5.37632235373861e-13
XM_027360477.1	5.50018468083417e-13
XM_027362560.1	5.51927312437715e-13
XM_027356700.1	7.05312696938697e-13
XM_027359278.1	7.69310183049746e-13
XM_027378861.1	7.69310183049746e-13
XM_027362565.1	1.11342928085399e-12
XR_003476853.1	1.11342928085399e-12
XM_027380825.1	1.66791063101296e-12
XM_027364044.1	2.36920999203718e-12
XM_027378576.1	2.75156291337174e-12
XM_027380826.1	2.76605663359832e-12
XM_027362557.1	4.13422692540941e-12
XM_027366112.1	4.13422692540941e-12
XM_027364045.1	4.84217955464615e-12
XM_027370692.1	5.33930092462602e-12
XM_027364042.1	5.96822036986387e-12
XM_027381338.1	6.27647106689405e-12
XM_027381353.1	6.88705186155717e-12
XR_003475421.1	6.88705186155717e-12
XM_027362564.1	7.01415794743781e-12
XM_027381346.1	7.01415794743781e-12
XM_027373151.1	7.49067997272615e-12
XM_027360481.1	7.86221914115098e-12
XM_027352258.1	2.25397225637834e-11
XR_003475419.1	2.54439724791921e-11
XM_027381309.1	2.58843997126724e-11
XM_027351673.1	4.42606674863524e-11
XM_027362562.1	4.62090348382283e-11
XM_027352082.1	4.82421857288819e-11
XM_027351017.1	5.01628249919765e-11
XM_027353848.1	5.01628249919765e-11
XR_003477346.1	5.96104276854792e-11
XM_027351730.1	6.06499921547605e-11
XM_027352252.1	6.89326578577668e-11
