ID	edgeR_logFC	limma_logFC	NOISeq_log2FC_SigInv	DESeq2_log2FoldChange
XM_027350654.1	1.8609847837601	1.65264238979115	1.88014171803512	1.83640247171004
XM_027350688.1	-1.75017009735866	-1.71242625058583	-1.75286235097165	-1.78767716451205
XM_027350689.1	-1.92596525950989	-1.92481303455892	-1.92825146025468	-1.96146603393387
XM_027350694.1	-1.67085847052936	-1.61824123779333	-1.67581522632687	-1.70439954067206
XM_027350703.1	-2.30129561194803	-2.17680566536175	-2.30130914703912	-2.33737614709261
XM_027350704.1	-2.10093048354584	-1.9888396436113	-2.10094961541301	-2.13623534840185
XM_027350705.1	-2.09011418965819	-1.97923842267002	-2.09013577448067	-2.12516638187443
XM_027350768.1	-1.832387961608	-1.8088576879193	-1.83594486418594	-1.8681856444161
XM_027350769.1	-1.71704456580148	-1.67213793911053	-1.71807544791771	-1.75174223160768
XM_027350771.1	-1.84835197928974	-1.77843252526884	-1.84972746915614	-1.88443830145481
XM_027350773.1	-2.07851984482868	-1.93608582214461	-2.08359922958961	-2.11716739500746
XM_027350844.1	-2.21891992217127	-2.09900508563971	-2.22207350062833	-2.25456444931608
XM_027350886.1	1.74697530375586	1.77594644741473	1.75132725503076	1.72648713202985
XM_027350894.1	1.81415398984265	1.8109323119776	1.81929703202553	1.79369286284173
XM_027350896.1	-1.79051382027195	-1.70537272972437	-1.79165548110559	-1.82605532417278
XM_027350903.1	-3.15003388782221	-3.4048594444706	-3.15119311988009	-3.18519846206217
XM_027350912.1	-1.50017976436785	-1.53088965741397	-1.50001006288063	-1.52681357362526
XM_027350916.1	-1.57574426572709	-1.62541911719083	-1.59044527440244	-1.61531342423279
XM_027351003.1	-1.76628009930234	-1.71933671579291	-1.76685007041225	-1.79623706664058
XM_027351009.1	-1.57201763412723	-1.55532511571816	-1.57416980465658	-1.60278880875926
XM_027351017.1	-2.45198876851481	-2.49037362760683	-2.45171145757967	-2.4805376310414
XM_027351020.1	-2.00751726912964	-1.96322411264006	-2.0080995936288	-2.04307316684167
XM_027351037.1	-1.49461453196985	-1.16273042119086	-1.51008414857586	-1.5422328282863
XM_027351040.1	-2.54734671638807	-2.5720722523891	-2.56597192690605	-2.58786128823238
XM_027351045.1	-1.91726228319499	-1.77306876490763	-1.91800959586216	-1.95970418777579
XM_027351085.1	1.9792809014415	1.92169875758278	1.98437190179097	1.95978524574559
XM_027351097.1	1.54942870174342	1.50169921068062	1.54646290701829	1.51781984534821
XM_027351106.1	1.59815751383504	1.52459853258886	1.60092615015814	1.57058650269256
XM_027351115.1	1.59095993351764	1.63350147544839	1.58092146072045	1.55981062692938
XM_027351123.1	1.52066060175269	1.48480500560405	1.51570160901094	1.48944186334336
XM_027351132.1	1.53747378716417	1.62541745173054	1.52589325010341	1.50460325995802
