ID	limma	edgeR	DESeq2	NOISeq
XM_027350688.1	1	1	1	1
XM_027350689.1	1	1	1	1
XM_027350694.1	1	1	1	1
XM_027350703.1	1	1	1	1
XM_027350704.1	1	1	1	1
XM_027350705.1	1	1	1	1
XM_027350768.1	1	1	1	1
XM_027350769.1	1	1	1	1
XM_027350771.1	1	1	1	1
XM_027350773.1	1	1	1	1
XM_027350844.1	1	1	1	1
XM_027350886.1	1	1	1	1
XM_027350894.1	1	1	1	1
XM_027350896.1	1	1	1	1
XM_027350903.1	1	1	1	1
XM_027350912.1	1	1	1	1
XM_027351003.1	1	1	1	1
XM_027351009.1	1	1	1	1
XM_027351017.1	1	1	1	1
XM_027351020.1	1	1	1	1
XM_027351040.1	1	1	1	1
XM_027351085.1	1	1	1	1
XM_027351097.1	1	1	1	1
XM_027351106.1	1	1	1	1
XM_027351115.1	1	1	1	1
XM_027351132.1	1	1	1	1
XM_027351188.1	1	1	1	1
XM_027351256.1	1	1	1	1
XM_027351271.1	1	1	1	1
XM_027351305.1	1	1	1	1
XM_027351352.1	1	1	1	1
XM_027351361.1	1	1	1	1
XM_027351465.1	1	1	1	1
XM_027351480.1	1	1	1	1
XM_027351505.1	1	1	1	1
XM_027351506.1	1	1	1	1
XM_027351507.1	1	1	1	1
XM_027351509.1	1	1	1	1
XM_027351561.1	1	1	1	1
XM_027351599.1	1	1	1	1
XM_027351602.1	1	1	1	1
XM_027351603.1	1	1	1	1
XM_027351617.1	1	1	1	1
XM_027351619.1	1	1	1	1
XM_027351660.1	1	1	1	1
XM_027351669.1	1	1	1	1
XM_027351673.1	1	1	1	1
XM_027351730.1	1	1	1	1
XM_027351759.1	1	1	1	1
XM_027351760.1	1	1	1	1
XM_027351761.1	1	1	1	1
XM_027351763.1	1	1	1	1
XM_027351928.1	1	1	1	1
XM_027351966.1	1	1	1	1
XM_027351973.1	1	1	1	1
XM_027352023.1	1	1	1	1
XM_027352024.1	1	1	1	1
XM_027352082.1	1	1	1	1
XM_027352105.1	1	1	1	1
XM_027352110.1	1	1	1	1
XM_027352200.1	1	1	1	1
XM_027352214.1	1	1	1	1
XM_027352248.1	1	1	1	1
XM_027352251.1	1	1	1	1
XM_027352252.1	1	1	1	1
XM_027352254.1	1	1	1	1
