ID	hemocytes_mean	hemocytes_wssv_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_wssv_1	hemocytes_wssv_2	hemocytes_wssv_3	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_wssv_1_normalized	hemocytes_wssv_2_normalized	hemocytes_wssv_3_normalized	Expression
XM_027350703.1	92659.7867764769	18798.7171720793	2.22727493648942	1	2.30130914703912	0	-2.30130914703912	40878	50578	87470	21145	28700	30279	39954.6318917597	93477.4031543934	144547.325283278	15156.3634635107	23775.4173429492	17464.3707097781	Up_hemocytes_Down_hemocytes_wssv
XM_027350771.1	1381.27965380881	383.228820678189	1.60487562147893	1	1.84972746915614	0	-1.84972746915614	842	900	1003	588	462	599	822.980577642292	1663.36476015173	1657.49362363242	421.468040508125	382.726230398694	345.492191127748	Up_hemocytes_Down_hemocytes_wssv
XM_027350924.1	3789.05870229668	1452.50801108412	1.63534593556819	1	1.38329337047477	0	-1.38329337047477	5121	1797	1840	2700	1090	2634	5005.32486710948	3321.18497110295	3040.66626867761	1935.31243090466	902.968811979603	1519.24279036809	NonDE
XM_027351017.1	2950.66688186126	539.363424720369	2.67309341255565	1	2.45171145757967	0	-2.45171145757967	2860	1943	1492	905	742	615	2795.39721146907	3591.01969886089	2465.5837352538	648.688055543968	614.681521549418	354.720697067721	Up_hemocytes_Down_hemocytes_wssv
XM_027351050.1	28636.9096369154	14983.7346930139	1.60592529849369	1	0.934478551931733	0	-0.934478551931733	19028	20203	18138	17794	21575	24834	18598.1881607809	37338.8424992726	29973.6982506927	12754.4257020435	17872.9835949174	14323.7947820809	NonDE
XM_027351352.1	3821.97049726864	924.104627696551	1.65257962726446	1	2.04818853301519	0	-2.04818853301519	2026	3413	1923	833	1454	1683	1980.23592672599	6307.84880710871	3177.82675797122	597.079724053177	1204.51069047554	970.723468560933	Up_hemocytes_Down_hemocytes_wssv
XM_027351617.1	9570.60876293767	29921.0510984521	-1.93787125284228	1	-1.64447825760511	0	1.64447825760511	7162	7267	5011	20148	43279	68429	7000.22196802149	13430.7463466918	8280.85797409974	14441.7314288396	35852.8323061149	39468.5895604017	Down_hemocytes_Up_hemocytes_wssv
XM_027351660.1	97294.4086657382	32224.2270948888	3.0250593504398	1	1.59421114265867	0	-1.59421114265867	75083	66928	57367	52675	32488	55485	73386.9960939623	123695.19629715	94801.0336061026	37756.5119621862	26913.4410675168	32002.7282549634	Up_hemocytes_Down_hemocytes_wssv
XM_027351669.1	65316.8334909055	18085.5649906506	2.85637147470045	1	1.85261618356629	0	-1.85261618356629	41797	43688	44994	28023	19761	30861	40852.8731635569	80743.4218238985	74354.2054852612	20086.3926856449	16370.2446729623	17800.0576133446	Up_hemocytes_Down_hemocytes_wssv
XM_027351966.1	6969.96564761544	2004.33792793206	3.11838668237105	1	1.79802578065462	0	-1.79802578065462	6531	4539	3714	2650	2473	3580	6383.47524059598	8388.90294036521	6137.51876188514	1899.47331181383	2048.66226791336	2064.87820406901	Up_hemocytes_Down_hemocytes_wssv
XM_027352200.1	4248.21983109943	435.220750623866	2.68590615420354	1	3.28703917397882	0	-3.28703917397882	3447	3399	1872	881	316	715	3369.13782794891	6281.97424417302	3093.54742117636	631.485278380371	261.778114298674	412.398859192553	Up_hemocytes_Down_hemocytes_wssv
XM_027352225.1	1951.76243541864	802.353643954878	1.64720698973773	1	1.28246730000997	0	-1.28246730000997	1699	1219	1175	1079	975	1432	1660.62232947061	2252.93515847217	1941.72981831315	773.408189980046	807.701460256984	825.951281627603	NonDE
XM_027352252.1	13748.0278400344	2091.76732427367	2.91157788677574	1	2.71643038948557	0	-2.71643038948557	7388	8821	10723	2688	2912	3357	7221.11699242429	16302.8228325538	17720.143695125	1926.71104232286	2412.33502796753	1936.25590253063	Up_hemocytes_Down_hemocytes_wssv
XM_027352254.1	1630997.791704	442016.759282953	2.50603125337723	1	1.88358185244956	0	-1.88358185244956	1288347	1295813	749665	603213	637516	633779	1259245.31860299	2394899.64438499	1238848.41212402	432372.4508827	528125.747833017	365552.079133143	Up_hemocytes_Down_hemocytes_wssv
XM_027352256.1	28665.5947882252	4971.54020171534	2.81262683776482	1	2.52755543566024	0	-2.52755543566024	14973	19151	21765	5506	7431	8343	14634.7840724917	35394.5539129619	35967.4463792219	3946.60379428186	6155.92774478938	4812.08906607479	Up_hemocytes_Down_hemocytes_wssv
XM_027352257.1	9620.4073001715	1563.39033000209	2.47931109052236	1	2.62141995536888	0	-2.62141995536888	4334	7107	6953	2169	2210	2262	4236.10192814928	13135.0370559981	11490.0829163671	1554.70098616007	1830.7899765825	1304.68002726371	Up_hemocytes_Down_hemocytes_wssv
