ID	log2FC_SigInv
XM_027350703.1	-2.30130914703912
XM_027350771.1	-1.84972746915614
XM_027350924.1	-1.38329337047477
XM_027351017.1	-2.45171145757967
XM_027351050.1	-0.934478551931733
XM_027351352.1	-2.04818853301519
XM_027351617.1	1.64447825760511
XM_027351660.1	-1.59421114265867
XM_027351669.1	-1.85261618356629
XM_027351966.1	-1.79802578065462
XM_027352200.1	-3.28703917397882
XM_027352225.1	-1.28246730000997
XM_027352252.1	-2.71643038948557
XM_027352254.1	-1.88358185244956
XM_027352256.1	-2.52755543566024
XM_027352257.1	-2.62141995536888
XM_027352258.1	-3.20833271388986
XM_027352259.1	-2.73214345666918
XM_027352755.1	-2.96231723432764
XM_027352914.1	-3.5336703553503
XM_027353037.1	-2.2579015259847
XM_027353100.1	-2.46682880530201
XM_027353449.1	-2.46302897871407
XM_027353508.1	-2.77027496690247
XM_027353532.1	-1.90545798119207
XM_027353727.1	-2.16807393687473
XM_027353742.1	-2.09464293338206
XM_027353779.1	-2.25185100609427
XM_027353848.1	-2.0435638755797
XM_027354045.1	-2.28079097920197
XM_027354136.1	0.785654402087901
XM_027354219.1	-1.20983384033432
XM_027354443.1	-2.23027558848282
XM_027354450.1	-1.59768996207994
XM_027354473.1	-1.87902765824554
XM_027354580.1	-2.09489680123371
XM_027354585.1	-2.45757504571195
XM_027354773.1	-4.52334720436789
XM_027355297.1	-1.62464994985419
XM_027355965.1	-2.30997041531974
XM_027356021.1	-2.09969819735076
XM_027356205.1	-1.71835929372329
XM_027356430.1	-1.74012151121376
XM_027356431.1	-1.57783838475671
XM_027356700.1	-2.7027454143494
XM_027356800.1	-1.41006852724037
XM_027356849.1	-1.87449327726511
XM_027356883.1	-2.31895441150607
XM_027356918.1	-2.03879702747498
XM_027356981.1	-7.08035561810429
XM_027357841.1	-1.23220885836858
XM_027357991.1	-2.63574772143181
XM_027358246.1	10.1517969598023
XM_027358254.1	-1.31353743387408
XM_027358692.1	-1.12389180365588
XM_027359021.1	-1.8298375908709
XM_027359278.1	2.70481280102911
XM_027359320.1	-2.34031853051709
XM_027359322.1	-2.21746406145748
XM_027359505.1	-1.04293330257292
XM_027359731.1	-1.61137325319797
XM_027359912.1	-1.39448266541745
XM_027360025.1	-2.47432714968096
XM_027360096.1	-2.18979216143099
XM_027360178.1	-1.27729558281955
XM_027360285.1	-1.6738558074243
XM_027360331.1	-0.631908542734737
XM_027360426.1	9.7999567399593
XM_027360455.1	-1.83385458841644
XM_027360478.1	-3.21187571739729
XM_027360479.1	-2.33879212031175
XM_027360481.1	-3.12938617854798
XM_027360509.1	-2.44505988422607
XM_027360632.1	-2.50173249245731
XM_027360727.1	-2.38425295170701
XM_027360756.1	-1.57192540223395
XM_027360937.1	6.65678248109614
XM_027361128.1	-2.54303262881278
XM_027361138.1	-0.842523233881469
XM_027361348.1	-1.39225271760041
XM_027361789.1	-1.35844911994667
XM_027362052.1	-2.22753190540237
XM_027362354.1	-0.973742449911323
XM_027362398.1	6.660946429719
XM_027362434.1	-1.23714344955142
XM_027362559.1	-5.24426403315659
XM_027362561.1	-4.53949822599676
XM_027362565.1	-3.15235754342564
XM_027363300.1	-1.32172917119622
XM_027363613.1	-1.366022018861
XM_027363730.1	-1.55327846722311
XM_027363936.1	2.29454831906174
XM_027364039.1	-2.0819421798031
XM_027364040.1	-1.87354294474791
XM_027364041.1	-1.63123995984382
XM_027364042.1	-2.02783255615218
XM_027364043.1	-2.07231275546223
XM_027364044.1	-2.13331992143573
XM_027364045.1	-2.15128845935759
XM_027364609.1	-2.57783224311529
XM_027364731.1	-1.4775135594211
XM_027364753.1	-1.58411592058809
XM_027365779.1	9.34347974680863
XM_027365832.1	5.74808334229382
XM_027366055.1	-1.58496065252354
XM_027366110.1	-2.85729548398151
XM_027366601.1	-0.817441935686795
XM_027366629.1	-1.41612228519028
XM_027366994.1	-1.14773005730878
XM_027367187.1	-2.90326564500633
XM_027367435.1	-2.06509258610008
XM_027368084.1	-2.50740013192603
XM_027368212.1	-1.20761099397263
XM_027368213.1	-1.19664374226611
XM_027368306.1	-2.18078495071888
XM_027368427.1	-2.27293938961666
XM_027368448.1	-1.51237319226758
XM_027368613.1	-1.62881841702688
XM_027368681.1	-1.63209240370865
XM_027369044.1	-2.01784965534828
XM_027369073.1	-2.1862092646922
XM_027369545.1	-1.90362781237204
XM_027369607.1	-1.1385320057949
XM_027369688.1	-2.28862311805454
XM_027369721.1	-2.43449250565296
XM_027369804.1	-3.2945630843305
XM_027369991.1	-2.31240774172116
XM_027370377.1	-1.34505253181816
XM_027370568.1	-2.69564232621072
XM_027370767.1	-2.32286025220889
XM_027370829.1	-1.77018874480895
XM_027370830.1	-2.20262428770579
XM_027370857.1	-3.15650691425947
XM_027371851.1	-2.54129940486372
XM_027371949.1	1.2126212723051
XM_027372072.1	-1.1568083717263
XM_027372073.1	-1.13168106056693
XM_027372127.1	-1.49054451025636
XM_027372149.1	-3.54581782118653
XM_027372174.1	-1.62680196294868
XM_027372219.1	-0.889369258886936
XM_027372252.1	4.95819839915498
XM_027372302.1	11.3089409729851
XM_027372388.1	-2.29534812079202
XM_027372425.1	-2.46911326665578
XM_027372440.1	-2.20064033851834
XM_027372510.1	-3.19877198646219
XM_027372535.1	-0.543490488030346
XM_027372864.1	-2.52505982498335
XM_027372907.1	-1.50030793740553
XM_027373061.1	-1.16027308302202
XM_027373065.1	-1.1587823968256
XM_027373082.1	-1.47469922825294
XM_027373349.1	-2.04449086477042
XM_027373422.1	-1.02285874152557
XM_027373581.1	-1.27342046405218
XM_027373582.1	-1.35343769511621
XM_027373605.1	-1.72615995314508
XM_027373606.1	-1.6327825660675
XM_027374126.1	-1.44010703596535
XM_027374131.1	-1.52554017835648
XM_027375204.1	-1.98816375679122
XM_027375317.1	-2.37456150587983
XM_027375363.1	-1.10182013879837
XM_027375685.1	-2.96371597224078
XM_027375686.1	-2.55954866477273
XM_027375691.1	-2.16990242983384
XM_027375865.1	6.13615581359853
XM_027375883.1	1.24923843983981
XM_027376677.1	-2.52052552758556
XM_027376911.1	-1.39854809505971
XM_027377062.1	-2.33436027267212
XM_027377097.1	-1.8257603454769
XM_027377238.1	9.87231612654096
XM_027377374.1	-1.61864745689776
XM_027377858.1	8.90789925409013
XM_027378576.1	-2.78297874775539
XM_027378858.1	0.97003584941151
XM_027378860.1	-2.05455837521554
XM_027379151.1	-3.25617482478399
XM_027379155.1	-2.06638173282587
XM_027379156.1	-2.30090985924003
XM_027379269.1	-1.37982374785409
XM_027379686.1	-2.14202509292233
XM_027379869.1	-1.3842088713147
XM_027380496.1	-3.90567426990256
XM_027380780.1	-1.93400728550422
XM_027380825.1	-3.24737434862105
XM_027380827.1	-3.28358612637939
XM_027381184.1	-2.93776568497834
XM_027381278.1	-0.957823335343743
XM_027381309.1	-2.37961935596362
