ID	lminusProb
XM_027350703.1	0
XM_027350771.1	0
XM_027350924.1	0
XM_027351017.1	0
XM_027351050.1	0
XM_027351352.1	0
XM_027351617.1	0
XM_027351660.1	0
XM_027351669.1	0
XM_027351966.1	0
XM_027352200.1	0
XM_027352225.1	0
XM_027352252.1	0
XM_027352254.1	0
XM_027352256.1	0
XM_027352257.1	0
XM_027352258.1	0
XM_027352259.1	0
XM_027352755.1	0
XM_027352914.1	0
XM_027353037.1	0
XM_027353100.1	0
XM_027353449.1	0
XM_027353508.1	0
XM_027353532.1	0
XM_027353727.1	0
XM_027353742.1	0
XM_027353779.1	0
XM_027353848.1	0
XM_027354045.1	0
XM_027354136.1	0
XM_027354219.1	0
XM_027354443.1	0
XM_027354450.1	0
XM_027354473.1	0
XM_027354580.1	0
XM_027354585.1	0
XM_027354773.1	0
XM_027355297.1	0
XM_027355965.1	0
XM_027356021.1	0
XM_027356205.1	0
XM_027356430.1	0
XM_027356431.1	0
XM_027356700.1	0
XM_027356800.1	0
XM_027356849.1	0
XM_027356883.1	0
XM_027356918.1	0
XM_027356981.1	0
XM_027357841.1	0
XM_027357991.1	0
XM_027358246.1	0
XM_027358254.1	0
XM_027358692.1	0
XM_027359021.1	0
XM_027359278.1	0
XM_027359320.1	0
XM_027359322.1	0
XM_027359505.1	0
XM_027359731.1	0
XM_027359912.1	0
XM_027360025.1	0
XM_027360096.1	0
XM_027360178.1	0
XM_027360285.1	0
XM_027360331.1	0
XM_027360426.1	0
XM_027360455.1	0
XM_027360478.1	0
XM_027360479.1	0
XM_027360481.1	0
XM_027360509.1	0
XM_027360632.1	0
XM_027360727.1	0
XM_027360756.1	0
XM_027360937.1	0
XM_027361128.1	0
XM_027361138.1	0
XM_027361348.1	0
XM_027361789.1	0
XM_027362052.1	0
XM_027362354.1	0
XM_027362398.1	0
XM_027362434.1	0
XM_027362559.1	0
XM_027362561.1	0
XM_027362565.1	0
XM_027363300.1	0
XM_027363613.1	0
XM_027363730.1	0
XM_027363936.1	0
XM_027364039.1	0
XM_027364040.1	0
XM_027364041.1	0
XM_027364042.1	0
XM_027364043.1	0
XM_027364044.1	0
XM_027364045.1	0
XM_027364609.1	0
XM_027364731.1	0
XM_027364753.1	0
XM_027365779.1	0
XM_027365832.1	0
XM_027366055.1	0
XM_027366110.1	0
XM_027366601.1	0
XM_027366629.1	0
XM_027366994.1	0
XM_027367187.1	0
XM_027367435.1	0
XM_027368084.1	0
XM_027368212.1	0
XM_027368213.1	0
XM_027368306.1	0
XM_027368427.1	0
XM_027368448.1	0
XM_027368613.1	0
XM_027368681.1	0
XM_027369044.1	0
XM_027369073.1	0
XM_027369545.1	0
XM_027369607.1	0
XM_027369688.1	0
XM_027369721.1	0
XM_027369804.1	0
XM_027369991.1	0
XM_027370377.1	0
XM_027370568.1	0
XM_027370767.1	0
XM_027370829.1	0
XM_027370830.1	0
XM_027370857.1	0
XM_027371851.1	0
XM_027371949.1	0
XM_027372072.1	0
XM_027372073.1	0
XM_027372127.1	0
XM_027372149.1	0
XM_027372174.1	0
XM_027372219.1	0
XM_027372252.1	0
XM_027372302.1	0
XM_027372388.1	0
XM_027372425.1	0
XM_027372440.1	0
XM_027372510.1	0
XM_027372535.1	0
XM_027372864.1	0
XM_027372907.1	0
XM_027373061.1	0
XM_027373065.1	0
XM_027373082.1	0
XM_027373349.1	0
XM_027373422.1	0
XM_027373581.1	0
XM_027373582.1	0
XM_027373605.1	0
XM_027373606.1	0
XM_027374126.1	0
XM_027374131.1	0
XM_027375204.1	0
XM_027375317.1	0
XM_027375363.1	0
XM_027375685.1	0
XM_027375686.1	0
XM_027375691.1	0
XM_027375865.1	0
XM_027375883.1	0
XM_027376677.1	0
XM_027376911.1	0
XM_027377062.1	0
XM_027377097.1	0
XM_027377238.1	0
XM_027377374.1	0
XM_027377858.1	0
XM_027378576.1	0
XM_027378858.1	0
XM_027378860.1	0
XM_027379151.1	0
XM_027379155.1	0
XM_027379156.1	0
XM_027379269.1	0
XM_027379686.1	0
XM_027379869.1	0
XM_027380496.1	0
XM_027380780.1	0
XM_027380825.1	0
XM_027380827.1	0
XM_027381184.1	0
XM_027381278.1	0
XM_027381309.1	0
XM_027381310.1	0
XM_027381311.1	0
XM_027381338.1	0
XM_027381346.1	0
XM_027381353.1	0
XM_027381688.1	0
XM_027381752.1	0
XM_027381766.1	0
XM_027381884.1	0
XM_027382161.1	0
XM_027382176.1	0
XM_027382474.1	0
XM_027382822.1	0
XM_027382868.1	0
XM_027382912.1	0
XM_027382995.1	0
XM_027383063.1	0
XR_003475547.1	0
XR_003476034.1	0
XR_003476115.1	0
XR_003476154.1	0
XR_003476155.1	0
XR_003476243.1	0
XR_003476669.1	0
XR_003476680.1	0
XR_003476853.1	0
XR_003477060.1	0
XR_003477586.1	0
XR_003477884.1	0
XR_003477963.1	0
XM_027351188.1	1.11022302462516e-16
XM_027351489.1	1.11022302462516e-16
XM_027351815.1	1.11022302462516e-16
XM_027352801.1	1.11022302462516e-16
XM_027356980.1	1.11022302462516e-16
XM_027357934.1	1.11022302462516e-16
XM_027360477.1	1.11022302462516e-16
XM_027360726.1	1.11022302462516e-16
XM_027362174.1	1.11022302462516e-16
XM_027362562.1	1.11022302462516e-16
XM_027366955.1	1.11022302462516e-16
XM_027367238.1	1.11022302462516e-16
XM_027368874.1	1.11022302462516e-16
XM_027372507.1	1.11022302462516e-16
XM_027372982.1	1.11022302462516e-16
XM_027373151.1	1.11022302462516e-16
XM_027373321.1	1.11022302462516e-16
XM_027373608.1	1.11022302462516e-16
XM_027373725.1	1.11022302462516e-16
XM_027374780.1	1.11022302462516e-16
XM_027375747.1	1.11022302462516e-16
XM_027376347.1	1.11022302462516e-16
XM_027376768.1	1.11022302462516e-16
XM_027379114.1	1.11022302462516e-16
XM_027379729.1	1.11022302462516e-16
XM_027381308.1	1.11022302462516e-16
XM_027381376.1	1.11022302462516e-16
XM_027381567.1	1.11022302462516e-16
XM_027381689.1	1.11022302462516e-16
XM_027381863.1	1.11022302462516e-16
XM_027383622.1	1.11022302462516e-16
XR_003476083.1	1.11022302462516e-16
XR_003477357.1	1.11022302462516e-16
XM_027351659.1	2.22044604925031e-16
XM_027351973.1	2.22044604925031e-16
XM_027352694.1	2.22044604925031e-16
XM_027356812.1	2.22044604925031e-16
XM_027357431.1	2.22044604925031e-16
XM_027360461.1	2.22044604925031e-16
XM_027362104.1	2.22044604925031e-16
XM_027362179.1	2.22044604925031e-16
XM_027362560.1	2.22044604925031e-16
XM_027364597.1	2.22044604925031e-16
XM_027365556.1	2.22044604925031e-16
XM_027365601.1	2.22044604925031e-16
XM_027370972.1	2.22044604925031e-16
XM_027372536.1	2.22044604925031e-16
XM_027373314.1	2.22044604925031e-16
XM_027373623.1	2.22044604925031e-16
XM_027381547.1	2.22044604925031e-16
XM_027382549.1	2.22044604925031e-16
XM_027354816.1	3.33066907387547e-16
XM_027355231.1	3.33066907387547e-16
XM_027355502.1	3.33066907387547e-16
XM_027361154.1	3.33066907387547e-16
XM_027361568.1	3.33066907387547e-16
XM_027362725.1	3.33066907387547e-16
XM_027364047.1	3.33066907387547e-16
