ID	logFC	logCPM	PValue	FDR	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_wssv_1	hemocytes_wssv_2	hemocytes_wssv_3	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_wssv_1_normalized	hemocytes_wssv_2_normalized	hemocytes_wssv_3_normalized	Expression
XM_027375510.1	9.66052102233268	0.52778496930411	3.29650980427035e-22	4.73906249461906e-18	0	0	0	123	124	154	0	0	0	2.49436459754342	2.90626651410497	2.51304135092336	Down_hemocytes_Up_hemocytes_wssv
XM_027379490.1	-4.67753261998636	7.82213947890007	1.22321521779904e-21	8.79247098553949e-18	11333	12336	7458	1259	492	858	313.393427174906	645.040298986462	348.691060076063	25.5317481976192	11.5313155237068	14.0012303837158	Up_hemocytes_Down_hemocytes_wssv
XM_027363874.1	-4.63187456239741	5.66413623699858	2.11138747037939e-19	1.0117768758058e-15	2045	2455	2308	281	85	251	56.5507419547059	128.37013083753	107.908147848693	5.69850773910326	1.9921988201526	4.09593103299846	Up_hemocytes_Down_hemocytes_wssv
XM_027356981.1	-7.07726931115305	7.49395876760826	1.69474318887738e-17	4.87272561666023e-14	9612	9624	6523	252	21	143	265.802313774393	503.231828586715	304.976104166822	5.11040551691822	0.492190296743583	2.33353839728597	Up_hemocytes_Down_hemocytes_wssv
XM_027379151.1	-3.25617532454284	10.5045517126824	1.35828928108271e-17	4.87272561666023e-14	69402	61841	58561	12951	14464	13741	1919.1856201176	3233.62006563082	2737.95885882466	262.638340673047	339.001926290437	224.231825993752	Up_hemocytes_Down_hemocytes_wssv
XM_027355035.1	-3.32675813821954	10.1027838530828	3.13556332865199e-17	7.51280973545018e-14	57271	47399	41446	13101	7983	8898	1583.72495965181	2478.45858719677	1937.76477284963	265.680248718832	187.102625662096	145.201571042312	Up_hemocytes_Down_hemocytes_wssv
XM_027370857.1	-3.1564732165424	7.21346274187914	5.34422986082137e-17	1.09755212113097e-13	12054	5628	3703	1814	1132	1623	333.33136602544	294.283949634874	173.12992698601	36.7868079670225	26.5314007577969	26.4848448866793	Up_hemocytes_Down_hemocytes_wssv
XM_027354773.1	-4.51472076167212	3.95562784901764	1.20415909584612e-16	2.16387389523548e-13	1638	584	287	60	35	113	45.2958999128647	30.5369272542229	13.4183875357777	1.21676321831386	0.820317161239305	1.84398488736584	Up_hemocytes_Down_hemocytes_wssv
XM_027378670.1	-3.36957041000874	2.61336307558704	8.19012093979923e-16	1.30823531811726e-12	265	303	226	53	46	67	7.32809125574428	15.843645476078	10.5663957598807	1.07480750951058	1.07813112620023	1.09333617215497	Up_hemocytes_Down_hemocytes_wssv
XM_027354585.1	-2.45704172461844	6.07632135185983	6.59173774407076e-15	9.47628218087613e-12	3359	2743	2274	1017	884	1289	92.8870133133776	143.429437428653	106.318513088357	20.62413655042	20.718867729587	21.0344824762351	Up_hemocytes_Down_hemocytes_wssv
XM_027382822.1	-2.52784267873028	5.04363032030759	1.66573625067037e-14	2.17696584905793e-11	1539	1193	1366	568	382	538	42.5582356324168	62.3810859833698	63.8659141946771	11.5186918000379	8.95317587409756	8.77932627790107	Up_hemocytes_Down_hemocytes_wssv
XM_027380496.1	-3.90462202815522	6.28974570332008	2.1874931249417e-14	2.62061676368016e-11	3524	4812	1953	643	274	608	97.449787114124	251.615914293357	91.3104907922434	13.0396458229302	6.42191149084484	9.92161780104805	Up_hemocytes_Down_hemocytes_wssv
XM_027372149.1	-3.54514236444023	7.00309464351248	2.57959722855805e-14	2.85263767367312e-11	4037	6586	5417	858	762	1561	111.635865658263	344.377059753959	253.266220492362	17.3997140218882	17.8594764818386	25.4731009661777	Up_hemocytes_Down_hemocytes_wssv
XM_027359278.1	2.70073068491687	3.86872953500577	5.72692341145899e-14	5.88073221165246e-11	159	77	67	1224	765	1997	4.39685475344657	4.02627294276569	3.13251555713277	24.8219696536028	17.9297893813734	32.5879453103503	Down_hemocytes_Up_hemocytes_wssv
XM_027360937.1	9.35500397603605	0.249815789458053	7.22117660279537e-14	6.48822717761164e-11	0	0	0	42	102	193	0	0	0	0.851734252819704	2.39063858418312	3.14946091381953	Down_hemocytes_Up_hemocytes_wssv
XM_027369084.1	-2.99255237790386	3.97361336597965	6.98311836520328e-14	6.48822717761164e-11	608	761	586	148	147	250	16.8131301263869	39.7921260966843	27.3978226340269	3.00134927184086	3.44533207720508	4.07961258266779	Up_hemocytes_Down_hemocytes_wssv
XM_027372425.1	-2.4686141356425	6.54197772532408	9.30658971016548e-14	7.87009021607876e-11	4196	3345	3909	1594	1040	1768	116.03272041171	174.907571344821	182.761243475105	32.325342833205	24.3751385053965	28.8510201846266	Up_hemocytes_Down_hemocytes_wssv
XM_027356700.1	-2.6999134838016	4.53261478242443	1.60764153425889e-13	1.22882818368302e-10	1103	789	1043	357	176	438	30.5014515286262	41.2562253485991	48.7643839714848	7.23974114896748	4.12502343937479	7.14748124483396	Up_hemocytes_Down_hemocytes_wssv
XM_027362559.1	-5.24425076050121	7.50379575794996	1.62407731566343e-13	1.22882818368302e-10	3962	12734	6119	308	629	430	109.561877567015	665.851424067251	286.087502896947	6.2460511873445	14.7422712691292	7.01693364218859	Up_hemocytes_Down_hemocytes_wssv
XM_027365601.1	-3.36997218185639	7.90388515232449	2.16135317003962e-13	1.55358065862448e-10	10119	10685	10096	1442	1354	4029	279.822473271232	558.710732382486	472.028015892724	29.2428760134765	31.734555323372	65.747036382274	Up_hemocytes_Down_hemocytes_wssv
XM_027364902.1	-5.36282837032701	0.99682990037753	2.41715318127492e-13	1.65471400638134e-10	89	140	48	6	5	3	2.46113253494808	7.32049625957399	2.24419024988617	0.121676321831386	0.117188165891329	0.0489553509920134	Up_hemocytes_Down_hemocytes_wssv
XM_027362556.1	-4.5518348494647	10.7717521215919	3.64856802291165e-13	2.38417335897172e-10	88562	85244	67479	11651	6326	2722	2449.02044449519	4457.34559393661	3154.9107056681	236.27513760958	148.26646748571	44.4188218000868	Up_hemocytes_Down_hemocytes_wssv
XM_027352200.1	-3.28615357089994	6.04899908870151	4.45844805166533e-13	2.78672387785829e-10	3447	3399	1872	881	316	715	95.3204926737757	177.731191330657	87.5234197455605	17.8661399222419	7.40629208433201	11.6676919864299	Up_hemocytes_Down_hemocytes_wssv
XM_027362555.1	-4.43445510375931	11.4534148537381	5.00609433694463e-13	2.99865050782983e-10	151186	129084	110188	19824	11333	4666	4180.77284751304	6749.7067083632	5151.72573446785	402.0185673309	265.618696809287	76.1418892429115	Up_hemocytes_Down_hemocytes_wssv
XR_003476853.1	-2.50028742417389	6.62106460280858	5.49575280720276e-13	3.16027769425387e-10	4831	2752	4802	1283	1514	1668	133.592486250946	143.900040759626	224.512532915695	26.0184534849448	35.4845766318945	27.2191751515595	Up_hemocytes_Down_hemocytes_wssv
XM_027366112.1	-2.76101498169734	3.80359491941673	6.30510029471938e-13	3.48623545526484e-10	1032	535	354	231	151	157	28.5380761355777	27.974753563372	16.5509030929105	4.68453839050837	3.53908260991814	2.56199670191537	Up_hemocytes_Down_hemocytes_wssv
