ID	logFC	logCPM	PValue	FDR	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_wssv_1	hemocytes_wssv_2	hemocytes_wssv_3	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_wssv_1_normalized	hemocytes_wssv_2_normalized	hemocytes_wssv_3_normalized	Expression
XM_027350688.1	-1.75017009735866	4.15067800665671	1.92111622374051e-06	5.9908821762459e-05	801	735	463	417	252	615	22.1501928145327	38.4326053627634	21.6470851186936	8.45650436728135	5.90628356092299	10.0358469533628	Up_hemocytes_Down_hemocytes_wssv
XM_027350689.1	-1.92596525950989	4.12343274187169	7.45726261153103e-08	4.0302859888485e-06	827	688	514	458	216	455	22.8691753528322	35.9750101899064	24.0315372591977	9.28795923312915	5.06252876650542	7.42489490045537	Up_hemocytes_Down_hemocytes_wssv
XM_027350694.1	-1.67085847052936	2.13938809922085	8.77211746504613e-06	0.000201450416417737	229	170	105	99	85	141	6.33257697194506	8.8891740294827	4.90916617162599	2.00765931021787	1.9921988201526	2.30090149662463	Up_hemocytes_Down_hemocytes_wssv
XM_027350703.1	-2.30129561194803	10.6226638037673	2.21443839930206e-06	6.74465390431492e-05	40878	50578	87470	21145	28700	30279	1130.40646925402	2644.68614154809	4089.56919078214	428.807637520777	672.66007221623	494.106357562392	Up_hemocytes_Down_hemocytes_wssv
XM_027350704.1	-2.10093048354584	9.82317439154855	1.91512048846885e-05	0.000377664912787766	22934	28036	49360	13000	19683	18541	634.197905129205	1465.98166523869	2307.77564029961	263.63203063467	461.322933847807	302.560387580974	Up_hemocytes_Down_hemocytes_wssv
XM_027350705.1	-2.09011418965819	9.60136228643358	1.85814942561171e-05	0.000368451808863364	19988	23610	42502	11338	16974	15853	552.731652904969	1234.54940491816	1987.13695834712	229.927689487376	397.830385567885	258.69639309213	Up_hemocytes_Down_hemocytes_wssv
XM_027350768.1	-1.832387961608	3.22024656070808	9.31031898514495e-07	3.32121949703335e-05	402	370	284	267	133	228	11.1165761690913	19.3470258288741	13.2781256451598	5.41459632149669	3.11720521270936	3.72060667539302	Up_hemocytes_Down_hemocytes_wssv
XM_027350769.1	-1.71704456580148	4.6855514881898	9.9595282150013e-07	3.50926905928575e-05	912	927	958	530	608	675	25.2196951895803	48.4721430901792	44.7902970706447	10.7480750951058	14.2500809723856	11.014953973203	Up_hemocytes_Down_hemocytes_wssv
XM_027350771.1	-1.84835197928974	4.64040854933626	2.74960572205899e-07	1.22001024260247e-05	842	900	1003	588	462	599	23.2839729710818	47.0603330972613	46.894225429913	11.9242795394759	10.8281865283588	9.77475174807201	Up_hemocytes_Down_hemocytes_wssv
XM_027350773.1	-2.07851984482868	2.81810659853075	1.69608335416235e-06	5.44261033469598e-05	304	353	160	111	116	192	8.40656506319344	18.4581084259258	7.48063416628722	2.25101195388065	2.71876544867884	3.13314246348886	Up_hemocytes_Down_hemocytes_wssv
XM_027350844.1	-2.21891992217127	2.26586406694757	1.60967132815103e-06	5.24730952687058e-05	159	142	258	67	95	94	4.39685475344657	7.4250747775679	12.0625225931381	1.35871892711715	2.22657515193526	1.53393433108309	Up_hemocytes_Down_hemocytes_wssv
XM_027350886.1	1.74697530375586	3.8852501101538	7.74319597165299e-05	0.00111763238241449	294	62	188	776	1330	1285	8.13003331769366	3.24193405781134	8.78974514538748	15.7368042901926	31.1720521270936	20.9692086749124	Down_hemocytes_Up_hemocytes_wssv
XM_027350894.1	1.81415398984265	3.80621868178585	2.4040361951476e-05	0.000450005525279192	274	62	162	712	1272	1266	7.57696982669409	3.24193405781134	7.57414209336581	14.4389235239912	29.8126694027542	20.6591581186297	Down_hemocytes_Up_hemocytes_wssv
XM_027350896.1	-1.79051382027195	4.55520913551048	2.90314967908367e-06	8.31388043555914e-05	965	1072	573	602	446	550	26.6853134407292	56.054085644738	26.7900211080161	12.2081909570824	10.4531843975066	8.97514768186913	Up_hemocytes_Down_hemocytes_wssv
XM_027350903.1	-3.15003388782221	4.22944009708547	1.15478677434456e-07	5.90790557579266e-06	925	940	570	371	90	109	25.57918645873	49.1519034571396	26.6497592173982	7.52365256657405	2.10938698604393	1.77871108604315	Up_hemocytes_Down_hemocytes_wssv
XM_027350912.1	-1.50017976436785	3.2598478292974	0.000187400147325557	0.00219993623059919	695	243	223	312	128	346	19.218956312235	12.7062899362606	10.4261338692628	6.32716873523209	3.00001704681803	5.64618381441221	Up_hemocytes_Down_hemocytes_wssv
XM_027351003.1	-1.76628009930234	3.12203196410129	6.28617829014196e-07	2.41631281013585e-05	522	326	190	188	177	239	14.4349571150887	17.046298433008	8.88325307246607	3.81252475071677	4.14846107255306	3.9001096290304	Up_hemocytes_Down_hemocytes_wssv
XM_027351009.1	-1.57201763412723	2.32120520938782	4.58682263911485e-06	0.000120548742705512	282	165	128	126	100	161	7.79819522309392	8.62772773449791	5.98450733302978	2.55520275845911	2.34376331782659	2.62727050323805	Up_hemocytes_Down_hemocytes_wssv
XM_027351017.1	-2.45198876851481	5.62501556778583	6.75804209343476e-12	2.20803666216405e-09	2860	1943	1492	905	742	615	79.0880792129383	101.598030231088	69.7569136006283	18.3528452095674	17.3907238182733	10.0358469533628	Up_hemocytes_Down_hemocytes_wssv
XM_027351020.1	-2.00751726912964	5.72770531388223	1.34066226564147e-08	9.93472202621738e-07	2032	2240	1742	984	1007	1212	56.1912506855562	117.127940153184	81.4454044854521	19.9549167803474	23.6016966105137	19.7779618007734	Up_hemocytes_Down_hemocytes_wssv
XM_027351040.1	-2.54734671638807	1.0551520520758	6.20450557492007e-07	2.39131292614077e-05	126	91	53	40	12	44	3.48429999329728	4.75832256872309	2.47796006758264	0.811175478875909	0.28125159813919	0.71801181454953	Up_hemocytes_Down_hemocytes_wssv
XM_027351085.1	1.9792809014415	0.669323365502908	7.77230888396013e-06	0.000182573059666357	21	11	14	99	126	135	0.580716665549547	0.575181848966527	0.654555489550132	2.00765931021787	2.9531417804615	2.2029907946406	Down_hemocytes_Up_hemocytes_wssv
XM_027351097.1	1.54942870174342	1.90279589606207	0.00038477106117669	0.00384819951868203	60	31	49	187	183	502	1.65919047299871	1.62096702890567	2.29094421342546	3.79224536374487	4.28908687162265	8.19186206599691	Down_hemocytes_Up_hemocytes_wssv
XM_027351106.1	1.59815751383504	2.14793294721537	9.41242880314857e-05	0.00129734493263724	79	35	52	195	300	525	2.1846007894483	1.8301240648935	2.43120610404335	3.95448045952005	7.03128995347975	8.56718642360235	Down_hemocytes_Up_hemocytes_wssv
XM_027351115.1	1.59095993351764	1.92816413470298	5.68798281828726e-05	0.000884004767521055	51	35	50	221	220	432	1.4103119020489	1.8301240648935	2.33769817696476	4.48174452078939	5.15627929921849	7.04957054284993	Down_hemocytes_Up_hemocytes_wssv
XM_027351132.1	1.53747378716417	1.94101290420732	0.000244309646240541	0.00270376864846345	47	35	57	218	217	440	1.29969920384899	1.8301240648935	2.66497592173982	4.4209063598737	5.08596639968369	7.1801181454953	Down_hemocytes_Up_hemocytes_wssv
XM_027351188.1	-2.98660340102754	9.32250997875606	4.05932638663928e-06	0.000110107313460993	48322	28140	12910	13987	4156	3023	1336.25670060406	1471.41974817437	603.5936692923	283.647785575933	97.4068034888729	49.3306753496189	Up_hemocytes_Down_hemocytes_wssv
XM_027351256.1	-1.74063835693484	4.2264966492274	2.30542628488792e-07	1.05887566362776e-05	1040	662	494	501	262	585	28.7593015319776	34.6154894559856	23.0964579884118	10.1599728729208	6.14065989270565	9.54629344344262	Up_hemocytes_Down_hemocytes_wssv
XM_027351271.1	-1.66657603355545	1.15104309817683	0.002055831726381	0.0138972885970272	165	38	74	83	21	60	4.56277380074644	1.98699184188437	3.45979330190784	1.68318911866751	0.492190296743583	0.979107019840268	Up_hemocytes_Down_hemocytes_wssv
