ID	FDR
XM_027375510.1	4.73906249461906e-18
XM_027379490.1	8.79247098553949e-18
XM_027363874.1	1.0117768758058e-15
XM_027356981.1	4.87272561666023e-14
XM_027379151.1	4.87272561666023e-14
XM_027355035.1	7.51280973545018e-14
XM_027370857.1	1.09755212113097e-13
XM_027354773.1	2.16387389523548e-13
XM_027378670.1	1.30823531811726e-12
XM_027354585.1	9.47628218087613e-12
XM_027382822.1	2.17696584905793e-11
XM_027380496.1	2.62061676368016e-11
XM_027372149.1	2.85263767367312e-11
XM_027359278.1	5.88073221165246e-11
XM_027360937.1	6.48822717761164e-11
XM_027369084.1	6.48822717761164e-11
XM_027372425.1	7.87009021607876e-11
XM_027356700.1	1.22882818368302e-10
XM_027362559.1	1.22882818368302e-10
XM_027365601.1	1.55358065862448e-10
XM_027364902.1	1.65471400638134e-10
XM_027362556.1	2.38417335897172e-10
XM_027352200.1	2.78672387785829e-10
XM_027362555.1	2.99865050782983e-10
XR_003476853.1	3.16027769425387e-10
XM_027366112.1	3.48623545526484e-10
XM_027380827.1	5.36684343497823e-10
XM_027368745.1	6.82745287096302e-10
XM_027370692.1	7.07148332766984e-10
XM_027362558.1	7.97818362295495e-10
XM_027378576.1	8.06712082704634e-10
XR_003475421.1	8.06712082704634e-10
XM_027360478.1	8.17198462884378e-10
XM_027378861.1	1.17261536788063e-09
XM_027364044.1	1.19336397253224e-09
XM_027352755.1	1.23768358298242e-09
XM_027362561.1	1.32366027855893e-09
XM_027378860.1	1.32366027855893e-09
XM_027381309.1	1.32366027855893e-09
XM_027364045.1	1.38337311085606e-09
XR_003475419.1	1.5163926674099e-09
XM_027360477.1	1.53764913958076e-09
XM_027380826.1	2.19564733993602e-09
XM_027351017.1	2.20803666216405e-09
XM_027362565.1	2.70443496301528e-09
XM_027380825.1	2.94396907477981e-09
XM_027351730.1	3.69363511848177e-09
XM_027364042.1	3.69842596825972e-09
XM_027355965.1	4.75889448765078e-09
XR_003475420.1	5.57434779853972e-09
XM_027366108.1	5.80925253639233e-09
XM_027366194.1	7.16387246471034e-09
XM_027365779.1	7.721628579604e-09
XM_027366111.1	7.721628579604e-09
XM_027370803.1	7.721628579604e-09
XM_027372302.1	7.721628579604e-09
XM_027373151.1	7.721628579604e-09
XM_027381338.1	7.721628579604e-09
XM_027352252.1	8.14187559446357e-09
XM_027353848.1	8.14187559446357e-09
XM_027381346.1	8.14187559446357e-09
XM_027356980.1	8.7679763385781e-09
XM_027364039.1	8.7679763385781e-09
XM_027381353.1	8.7679763385781e-09
XM_027362564.1	1.11988320770041e-08
XM_027362560.1	1.14034408878238e-08
XM_027377859.1	1.17123789600517e-08
XM_027364034.1	1.28323849234868e-08
XM_027364043.1	1.28323849234868e-08
XM_027377858.1	1.28323849234868e-08
XM_027368486.1	1.43554771164879e-08
XM_027352258.1	1.52905574492363e-08
XM_027360481.1	1.56866658009545e-08
XM_027381184.1	1.5729628109813e-08
XM_027376768.1	1.57566073024371e-08
XM_027352082.1	1.62612510036861e-08
XM_027382995.1	1.73323790788364e-08
XM_027356863.1	1.75326952194819e-08
XM_027359320.1	1.75326952194819e-08
XM_027365167.1	1.90520639402703e-08
XR_003476729.1	1.90723388960939e-08
XM_027377860.1	1.97161562219979e-08
XM_027374831.1	2.00765829319998e-08
XM_027356692.1	2.05457145140726e-08
XM_027364047.1	2.06187980109872e-08
XM_027380265.1	2.21508321473026e-08
XM_027381308.1	2.33862196225062e-08
XR_003475463.1	2.33862196225062e-08
XM_027374780.1	2.48518013205866e-08
XM_027377238.1	2.48518013205866e-08
XM_027362557.1	2.74389909603861e-08
XM_027370767.1	2.76438122659933e-08
XM_027362562.1	3.16608232875753e-08
XM_027381310.1	3.16608232875753e-08
XM_027363222.1	3.51263893649895e-08
XM_027353727.1	3.54215186049091e-08
XM_027372510.1	3.54215186049091e-08
XM_027353705.1	3.63942325458679e-08
XM_027364609.1	3.63942325458679e-08
XM_027360426.1	4.02125205168415e-08
XM_027362566.1	4.52179840443274e-08
XM_027382176.1	4.52549212518739e-08
XM_027377064.1	4.62545098115143e-08
XM_027381311.1	5.18381885247354e-08
XM_027364343.1	5.36482702908124e-08
XM_027373271.1	5.36482702908124e-08
XM_027379085.1	5.36482702908124e-08
XM_027354055.1	5.82214438289348e-08
XR_003476291.1	5.82214438289348e-08
XM_027379867.1	5.98436239572372e-08
XM_027383622.1	6.1689481103475e-08
XR_003477128.1	7.73585597717498e-08
XM_027361568.1	8.04659091528249e-08
XM_027352110.1	8.28334399732196e-08
XM_027360825.1	8.28334399732196e-08
XM_027351673.1	8.63148389994062e-08
XM_027377063.1	8.72076297857566e-08
XM_027381766.1	9.27485908222146e-08
XM_027362174.1	9.42951596478738e-08
XM_027359325.1	1.00046420939112e-07
XR_003477346.1	1.00046420939112e-07
XM_027358246.1	1.09140450677124e-07
XM_027362563.1	1.09140450677124e-07
XM_027379729.1	1.17813214408751e-07
XM_027381689.1	1.20130087418871e-07
XM_027381693.1	1.2913488124675e-07
XR_003476432.1	1.33380523529897e-07
XM_027366110.1	1.33393130449483e-07
XM_027360509.1	1.58300997709835e-07
XM_027369557.1	1.58300997709835e-07
XM_027375317.1	1.75598150039793e-07
XM_027359317.1	1.78164884075698e-07
XM_027364040.1	1.81839213360741e-07
XM_027354045.1	1.97225575504188e-07
XM_027359326.1	2.06884281908484e-07
XM_027361178.1	2.32151155971938e-07
XM_027369073.1	2.32151155971938e-07
XM_027370830.1	2.33670123912784e-07
XM_027356801.1	2.49236344132062e-07
XM_027371605.1	2.54840697079511e-07
XM_027356798.1	2.85665633169261e-07
XM_027351966.1	2.88666321466002e-07
XM_027383758.1	2.90782124687951e-07
XR_003476940.1	2.90782124687951e-07
XM_027382167.1	2.97443296826609e-07
XM_027378690.1	3.04825874694526e-07
XM_027381752.1	3.04825874694526e-07
XM_027368869.1	3.06666059494899e-07
XM_027381688.1	3.27798328969301e-07
XR_003476034.1	3.76267346911288e-07
XM_027355228.1	3.95496060283528e-07
XM_027362128.1	3.95496060283528e-07
XM_027371994.1	3.95496060283528e-07
XM_027378669.1	4.10784035055749e-07
XM_027382092.1	4.19278685357865e-07
XM_027382868.1	4.19278685357865e-07
XM_027371851.1	4.26180635665844e-07
XM_027352256.1	4.29820055936005e-07
XM_027366109.1	4.35080791521308e-07
XM_027376390.1	4.50781869912428e-07
XM_027353742.1	4.57748437825779e-07
XM_027378426.1	4.57748437825779e-07
XM_027357991.1	5.04976505812055e-07
XM_027371691.1	5.12253071285619e-07
XM_027360025.1	5.18321582786133e-07
XM_027352257.1	5.42340692470858e-07
XM_027379682.1	5.43430926121577e-07
XM_027367187.1	5.56596979139046e-07
XM_027369348.1	5.69447947412882e-07
XM_027358622.1	5.70498753051965e-07
XM_027368306.1	5.71873829481323e-07
XM_027372899.1	5.71873829481323e-07
XM_027362923.1	6.07994824255963e-07
XM_027376052.1	6.15978688607679e-07
XM_027353506.1	6.57585276580728e-07
XM_027352259.1	6.69680514656316e-07
XM_027359322.1	6.76484704108046e-07
XR_003476435.1	7.1484741749321e-07
XM_027373607.1	7.39816547111087e-07
XM_027375865.1	7.41173511481626e-07
XM_027359318.1	7.45861838145169e-07
XM_027356797.1	7.47506702095752e-07
XM_027368427.1	7.62793943804245e-07
XM_027361199.1	8.21943021653784e-07
XM_027374650.1	8.26288958711627e-07
XM_027362546.1	8.99839668368142e-07
XM_027380939.1	8.99839668368142e-07
XM_027359033.1	9.16001947539067e-07
XM_027360727.1	9.45798174251634e-07
XM_027377671.1	9.45798174251634e-07
XM_027353779.1	9.51445274909722e-07
XM_027351020.1	9.93472202621738e-07
XM_027360479.1	9.93472202621738e-07
XM_027361794.1	9.93472202621738e-07
XM_027356341.1	1.04134428201307e-06
XM_027364652.1	1.04221695501263e-06
XM_027379879.1	1.04999360882047e-06
XM_027360726.1	1.07703730203579e-06
XM_027353508.1	1.07855646743439e-06
XM_027355023.1	1.07855646743439e-06
XM_027372388.1	1.08022653479827e-06
XM_027370829.1	1.10177868395138e-06
XM_027379017.1	1.11769669504126e-06
XM_027359321.1	1.1332940032108e-06
XM_027364241.1	1.1332940032108e-06
XR_003475464.1	1.14690615731071e-06
XM_027352801.1	1.27519443400646e-06
XM_027355317.1	1.27519443400646e-06
XM_027362489.1	1.27519443400646e-06
XM_027357312.1	1.27974218435103e-06
XM_027352773.1	1.35234910645952e-06
XM_027363466.1	1.37561342195704e-06
XM_027359280.1	1.3855471413866e-06
XR_003476154.1	1.3855471413866e-06
XM_027370568.1	1.44006013704273e-06
XM_027371607.1	1.44006013704273e-06
XM_027369688.1	1.44758224643406e-06
XM_027377097.1	1.45184299579986e-06
XM_027355869.1	1.58239699509095e-06
XM_027360856.1	1.61233679645041e-06
XM_027379403.1	1.61893977652823e-06
XM_027380034.1	1.64159180903652e-06
XM_027351973.1	1.64546004465233e-06
XM_027372110.1	1.64546004465233e-06
XM_027371062.1	1.75855384100724e-06
XM_027365361.1	1.75883221211091e-06
XM_027371606.1	1.7767446709185e-06
XM_027367435.1	1.81215734882701e-06
XM_027362398.1	1.81755956536453e-06
XM_027356693.1	1.82441620368875e-06
XM_027358699.1	1.83923606346082e-06
XR_003475806.1	1.88457850600949e-06
XM_027352251.1	1.8885004720128e-06
XM_027354652.1	1.8885004720128e-06
XM_027356883.1	1.8885004720128e-06
XM_027379404.1	1.8885004720128e-06
XM_027377675.1	1.90636028431151e-06
XM_027369991.1	1.98965664156926e-06
XM_027381097.1	2.0471309372084e-06
XM_027359316.1	2.22549762402645e-06
XM_027377670.1	2.22549762402645e-06
XM_027381501.1	2.25792311019609e-06
XR_003476210.1	2.26843417996532e-06
XM_027362551.1	2.28186703676611e-06
XM_027369547.1	2.28186703676611e-06
XR_003477617.1	2.28186703676611e-06
XM_027354816.1	2.28913795792699e-06
