ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_wssv_1	hemocytes_wssv_2	hemocytes_wssv_3	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_wssv_1_normalized	hemocytes_wssv_2_normalized	hemocytes_wssv_3_normalized	Expression
XM_027356981.1	-7.5239954468856	4.64619826654151	-11.4639502718182	6.28512878627868e-07	0.00301183371438474	6.27976860847077	9612	9624	6523	252	21	143	265.802313774393	503.231828586715	304.976104166822	5.11040551691822	0.492190296743583	2.33353839728597	Up_hemocytes_Down_hemocytes_wssv
XM_027375510.1	7.01368435033425	-2.10815196972432	11.6269480782547	5.53231254289803e-07	0.00301183371438474	3.68055660108663	0	0	0	123	124	154	0	0	0	2.49436459754342	2.90626651410497	2.51304135092336	Down_hemocytes_Up_hemocytes_wssv
XM_027379490.1	-4.70844461783361	6.34719446664663	-12.2747166671938	3.38276697040896e-07	0.00301183371438474	7.01501390856704	11333	12336	7458	1259	492	858	313.393427174906	645.040298986462	348.691060076063	25.5317481976192	11.5313155237068	14.0012303837158	Up_hemocytes_Down_hemocytes_wssv
XM_027363874.1	-4.67726906095566	4.18888219216689	-11.0201339925158	8.96903171076076e-07	0.00322346999684742	6.17496560354218	2045	2455	2308	281	85	251	56.5507419547059	128.37013083753	107.908147848693	5.69850773910326	1.9921988201526	4.09593103299846	Up_hemocytes_Down_hemocytes_wssv
XM_027354585.1	-2.44429390928818	5.59509164240343	-10.464031847218	1.42571181551947e-06	0.00341875927670894	5.83259579533694	3359	2743	2274	1017	884	1289	92.8870133133776	143.429437428653	106.318513088357	20.62413655042	20.718867729587	21.0344824762351	Up_hemocytes_Down_hemocytes_wssv
XM_027370857.1	-3.1040463570225	6.44621532126963	-10.463086367525	1.42686113385181e-06	0.00341875927670894	5.79853155071568	12054	5628	3703	1814	1132	1623	333.33136602544	294.283949634874	173.12992698601	36.7868079670225	26.5314007577969	26.4848448866793	Up_hemocytes_Down_hemocytes_wssv
XM_027351017.1	-2.49037362760683	5.12428288679083	-8.60481708897981	7.93429407607255e-06	0.00348279292626843	4.21601099857624	2860	1943	1492	905	742	615	79.0880792129383	101.598030231088	69.7569136006283	18.3528452095674	17.3907238182733	10.0358469533628	Up_hemocytes_Down_hemocytes_wssv
XM_027352200.1	-3.30813655558601	5.18285568161794	-8.79792455550996	6.55052267658087e-06	0.00348279292626843	4.39701277668105	3447	3399	1872	881	316	715	95.3204926737757	177.731191330657	87.5234197455605	17.8661399222419	7.40629208433201	11.6676919864299	Up_hemocytes_Down_hemocytes_wssv
XM_027353848.1	-2.0448346800852	5.55033154583004	-8.86325566326971	6.14394088173988e-06	0.00348279292626843	4.46202046823724	2877	2150	2044	1311	887	1371	79.558183180288	112.421906843458	95.5651014743192	26.5862763201579	20.7891806291218	22.3725954033501	Up_hemocytes_Down_hemocytes_wssv
XM_027355035.1	-3.35531661147706	9.26798818576127	-9.88166821785174	2.3705309909795e-06	0.00348279292626843	5.14192556158099	57271	47399	41446	13101	7983	8898	1583.72495965181	2478.45858719677	1937.76477284963	265.680248718832	187.102625662096	145.201571042312	Up_hemocytes_Down_hemocytes_wssv
