ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_wssv_1	hemocytes_wssv_2	hemocytes_wssv_3	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_wssv_1_normalized	hemocytes_wssv_2_normalized	hemocytes_wssv_3_normalized	Expression
XM_027350688.1	-1.71242625058583	3.85803479526948	-5.58123242193955	0.000268043802577338	0.0105044184116752	0.74073759054032	801	735	463	417	252	615	22.1501928145327	38.4326053627634	21.6470851186936	8.45650436728135	5.90628356092299	10.0358469533628	Up_hemocytes_Down_hemocytes_wssv
XM_027350689.1	-1.92481303455892	3.78808666415738	-6.52367591245268	7.96198785000496e-05	0.00596174931729886	1.95895800518881	827	688	514	458	216	455	22.8691753528322	35.9750101899064	24.0315372591977	9.28795923312915	5.06252876650542	7.42489490045537	Up_hemocytes_Down_hemocytes_wssv
XM_027350694.1	-1.61824123779333	1.89124480491726	-5.27898886909914	0.000405903206896623	0.0121985380642812	0.412056235572572	229	170	105	99	85	141	6.33257697194506	8.8891740294827	4.90916617162599	2.00765931021787	1.9921988201526	2.30090149662463	Up_hemocytes_Down_hemocytes_wssv
XM_027350703.1	-2.17680566536175	10.0993268743747	-4.78954855878262	0.000817088495892321	0.0162338594050162	-0.240441070944236	40878	50578	87470	21145	28700	30279	1130.40646925402	2644.68614154809	4089.56919078214	428.807637520777	672.66007221623	494.106357562392	Up_hemocytes_Down_hemocytes_wssv
XM_027350704.1	-1.9888396436113	9.35533747281385	-4.34943178295038	0.00157860567170806	0.0218272755863804	-0.905391141728566	22934	28036	49360	13000	19683	18541	634.197905129205	1465.98166523869	2307.77564029961	263.63203063467	461.322933847807	302.560387580974	Up_hemocytes_Down_hemocytes_wssv
XM_027350705.1	-1.97923842267002	9.13884617195164	-4.39012167179933	0.00148364171384401	0.0213501834616832	-0.852790225404951	19988	23610	42502	11338	16974	15853	552.731652904969	1234.54940491816	1987.13695834712	229.927689487376	397.830385567885	258.69639309213	Up_hemocytes_Down_hemocytes_wssv
XM_027350768.1	-1.8088576879193	2.91164281762425	-5.81600802527831	0.000195902857043325	0.00874627165482871	1.08938423568636	402	370	284	267	133	228	11.1165761690913	19.3470258288741	13.2781256451598	5.41459632149669	3.11720521270936	3.72060667539302	Up_hemocytes_Down_hemocytes_wssv
XM_027350769.1	-1.67213793911053	4.4111515308137	-5.74009688375809	0.000216624122418134	0.00935191706871798	0.94138864422411	912	927	958	530	608	675	25.2196951895803	48.4721430901792	44.7902970706447	10.7480750951058	14.2500809723856	11.014953973203	Up_hemocytes_Down_hemocytes_wssv
XM_027350771.1	-1.77843252526884	4.32617005621524	-5.84225849171922	0.000189243249282952	0.00860937010029026	1.07973676338973	842	900	1003	588	462	599	23.2839729710818	47.0603330972613	46.894225429913	11.9242795394759	10.8281865283588	9.77475174807201	Up_hemocytes_Down_hemocytes_wssv
XM_027350773.1	-1.93608582214461	2.41122516334864	-5.17956569386028	0.000466589613026935	0.0128052991377071	0.25189902225079	304	353	160	111	116	192	8.40656506319344	18.4581084259258	7.48063416628722	2.25101195388065	2.71876544867884	3.13314246348886	Up_hemocytes_Down_hemocytes_wssv
