ID	logFC
XM_027356981.1	-7.5239954468856
XM_027375510.1	7.01368435033425
XM_027379490.1	-4.70844461783361
XM_027363874.1	-4.67726906095566
XM_027354585.1	-2.44429390928818
XM_027370857.1	-3.1040463570225
XM_027351017.1	-2.49037362760683
XM_027352200.1	-3.30813655558601
XM_027353848.1	-2.0448346800852
XM_027355035.1	-3.35531661147706
XM_027355965.1	-2.31798097512158
XM_027356700.1	-2.70529005740463
XM_027362559.1	-5.07924365963191
XM_027364039.1	-2.07855305977811
XM_027364042.1	-2.02654567884216
XM_027364043.1	-2.07927544240837
XM_027364044.1	-2.13261264826914
XM_027364045.1	-2.14546197923895
XM_027364047.1	-1.97162080059271
XM_027365601.1	-3.45051436835008
XM_027366112.1	-2.774436866938
XM_027370692.1	-2.25543679016271
XM_027372149.1	-3.46945407263621
XM_027372425.1	-2.46922965193369
XM_027374831.1	-1.96322667010533
XM_027376768.1	-2.16815656404626
XM_027378576.1	-2.7945116237261
XM_027378670.1	-3.25739213233987
XM_027378860.1	-2.05399777122989
XM_027378861.1	-2.15246471935593
XM_027379151.1	-3.25482259055898
XM_027380496.1	-3.81253703009946
XM_027381309.1	-2.35271123243485
XM_027382822.1	-2.51977819408611
XR_003475421.1	-2.44286287199339
XR_003476853.1	-2.48449156791595
XM_027380827.1	-3.34308132392661
XM_027364034.1	-2.27382707245637
XM_027359278.1	2.65288501305627
XM_027362561.1	-4.57593568462591
XM_027368745.1	-4.31694280673012
XM_027369084.1	-2.89511989452962
XR_003475419.1	-2.5512995192764
XM_027351730.1	-2.48519192413712
XM_027352252.1	-2.65474998927694
XM_027353727.1	-2.15738616284195
XM_027354773.1	-4.38619332434471
XM_027359320.1	-2.31509228145474
XM_027360477.1	-3.1507510999118
XM_027360478.1	-3.17322565370814
XM_027362128.1	-1.89718824798833
XM_027362558.1	-4.2324908148682
XM_027364040.1	-1.87528031077275
XM_027366108.1	-2.58641154713231
XM_027366111.1	-2.99845689473637
XM_027370767.1	-2.37318360478151
XM_027372510.1	-3.37919226813392
XM_027373151.1	-2.30674176532047
XM_027373271.1	-1.97572250770267
XM_027380825.1	-3.31384450855002
XM_027380826.1	-3.11458201160179
XM_027381308.1	-2.24721007128718
XM_027382176.1	-2.11713007710924
XR_003475420.1	-2.52360716044414
XR_003476291.1	-2.05413154134323
XM_027362560.1	-4.51941741217255
XM_027371605.1	-1.8714518609704
XM_027381310.1	-2.21433077705912
XM_027351966.1	-1.79278361117358
XM_027374780.1	-2.96192360429363
XM_027362556.1	-4.79957841352798
XM_027381311.1	-2.18547923136027
XR_003476729.1	-5.69764037099987
XM_027380265.1	-3.11389601606891
XM_027351973.1	-1.60951721786359
XM_027352082.1	-2.56694645207844
XM_027352258.1	-3.06208684864176
XM_027352755.1	-2.89071138486605
XM_027356692.1	-3.48011476251102
XM_027356798.1	-2.43777913302104
XM_027356801.1	-2.36919056468433
XM_027357312.1	-1.75741617284332
XM_027359317.1	-2.24834288030255
XM_027359325.1	-2.28798360493853
XM_027360825.1	-2.02180194600149
XM_027362174.1	-2.16469478892734
XM_027362555.1	-4.69407821419072
XM_027362565.1	-3.2574678570609
XM_027365167.1	-2.4622624480458
XM_027368869.1	-1.93212319411452
XM_027370829.1	-1.78410002841039
XM_027374650.1	-1.78277764876978
XM_027376052.1	-1.82668794605806
XM_027376390.1	-1.91590256445308
XM_027377064.1	-2.45658933152666
XM_027377671.1	-1.77104146906429
XM_027379879.1	-1.77835594434576
XM_027380939.1	-1.86152936787646
XM_027381338.1	-2.76006570349694
XM_027381346.1	-2.74396664596314
XM_027381353.1	-2.79204658689297
XM_027382167.1	-2.10494265746767
XM_027382868.1	-2.00483363925688
XR_003475463.1	-2.79567163240319
XM_027360509.1	-2.49547744730966
XM_027369073.1	-2.15378701142397
XM_027369557.1	-2.1012806799473
XM_027371606.1	-1.77715250044728
XM_027371994.1	-1.96939955066942
XM_027373758.1	-1.62460811315378
XM_027379085.1	-3.09896087973405
XM_027377675.1	-1.7311777497219
XM_027377063.1	-2.30288894952708
XM_027364609.1	-2.53443253049684
XM_027372899.1	-2.0539740397627
XM_027353742.1	-2.0631786099367
XM_027356693.1	-3.81541910483142
XM_027356797.1	-2.37872624774466
XM_027360481.1	-3.07786823079904
XM_027366441.1	-1.56538391938491
XM_027377670.1	-1.76634823957249
XM_027382092.1	-2.23119951090921
XR_003476210.1	-1.76497918106483
XM_027353705.1	-2.35886108463207
XM_027355228.1	-2.73882427830193
XM_027359326.1	-2.32865627925353
XM_027362564.1	-3.23565514822005
XM_027369804.1	-3.72771312103753
XM_027371607.1	-1.91126973162069
XM_027380461.1	-1.54628062700934
XM_027381184.1	-2.84590930159044
XM_027381689.1	-2.51467004441693
XR_003476034.1	-2.46156279966192
XM_027351020.1	-1.96322411264006
