ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_wssv_1	hemocytes_wssv_2	hemocytes_wssv_3	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_wssv_1_normalized	hemocytes_wssv_2_normalized	hemocytes_wssv_3_normalized	Expression
XM_027350688.1	626.499711110235	-1.78767716451205	0.359850763108891	-4.96782929975641	6.77065210440811e-07	1.91147879647042e-05	801	735	463	417	252	615	763.345076621988	1382.52879212123	770.01033879102	293.140755221842	206.867586637925	343.105717267406	Up_hemocytes_Down_hemocytes_wssv
XM_027350689.1	615.032194043701	-1.96146603393387	0.348862663843017	-5.62245902822235	1.88258226050868e-08	9.45898849073768e-07	827	688	514	458	216	455	788.122819433688	1294.12218908763	854.827892307957	321.962747941495	177.315074261078	253.842441230357	Up_hemocytes_Down_hemocytes_wssv
XM_027350694.1	155.110378157474	-1.70439954067206	0.355777509740921	-4.79063317384287	1.66255832730248e-06	4.070010760364e-05	229	170	105	99	85	141	218.234734764588	319.768564164094	174.624374887812	69.5945677864804	69.7767653342206	78.6632620076491	Up_hemocytes_Down_hemocytes_wssv
XM_027350703.1	55813.3987299224	-2.33737614709261	0.440046797763179	-5.31165357633285	1.0863496517942e-07	4.16289186567538e-06	40878	50578	87470	21145	28700	30279	38956.3296406412	95136.7908134796	145470.419727971	14864.4155135871	23559.9195893192	16892.5170945362	Up_hemocytes_Down_hemocytes_wssv
XM_027350704.1	32053.6497003851	-2.13623534840185	0.450115409755876	-4.74597248194736	2.07506923980098e-06	4.83514679107021e-05	22934	28036	49360	13000	19683	18541	21855.8751401357	52735.4792053208	82090.0870901182	9138.68061842672	16157.8361420408	10343.9400062682	Up_hemocytes_Down_hemocytes_wssv
XM_027350705.1	27481.9766083263	-2.12516638187443	0.447996628833928	-4.74371065560457	2.0983851422888e-06	4.86351524107905e-05	19988	23610	42502	11338	16974	15853	19048.3662815484	44410.2105877309	70684.6207760171	7970.33545013247	13934.0095856831	8844.31696884583	Up_hemocytes_Down_hemocytes_wssv
XM_027350768.1	329.243496529109	-1.8681856444161	0.364264708194516	-5.12864848663434	2.91829668863745e-07	9.53089168539094e-06	402	370	284	267	133	228	383.102023473208	695.966874945381	472.317356839416	187.694440393841	109.180115170016	127.200168352794	Up_hemocytes_Down_hemocytes_wssv
XM_027350769.1	909.05186775801	-1.75174223160768	0.345666267723545	-5.06772686598588	4.02594532332484e-07	1.22569564186818e-05	912	927	958	530	608	675	869.126978625784	1743.67917047126	1593.23953469071	372.576979058935	499.109097920072	376.579445781299	Up_hemocytes_Down_hemocytes_wssv
XM_027350771.1	881.695801338396	-1.88443830145481	0.353228600592688	-5.33489728264608	9.55986588615204e-08	3.73194626434387e-06	842	900	1003	588	462	599	802.417671055823	1692.89239851579	1668.07855249977	413.349554125762	379.257242169529	334.179389663701	Up_hemocytes_Down_hemocytes_wssv
XM_027350773.1	250.027377211319	-2.11716739500746	0.417335430351845	-5.07305932118567	3.91470396041153e-07	1.20250678263018e-05	304	353	160	111	116	192	289.708992875261	663.990018528971	266.094285543333	78.0302729727204	95.2247621031717	107.115931244458	Up_hemocytes_Down_hemocytes_wssv
XM_027350844.1	170.871764744375	-2.25456444931608	0.441148885862545	-5.11066563141807	3.21025720744807e-07	1.02984284706918e-05	159	142	258	67	95	94	151.525427194627	267.100800654714	429.077035438625	47.0993539565069	77.9857965500113	52.4421746717661	Up_hemocytes_Down_hemocytes_wssv
XM_027350886.1	510.611187733169	1.72648713202985	0.425154686926498	4.06084464106667	4.88955013305953e-05	0.000639916533807518	294	62	188	776	1330	1285	280.179091793838	116.621476342199	312.660785513416	545.508935376856	1091.80115170016	716.895685672547	Down_hemocytes_Up_hemocytes_wssv
XM_027350894.1	483.027363349074	1.79369286284173	0.413576663885551	4.33702628671064	1.44423358088476e-05	0.000245025224997805	274	62	162	712	1272	1266	261.119289630992	116.621476342199	269.420464112625	500.518507716909	1044.18877064857	706.295671643148	Down_hemocytes_Up_hemocytes_wssv
XM_027350896.1	830.860845670847	-1.82605532417278	0.376536364345163	-4.84961214130934	1.23703118473675e-06	3.15179753983459e-05	965	1072	573	602	446	550	919.635454357327	2016.4229457877	952.950160102061	423.191210176376	366.122792224263	306.842511377355	Up_hemocytes_Down_hemocytes_wssv
XM_027350903.1	665.517429339236	-3.18519846206217	0.527993671119512	-6.03264515521284	1.61297344461237e-09	1.11434751918653e-07	925	940	570	371	90	109	881.515850031634	1768.13206067205	947.960892248124	260.803885341255	73.8812809421159	60.8106068002394	Up_hemocytes_Down_hemocytes_wssv
XM_027350912.1	334.618958678111	-1.52681357362526	0.384799686680788	-3.96781397301874	7.25349171795285e-05	0.000882579813606964	695	243	223	312	128	346	662.328125158904	457.080947599264	370.86891047602	219.328334842241	105.07559956212	193.031834430118	Up_hemocytes_Down_hemocytes_wssv
XM_027351003.1	306.241216576237	-1.79623706664058	0.338539091365526	-5.30584831251042	1.12150192314741e-07	4.28616559458199e-06	522	326	190	188	177	239	497.460836450284	613.203246573498	315.986964082708	132.159381251094	145.299852519495	133.337018580341	Up_hemocytes_Down_hemocytes_wssv
XM_027351009.1	175.411438908511	-1.60278880875926	0.317371397190336	-5.05019930261083	4.4134934461015e-07	1.32404803383045e-05	282	165	128	126	100	161	268.743210496131	310.363606394562	212.875428434666	88.5749044555205	82.0903121579066	89.8211715122802	Up_hemocytes_Down_hemocytes_wssv
XM_027351017.1	1741.67601847113	-2.4805376310414	0.337827188146463	-7.34262285001757	2.09448121052094e-13	5.01628249919765e-11	2860	1943	1492	905	742	615	2725.551709287	3654.7665892402	2481.32921269158	636.192766128937	609.110116211667	343.105717267406	Up_hemocytes_Down_hemocytes_wssv
XM_027351020.1	1873.59084983851	-2.04307316684167	0.342046438093549	-5.97308709960281	2.32805523087259e-09	1.53459420493757e-07	2032	2240	1742	984	1007	1212	1936.47589974517	4213.42108075041	2897.10153385304	691.727825271684	826.64944343012	676.169315980644	Up_hemocytes_Down_hemocytes_wssv
XM_027351040.1	73.6513287957082	-2.58786128823238	0.487851042617201	-5.30461362621906	1.1291189424545e-07	4.29244423361672e-06	126	91	53	40	12	44	120.076753625931	171.170231405486	88.1437320862291	28.1190172874668	9.85083745894879	24.5474009101884	Up_hemocytes_Down_hemocytes_wssv
XM_027351085.1	52.0551999351172	1.95978524574559	0.454363261836045	4.31325639715292	1.60867374187483e-05	0.000266320756575361	21	11	14	99	126	135	20.0127922709885	20.6909070929708	23.2832499850416	69.5945677864804	103.433793318962	75.3158891562598	Down_hemocytes_Up_hemocytes_wssv
XM_027351097.1	126.4544542069	1.51781984534821	0.42093650899349	3.60581658497027	0.000311172871374544	0.00288673606304209	60	31	49	187	183	502	57.1794064885384	58.3107381710995	81.4913749476458	131.456405818907	150.225271248969	280.06352856624	Down_hemocytes_Up_hemocytes_wssv
XM_027351106.1	150.641305996373	1.57058650269256	0.395362974224746	3.97251792677922	7.11168822193203e-05	0.000869004759771796	79	35	52	195	300	525	75.2862185432423	65.8347043867252	86.4806428015832	137.080209276401	246.27093647372	292.895124496566	Down_hemocytes_Up_hemocytes_wssv
XM_027351115.1	129.093127782492	1.55981062692938	0.380588404922267	4.09841867685896	4.15982338813413e-05	0.000562339248236006	51	35	50	221	220	432	48.6024955152577	65.8347043867252	83.1544642322916	155.357570513254	180.598686747395	241.010845300031	Down_hemocytes_Up_hemocytes_wssv
XM_027351132.1	130.379993232577	1.50460325995802	0.405631196676446	3.70928881280839	0.000207842236779787	0.00209592487194775	47	35	57	218	217	440	44.7905350826885	65.8347043867252	94.7960892248124	153.248644216694	178.135977382657	245.474009101884	Down_hemocytes_Up_hemocytes_wssv
XM_027351188.1	22563.78029371	-3.01212802276377	0.551947618586986	-5.45727152600996	4.83506689922254e-08	2.1378434259024e-06	48322	28140	12910	13987	4156	3023	46050.3880056526	52931.1023269271	21470.4826647777	9832.51736999496	3411.6733732826	1686.51802162499	Up_hemocytes_Down_hemocytes_wssv
XM_027351256.1	658.588065026466	-1.77336431042722	0.323780106338849	-5.47706383347506	4.32441251025589e-08	1.96030939345038e-06	1040	662	494	501	262	585	991.109712468	1245.21640868606	821.566106615041	352.190691525522	215.076617853715	326.368853010459	Up_hemocytes_Down_hemocytes_wssv
XM_027351271.1	76.808218149044	-1.69338557148997	0.51539107146488	-3.28563233871497	0.00101753730670323	0.0074374420637464	165	38	74	83	21	60	157.243367843481	71.4776790484445	123.068607063792	58.3469608714937	17.2389655531604	33.4737285138932	Up_hemocytes_Down_hemocytes_wssv
XM_027351305.1	194.066960882685	-1.60594796135032	0.438702298430957	-3.66067824831117	0.000251548484134684	0.00244849132439599	248	112	258	167	145	93	236.341546819292	210.671054037521	429.077035438625	117.396897175174	119.030952628965	51.8842791965345	Up_hemocytes_Down_hemocytes_wssv
XM_027351352.1	2377.80209759251	-2.08674068790701	0.449122392132216	-4.64626285498743	3.38002277169384e-06	7.21588613687988e-05	2026	3413	1923	833	1454	1683	1930.75795909632	6419.82417348266	3198.12069437393	585.578535011497	1193.59313877596	938.938084814706	Up_hemocytes_Down_hemocytes_wssv
XM_027351361.1	55841.970477013	-1.80469171678007	0.43478572985153	-4.15076115169727	3.31371432012927e-05	0.000468220990956318	42063	47958	78285	28803	42640	34615	40085.6229187899	90208.5929422448	130194.944648499	20247.8013732727	35003.3091041314	19311.5518751402	Up_hemocytes_Down_hemocytes_wssv
XM_027351465.1	118.777829788342	-1.68011015774797	0.39397479511895	-4.26451178746272	2.00339768268789e-05	0.000317407108050991	160	139	78	93	61	96	152.478417302769	261.457825992994	129.720964202375	65.3767151933604	50.075090416323	53.5579656222292	Up_hemocytes_Down_hemocytes_wssv
XM_027351480.1	79.5546466926077	-1.60112057068089	0.358284560578293	-4.46885170853185	7.86406241216651e-06	0.000149677585248785	119	66	73	60	50	63	113.405822868935	124.145442557825	121.405517779146	42.1785259312002	41.0451560789533	35.1474149395879	Up_hemocytes_Down_hemocytes_wssv
XM_027351505.1	128.709979038925	2.68389673021996	0.498057353897306	5.38873025208529	7.09572131549554e-08	2.91330043724774e-06	25	22	24	172	452	314	23.8247527035577	41.3818141859416	39.9141428315	120.911774336107	371.048210953738	175.179179222708	Down_hemocytes_Up_hemocytes_wssv
XM_027351506.1	119.047363186826	2.30195781307341	0.485791597510889	4.73857066459822	2.15230974361787e-06	4.95652099611999e-05	33	22	29	161	404	266	31.4486735686961	41.3818141859416	48.2295892547291	113.179044582054	331.644861117943	148.400196411593	Down_hemocytes_Up_hemocytes_wssv
XM_027351507.1	122.897223464884	2.31373229160745	0.4966991830086	4.65821642305257	3.18960792569915e-06	6.88208196581032e-05	48	18	26	145	426	292	45.7435251908308	33.8578479703158	43.2403214007916	101.931437667067	349.704729792682	162.905478767614	Down_hemocytes_Up_hemocytes_wssv
XM_027351509.1	133.573496162984	2.55626415368336	0.611944397074608	4.17728173654918	2.95013524734512e-05	0.000429518171270004	52	4	35	156	461	355	49.5554856234	7.52396621562574	58.2081249626041	109.664167421121	378.43633904795	198.052893707202	Down_hemocytes_Up_hemocytes_wssv
XM_027351561.1	4057.86955847543	-1.53849876101556	0.360561297559517	-4.26695480471419	1.98159284263526e-05	0.000314397040852618	5233	3111	4374	1851	2346	5390	4986.9972359087	5851.76472420292	7274.35253104087	1301.20752497753	1925.83872322449	3007.05661149808	Up_hemocytes_Down_hemocytes_wssv
XM_027351599.1	179.292084364133	-3.87272244945345	0.623780673655026	-6.2084681571831	5.35035608814757e-10	4.47003587131864e-08	94	351	155	33	14	60	89.5810701653769	660.228035421158	257.778839120104	23.1981892621601	11.4926437021069	33.4737285138932	Up_hemocytes_Down_hemocytes_wssv
XM_027351602.1	96.4079158621719	-2.0054299998574	0.444204226574236	-4.51465762791937	6.34191372445255e-06	0.000125527961736065	136	122	63	55	32	89	129.606654707354	229.480969576585	104.774624932687	38.6636487702669	26.2688998905301	49.6526972956083	Up_hemocytes_Down_hemocytes_wssv
XM_027351603.1	77.1153693717076	-2.41890272578762	0.467050033274894	-5.17910834697215	2.22948959824045e-07	7.60992055266395e-06	129	89	60	52	16	41	122.935723950358	167.408248297673	99.7853570787499	36.5547224737069	13.1344499452651	22.8737144844937	Up_hemocytes_Down_hemocytes_wssv
XM_027351617.1	19449.3109772085	1.60796918706216	0.422738249027491	3.80369931218973	0.000142551198208864	0.00154019602876795	7162	7267	5011	20148	43279	68429	6825.31515451521	13669.1656222381	8333.74040536026	14163.549007697	35527.8661988204	38176.22947462	Down_hemocytes_Up_hemocytes_wssv
XM_027351619.1	1081.43530633962	-2.02299128277741	0.370737900225514	-5.45666165112026	4.85169586699807e-08	2.13861563217062e-06	1012	1319	1060	566	502	843	964.425989440015	2481.02785960259	1762.87464172458	397.884094617656	412.093367032691	470.3058856202	Up_hemocytes_Down_hemocytes_wssv
XM_027351660.1	64584.0606582154	-1.62941491849471	0.310895664677397	-5.24103454509565	1.59678815630027e-07	5.75083854787842e-06	75083	66928	57367	52675	32488	55485	71553.3562896489	125891.00271985	95406.4429922774	37029.2308904329	26669.5006138607	30954.8304432228	Up_hemocytes_Down_hemocytes_wssv
XM_027351669.1	41662.7475355425	-1.88914369813501	0.334215910734472	-5.65246488111063	1.58163121175754e-08	8.11715732605568e-07	41797	43688	44994	28023	19761	30861	39832.127550024	82176.7590070643	74829.0392733545	19699.4805361671	16221.8665855239	17217.212261121	Up_hemocytes_Down_hemocytes_wssv
XM_027351673.1	282.093595817831	4.72291560818068	0.640955250703853	7.3685574819682	1.72484160002487e-13	4.42606674863524e-11	27	10	10	182	460	2018	25.7307329198423	18.8099155390643	16.6308928464583	127.941528657974	377.61543592637	1125.83306901728	Down_hemocytes_Up_hemocytes_wssv
