	hep_1	hep_2	hep_3	hep_wssv_1	hep_wssv_2	hep_wssv_3
XM_027350592.1	48	43	79	16	30	6
XM_027350593.1	59	40	57	19	31	4
XM_027350594.1	62	27	58	14	48	5
XM_027350595.1	44	48	73	20	36	6
XM_027350596.1	156	249	272	69	61	99
XM_027350597.1	376	290	342	414	621	133
XM_027350598.1	2	0	2	0	0	11
XM_027350602.1	64	86	81	38	21	2
XM_027350603.1	1911	1816	2229	1102	1299	334
XM_027350604.1	382	231	507	207	206	354
XM_027350605.1	470	297	631	250	243	359
XM_027350606.1	265	232	396	187	201	322
XM_027350607.1	310	227	410	207	206	323
XM_027350608.1	258	193	281	128	103	113
XM_027350609.1	3	0	6	0	0	4
XM_027350610.1	12	23	24	0	25	0
XM_027350614.1	185	112	198	75	30	23
XM_027350615.1	189	111	225	91	22	23
XM_027350616.1	190	109	194	92	31	19
XM_027350617.1	224	199	219	331	234	153
XM_027350618.1	2	0	0	0	0	0
XM_027350619.1	2806	2771	2889	1898	2176	867
XM_027350620.1	220	382	241	237	367	45
XM_027350621.1	171	153	128	99	228	30
XM_027350627.1	3376	3066	4601	1447	1357	542
XM_027350628.1	12	2	7	0	1	8
XM_027350629.1	227	138	254	189	88	225
XM_027350630.1	2938	2303	2060	1355	1101	577
XM_027350632.1	2	0	0	1	0	0
XM_027350634.1	6	1	7	0	2	0
XM_027350635.1	457	371	666	761	668	303
XM_027350640.1	2146	802	1022	213	114	90
XM_027350641.1	390	284	348	154	159	81
XM_027350642.1	57	48	80	360	493	160
XM_027350643.1	64	42	73	366	469	123
XM_027350644.1	37	5	43	4	8	2
XM_027350645.1	15	24	37	7	1	14
XM_027350646.1	52	19	51	31	11	9
XM_027350647.1	1356	863	1262	279	232	92
XM_027350648.1	1368	949	1381	299	268	106
XM_027350649.1	1111	875	1186	277	237	116
XM_027350651.1	28	41	38	21	15	10
XM_027350652.1	46	35	25	6	11	8
XM_027350653.1	10536	8739	7205	7565	6356	4074
XM_027350656.1	2	0	0	0	0	0
XM_027350659.1	2	1	3	7	8	10
XM_027350660.1	37	13	38	22	10	8
XM_027350661.1	60	65	67	32	7	8
XM_027350662.1	61	55	82	34	23	14
XM_027350663.1	64	51	75	27	30	20
XM_027350664.1	32	25	41	1	6	0
XM_027350665.1	105	41	85	2	2	6
XM_027350666.1	109	37	140	102	110	14
XM_027350667.1	93	74	168	80	103	14
XM_027350668.1	38	15	46	18	13	6
XM_027350670.1	1	0	0	1	0	0
XM_027350671.1	1913	3273	1875	2940	11475	1416
XM_027350673.1	2	8	8	20	30	4
XM_027350674.1	157	531	231	717	148	260
XM_027350677.1	4352	3898	5281	1970	2345	803
XM_027350678.1	125	151	174	139	167	102
XM_027350679.1	16	10	22	25	30	2
XM_027350680.1	60	93	141	75	113	40
XM_027350681.1	2	0	0	0	0	0
XM_027350682.1	11	7	6	27	13	4
XM_027350683.1	31	14	37	32	45	9
XM_027350684.1	7	8	22	12	15	5
XM_027350685.1	17	32	29	25	27	7
XM_027350686.1	11	5	10	10	11	10
XM_027350687.1	41	36	46	54	56	10
XM_027350688.1	402	263	444	116	106	73
XM_027350689.1	260	131	263	74	55	40
XM_027350690.1	24	8	15	23	2	6
XM_027350691.1	2	6	5	0	14	2
XM_027350693.1	29	81	63	6	1	11
XM_027350694.1	149	132	154	87	64	32
XM_027350697.1	1078	1012	1074	246	327	202
XM_027350698.1	56	103	171	4	22	8
XM_027350699.1	3554	4371	4539	5879	1815	1367
XM_027350700.1	423	40	118	0	0	0
XM_027350702.1	863	1046	1007	645	1046	478
XM_027350703.1	25602	22441	26320	25951	26332	21944
XM_027350704.1	16129	12735	16174	20459	19035	17958
XM_027350705.1	11848	10113	11389	19759	18823	17395
XM_027350706.1	48971	79161	60850	41361	18365	38211
XM_027350707.1	26834	39864	31202	27164	11740	26207
XM_027350709.1	4252	2255	2393	348	1573	1286
XM_027350711.1	28	56	106	66	207	34
XM_027350712.1	7377	20983	19452	17087	8580	15870
XM_027350715.1	34723	19831	27308	9187	10079	29068
XM_027350716.1	113	68	95	31	49	26
XM_027350717.1	513	389	371	726	745	662
XM_027350718.1	539	432	373	722	794	709
XM_027350719.1	155	118	101	126	81	63
XM_027350720.1	186	509	706	276	32	169
XM_027350721.1	101	201	449	462	133	321
XM_027350722.1	8	0	4	10	0	2
XM_027350727.1	4	0	0	0	0	0
XM_027350729.1	2	0	2	0	0	0
XM_027350731.1	2	0	6	250	8	19
XM_027350736.1	15	3	12	23	2	2
XM_027350741.1	784	726	852	681	815	320
XM_027350742.1	29	4	24	46	14	2
XM_027350743.1	273	240	350	167	142	31
XM_027350744.1	1794	1047	1454	1388	676	442
XM_027350745.1	207	189	184	72	69	11
XM_027350746.1	543	381	454	241	295	160
XM_027350747.1	1	0	1	0	2	0
XM_027350748.1	4	0	4	0	0	0
XM_027350749.1	690	660	941	322	191	135
XM_027350750.1	159	191	208	123	172	44
XM_027350751.1	192	220	250	138	156	54
XM_027350752.1	226	222	279	134	191	48
XM_027350753.1	181	216	216	108	160	52
XM_027350754.1	149	180	165	135	173	58
XM_027350755.1	18040	16694	17044	12538	15994	13301
XM_027350756.1	1910	1589	2520	271	194	140
XM_027350757.1	10696	13358	9826	14389	14040	5996
XM_027350759.1	359	645	592	788	359	171
XM_027350760.1	1048	861	1051	787	958	294
XM_027350761.1	973	708	915	743	947	278
XM_027350762.1	963	869	1111	769	944	271
XM_027350765.1	425	600	604	942	425	259
XM_027350766.1	2	0	0	0	0	0
XM_027350767.1	4923	5068	6529	860	920	570
XM_027350768.1	675	442	557	224	238	186
XM_027350769.1	375	377	436	101	146	88
XM_027350771.1	309	289	376	129	132	68
XM_027350772.1	85	49	73	47	44	5
XM_027350773.1	356	335	388	238	276	115
XM_027350774.1	533	416	641	353	206	72
XM_027350775.1	623	402	720	344	205	63
