ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	hep_1	hep_2	hep_3	hep_wssv_1	hep_wssv_2	hep_wssv_3	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_wssv_1_normalized	hep_wssv_2_normalized	hep_wssv_3_normalized	Expression
XR_003477213.1	12196.4329378938	12.2684635042159	0.569651441451092	21.5367900640504	7.04207596022528e-103	1.23729274621158e-98	10	7	3	18409	16851	16990	7.12405388240802	5.85783474609208	2.00541395938249	17724.0527541608	19779.182301388	35660.3752692262	Down_hep_Up_hep_wssv
XM_027377480.1	2358.8934434565	9.97406941770774	0.526631540428051	18.9393696579599	5.40401978511763e-80	4.74743138122584e-76	8	7	4	4837	2746	2982	5.69924310592641	5.85783474609208	2.67388527917666	4657.02879960213	3223.16981779191	6258.9310802138	Down_hep_Up_hep_wssv
XM_027377481.1	1910.57581662099	10.4745735594952	0.629659440390169	16.6352997947663	3.86814993472988e-62	2.26544647844013e-58	4	3	4	5418	1832	1948	2.84962155296321	2.51050060546803	2.67388527917666	5216.4114195254	2150.34490393109	4088.66456883182	Down_hep_Up_hep_wssv
XR_003476770.1	6617.8140263582	13.7163155752142	0.846978469071521	16.1944088026823	5.5225930678911e-59	2.42579900507117e-55	1	2	1	10173	9007	9213	0.712405388240801	1.67366707031202	0.668471319794164	9794.49120908672	10572.1378546437	19337.2005506404	Down_hep_Up_hep_wssv
XM_027377478.1	2736.02529245289	9.22410463153959	0.573220587942403	16.0917190093431	2.91626490848158e-58	1.02477548884043e-54	18	6	14	6481	2202	3604	12.8232969883344	5.02100121093607	9.3585984771183	6239.86017163974	2584.63945330582	7564.44923309542	Down_hep_Up_hep_wssv
XM_027373956.1	3498.49868992947	3.45057360563733	0.227816985713778	15.1462525712307	8.02117039172029e-52	2.34886606304209e-48	744	702	960	7201	5421	2828	530.029608851156	587.45714167952	641.732467002397	6933.07099151022	6363.00203286596	5935.69989766755	Down_hep_Up_hep_wssv
XM_027361885.1	16657.4760254427	5.92357275849207	0.401219523654598	14.7639195234965	2.50301440793379e-49	6.28256616391382e-46	486	724	999	27766	23599	20912	346.22901868503	605.867479452952	667.80284847437	26732.9050340609	27699.7758667411	43892.2759052418	Down_hep_Up_hep_wssv
XR_003477866.1	989.281931907625	5.89212016944417	0.400849679306999	14.6990766704133	6.53446272183492e-49	1.43513137528299e-45	40	41	53	1439	1420	1327	28.4962155296321	34.3101749413965	35.4289799490907	1385.45884693559	1666.75205435707	2785.24531973297	Down_hep_Up_hep_wssv
XM_027377476.1	2145.17275336707	10.56371669613	0.74023026489165	14.2708521890499	3.32490575285827e-46	6.49095489752443e-43	4	0	8	4568	1865	2990	2.84962155296321	0	5.34777055835331	4398.03753495607	2189.07928265911	6275.72231047594	Down_hep_Up_hep_wssv
XM_027372959.1	1979.30983311218	9.64996388615675	0.705303823178819	13.6819957145052	1.30073041484495e-42	2.28538333888258e-39	10	6	4	2769	6321	846	7.12405388240802	5.02100121093607	2.67388527917666	2665.97327808524	7419.39417999368	1775.67260022162	Down_hep_Up_hep_wssv
