ID	padj
XR_003477213.1	1.23729274621158e-98
XM_027377480.1	4.74743138122584e-76
XM_027377481.1	2.26544647844013e-58
XR_003476770.1	2.42579900507117e-55
XM_027377478.1	1.02477548884043e-54
XM_027373956.1	2.34886606304209e-48
XM_027361885.1	6.28256616391382e-46
XR_003477866.1	1.43513137528299e-45
XM_027377476.1	6.49095489752443e-43
XM_027372959.1	2.28538333888258e-39
XM_027372224.1	5.3281576172748e-39
XM_027372225.1	5.4637451681711e-38
XM_027352608.1	1.11613865720704e-34
XM_027377477.1	1.11613865720704e-34
XM_027377493.1	1.11613865720704e-34
XR_003477617.1	1.35718608732834e-33
XM_027373946.1	1.44416166888941e-33
XM_027359391.1	3.26138658925165e-33
XR_003477542.1	3.52916124601406e-33
XM_027371676.1	4.33548530123718e-33
XM_027358775.1	5.05573766685548e-33
XM_027359976.1	3.13771202865756e-32
XM_027377495.1	6.46163287629799e-32
XM_027377496.1	2.25837909540057e-30
XR_003475955.1	2.25837909540057e-30
XM_027373544.1	1.02674363031476e-29
XM_027377497.1	1.36601154315822e-29
XM_027377474.1	4.72004462412632e-29
XM_027370963.1	1.07502030701606e-28
XM_027377294.1	4.4281840492198e-28
XM_027363102.1	6.58629118203641e-28
XM_027373550.1	8.45698209485728e-28
XM_027370979.1	3.44540798996773e-27
XM_027370921.1	3.63908533624875e-27
XM_027381761.1	5.87383261390511e-27
XM_027377853.1	9.52961907513368e-27
XM_027382365.1	1.31652903237111e-26
XM_027370418.1	2.13509922492094e-26
XM_027373547.1	2.18396217355762e-26
XR_003476404.1	3.37730549783728e-26
XM_027370978.1	1.21581289679477e-24
XM_027359977.1	1.50812056418575e-24
XM_027353560.1	2.7051219800712e-24
XM_027370743.1	4.01752029724568e-24
XM_027364825.1	4.44158169368135e-24
XM_027370568.1	7.8667128211649e-24
XM_027379437.1	7.90531907027504e-24
XM_027369540.1	2.02348698761562e-23
XM_027377482.1	3.85550353179572e-23
XM_027375137.1	1.05609109400412e-22
XM_027365200.1	1.09735448997035e-22
XM_027362951.1	1.32694110241234e-22
XM_027369299.1	1.91654232583843e-22
XM_027373403.1	2.26337507172338e-22
XM_027365450.1	5.54115174580609e-22
XM_027373111.1	5.54115174580609e-22
XM_027377492.1	5.73153010365113e-22
XM_027361641.1	9.74909342709355e-22
XM_027375136.1	1.2420708348212e-21
XM_027358979.1	1.6053028393766e-21
XR_003477366.1	1.81916031145007e-21
XM_027380420.1	2.03417910527263e-21
XM_027373397.1	2.51336891587721e-21
XM_027374295.1	2.53117549317478e-21
XR_003476155.1	2.53117549317478e-21
XM_027371169.1	2.82430114269395e-21
XM_027362231.1	3.42074632473215e-21
XR_003477979.1	4.21946132833648e-21
XR_003476901.1	4.2777413597531e-21
XM_027373549.1	5.39680220892297e-21
XM_027354450.1	6.12348113861123e-21
XR_003475680.1	1.83125353701388e-20
XM_027380178.1	2.06670418740485e-20
XM_027370742.1	2.85035587519109e-20
XM_027373398.1	3.17617349284344e-20
XM_027381749.1	3.42049872725581e-20
XM_027367745.1	8.45426643781527e-20
XM_027370334.1	9.34776159119533e-20
XM_027357587.1	1.0586539672191e-19
XM_027362612.1	1.11509604206449e-19
XM_027361690.1	1.22781373212058e-19
XM_027381025.1	2.01965314357098e-19
XM_027373404.1	3.23079039492436e-19
XM_027352783.1	3.648894705808e-19
XM_027381756.1	4.21501181151888e-19
XM_027367407.1	4.80178483190277e-19
XM_027383657.1	6.55079302641339e-19
XR_003477543.1	8.82401248495315e-19
XM_027357077.1	9.04707348783817e-19
XM_027373401.1	1.07319222378333e-18
XM_027373545.1	1.28436221025198e-18
XM_027378881.1	1.29694079413758e-18
XM_027362652.1	1.53819226119087e-18
XM_027365451.1	1.53819226119087e-18
XM_027360250.1	1.77624394347702e-18
XM_027362640.1	1.77624394347702e-18
XM_027356790.1	1.80383677754425e-18
XM_027350756.1	2.66203381923517e-18
XR_003477013.1	2.70874389357467e-18
XM_027369954.1	2.72320151022618e-18
XM_027383802.1	3.08647974856235e-18
XM_027363819.1	3.2123016907415e-18
XM_027368908.1	3.2123016907415e-18
XM_027366336.1	3.2631329098523e-18
XM_027361728.1	4.38196708176264e-18
XM_027357068.1	5.47524950924133e-18
XM_027355316.1	7.62962702337119e-18
XR_003476154.1	1.03913038544238e-17
XM_027376308.1	1.3830772639616e-17
XM_027361626.1	1.39318422879489e-17
XM_027382943.1	1.48875501277833e-17
XM_027362068.1	1.77664507660229e-17
XM_027373405.1	2.06598597218198e-17
XM_027381757.1	2.40345207620291e-17
XM_027375319.1	2.5444355092145e-17
XM_027360700.1	4.62644260690053e-17
XM_027352700.1	4.90418562556837e-17
XM_027381962.1	5.15457575586989e-17
XM_027369503.1	8.0073935048487e-17
XM_027374294.1	8.53905215330973e-17
XM_027377488.1	1.13459393345346e-16
XM_027369502.1	1.13612891729513e-16
XM_027361178.1	1.14167805766763e-16
XM_027355914.1	1.14219417217019e-16
XM_027372983.1	1.21845499949606e-16
XM_027358752.1	1.35911672872198e-16
XM_027352133.1	1.59220384089047e-16
XM_027381753.1	1.64823305184487e-16
XM_027357602.1	1.77148576071382e-16
XM_027373548.1	1.85596287880669e-16
XM_027382129.1	2.28009143247352e-16
XM_027381963.1	2.3147322469823e-16
XM_027377882.1	2.54753211013946e-16
XM_027352930.1	2.95947365927352e-16
XM_027351384.1	3.44839136842208e-16
XM_027352782.1	4.33851211413721e-16
XM_027361625.1	4.33851211413721e-16
XR_003477749.1	5.0424724077083e-16
XM_027373400.1	5.05367174448598e-16
XM_027379184.1	5.12053038752964e-16
XM_027355916.1	6.94567394068129e-16
XM_027375092.1	7.2607574292577e-16
XM_027369509.1	7.53138603290657e-16
XM_027350844.1	8.02852183643027e-16
XM_027364980.1	8.58320755562871e-16
XM_027356238.1	1.04184241412984e-15
XM_027367622.1	1.33987259595728e-15
XM_027371604.1	1.50589769661966e-15
XM_027367320.1	1.54337356569676e-15
XM_027377490.1	1.69960216929018e-15
XM_027361286.1	1.92372038955685e-15
XM_027361724.1	1.96315858215472e-15
XM_027379475.1	2.10382621214803e-15
XM_027350642.1	2.13806336575285e-15
XM_027379489.1	2.21684517179571e-15
XM_027355915.1	2.33550801885111e-15
XM_027372633.1	2.92146892764092e-15
XM_027351586.1	3.4189030239458e-15
XM_027373399.1	4.08898215174051e-15
XM_027370241.1	4.61554321939914e-15
XM_027361789.1	6.18932017167878e-15
XM_027372154.1	6.53747541694735e-15
XR_003476775.1	6.96942315360917e-15
XM_027357060.1	7.43286317089514e-15
XM_027358978.1	8.56858166365097e-15
XM_027358891.1	1.23300069260762e-14
XM_027360461.1	1.41534211235443e-14
XM_027361288.1	1.99858614354353e-14
XR_003477689.1	2.44519041788543e-14
XM_027369471.1	2.45999240374075e-14
XM_027379687.1	2.90847251702884e-14
XM_027360701.1	3.22685729223786e-14
XM_027371458.1	3.74089788600831e-14
XM_027351067.1	3.92296007244492e-14
XM_027373879.1	4.30837206898821e-14
XM_027361732.1	4.33838645154283e-14
XM_027375049.1	5.35020700573227e-14
XM_027378580.1	5.88992718788006e-14
XR_003477801.1	6.65359660003949e-14
XM_027353156.1	9.88327552450445e-14
XM_027381992.1	1.00092753936286e-13
XR_003477411.1	1.09242058053382e-13
XM_027375174.1	1.28167842808032e-13
XM_027356042.1	1.47167791486566e-13
XM_027365601.1	1.49569840018547e-13
XM_027375770.1	1.58867503582504e-13
XM_027373896.1	1.63756980323076e-13
XM_027357909.1	1.68891318552349e-13
XR_003477413.1	1.79959162869355e-13
XM_027382160.1	1.82466011170789e-13
XM_027358976.1	1.87328994666259e-13
XM_027364183.1	2.00627676261005e-13
XR_003476601.1	2.07902555278754e-13
XM_027382656.1	2.47614689725401e-13
XM_027369552.1	2.59611654450963e-13
XR_003477406.1	2.63435778161791e-13
XM_027351748.1	2.83700510762862e-13
XM_027371818.1	3.21927351976598e-13
XM_027361287.1	3.4879302405742e-13
