ID	edgeR_logFC	limma_logFC	NOISeq_log2FC_SigInv	DESeq2_log2FoldChange
XM_027350640.1	-2.48315081920893	-2.39060261802243	-2.46122581456873	-2.45024560329364
XM_027350642.1	3.19249269786505	3.15275915716372	3.2248432710875	3.23130664384619
XM_027350643.1	3.12804073521715	3.07077556740025	3.1582502586303	3.16455024510727
XM_027350647.1	-1.81368899684838	-1.79767951849083	-1.79351904054624	-1.78012714388193
XM_027350648.1	-1.73541679803528	-1.72651484871077	-1.7136080423123	-1.70092047183778
XM_027350649.1	-1.58781827545474	-1.57957974594951	-1.56353226549484	-1.55201102248432
XM_027350665.1	-3.53890628073971	-3.59109079242243	-3.32286562273618	-3.51185483562959
XM_027350671.1	1.81103665422249	1.4661698704519	1.84535869516689	1.84761990244059
XM_027350698.1	-2.42407945879073	-2.70597861041015	-2.38019799556823	-2.38970606455436
XM_027350700.1	-10.2235872887738	-7.19838234849329	-7.62792439267167	-9.13522586507876
XM_027350705.1	1.61958651615706	1.59194854018852	1.64886884958234	1.6627289349035
XM_027350717.1	1.61283078643131	1.58242018283959	1.64364273973839	1.6560278437207
XM_027350718.1	1.60129374160438	1.56790522354273	1.63238373529128	1.64525204645412
XM_027350756.1	-2.52243855417758	-2.52300498319378	-2.49375137082944	-2.48715570796213
XM_027350767.1	-2.00497107369213	-2.00826295633161	-1.974872416775	-1.96572671614136
XM_027350776.1	-1.6427815305103	-1.84093072565364	-1.60470296603413	-1.59964989138108
XM_027350777.1	-1.72560314715355	-1.9238576579171	-1.68825386854409	-1.68310088512348
XM_027350778.1	-1.77470232387937	-1.88549759056084	-1.74118694794685	-1.73487637861038
XM_027350794.1	-9.34445443558486	-6.77990226522028	-6.74103185323722	-8.25216213479374
XM_027350808.1	-9.50299784080653	-6.9325028250942	-6.90071343872063	-8.4112864839474
XM_027350820.1	1.64630234865166	1.64611539801272	1.67602293321604	1.68706260751752
XM_027350821.1	1.65156387707922	1.64914937400714	1.68107376255494	1.6918812223525
XM_027350831.1	-5.38062432542837	-6.06350465418095	-5.38400495899356	-5.36773496796439
XM_027350833.1	-4.80355740153478	-6.59781021875414	-4.80199418654125	-4.80265459142152
XM_027350834.1	-3.8245173919075	-4.37223186525117	-3.85077529311273	-3.81416139178777
XM_027350835.1	-3.17763556183097	-3.87293068892964	-3.19382775879	-3.16965646663126
XM_027350836.1	-4.76046250918947	-4.78075932039227	-4.74724643887957	-4.73652454654522
XM_027350837.1	-4.73590232649056	-5.25122310673377	-4.72965307351599	-4.72338678808535
XM_027350838.1	-4.10635721480954	-5.06933079055686	-4.10359821309606	-4.09684669448147
XM_027350840.1	-2.17717631697816	-2.16468045332541	-2.15841795261768	-2.14235096938784
XM_027350843.1	-4.30797887031802	-4.62337128941918	-4.23961581965513	-4.26383290038522
XM_027350844.1	-6.37781853553699	-7.01289357771343	-6.30492492402431	-6.32871189739366
XM_027350855.1	1.7430036370307	1.70868659172338	1.78291957308979	1.78269018070993
XM_027350857.1	1.8407556522771	1.77162363221259	1.85733215424484	1.86446555610994
XM_027350865.1	-3.4104128767039	-4.04350661773325	-3.48211338548842	-3.41833511076077
XM_027350885.1	-1.61396778203656	-1.68090021101345	-1.57325055225891	-1.57545285246357
XM_027350889.1	-2.15523405797557	-2.15582311094403	-2.12390671368474	-2.12241439804027
XM_027350898.1	1.49806377413945	1.50618223479413	1.52661482255898	1.53721046453818
XM_027350921.1	3.42713931812725	3.48086340248329	3.45444572234171	3.45912562852229
XM_027350922.1	3.26389552373793	3.46863685644583	3.29045587483475	3.29893243708629
XM_027350923.1	1.53186900250788	1.38800829602148	1.55703743294916	1.56703868414062
XM_027350990.1	1.58272056816729	-0.574930156719386	1.62469095283393	1.64693490198054
XM_027351012.1	1.78127376515827	1.5644882315554	1.8069074192553	1.81064340396599
XM_027351031.1	-1.70775497774731	-2.05925120784072	-1.64953387427243	-1.66154433354761
XM_027351038.1	-2.54839396191541	-2.57451968236055	-2.52747977818973	-2.51729049825183
XM_027351041.1	-2.72400363727346	-2.68629226784203	-2.79066607231027	-2.71234640830329
XM_027351045.1	1.88697482292919	1.50236205314778	1.91853633097509	1.93952197229627
XM_027351058.1	2.19896397178458	2.22217796414908	2.2286990344727	2.23797172793831
XM_027351061.1	1.76097629885796	1.69281172813567	1.78843663127756	1.79292504848431
XM_027351067.1	4.48464359311509	4.31593679102767	4.51743049335161	4.52110031428515
XM_027351069.1	1.89223900288828	1.90930199268989	1.92235190946418	1.93312540722586
XM_027351101.1	1.58254261435243	1.39225706250726	1.61481227037503	1.63001478968007
XM_027351102.1	1.69882008101173	1.58333100610221	1.7318125177857	1.74608518109063
XM_027351103.1	1.58049119817518	1.4774875486987	1.61363252706332	1.6275242218004
XM_027351104.1	1.71749605889668	1.58171223703042	1.75014074297381	1.76392880404835
XM_027351136.1	-2.02609337307599	-2.06427954648165	-1.99466610550022	-1.98578746844726
XM_027351140.1	2.52560454787978	2.53275447251373	2.55752448216677	2.56299089300606
XM_027351141.1	2.33627493404449	2.30462269562546	2.36778203958519	2.37222911630928
XM_027351143.1	3.08339568148949	3.00762623362781	3.1062503123065	3.11366587387674
XM_027351144.1	-2.88653934506465	-3.20987399515643	-2.83291188640528	-2.84039349054491
XM_027351153.1	1.49201152385179	1.47766667036619	1.52125244552721	1.53391514718085
XM_027351163.1	-1.61707756892985	-1.59483542181816	-1.63826641371014	-1.59516526629012
XM_027351203.1	3.93408658256638	3.93612743166876	3.95844987186651	3.96200233425473
XM_027351212.1	-3.79057657128019	-3.80380220893542	-3.79518977280817	-3.76925387369022
XM_027351214.1	2.5386391759771	2.50679847257155	2.56773810277851	2.58184761899759
XM_027351260.1	2.07425239323886	2.08517160641837	2.11285219664008	2.11797723909574
XM_027351310.1	-2.4497784121868	-2.99014045922454	-2.45311562961981	-2.43016624762195
XM_027351314.1	-1.50689288245417	-1.49756575371225	-1.48901447909338	-1.47513562984611
XM_027351315.1	-1.60430476359753	-1.60643558991257	-1.58053120844179	-1.56991696844725
XM_027351316.1	-1.62838111592746	-1.62199443544759	-1.60858272217736	-1.59423226295434
XM_027351318.1	-1.61245518842847	-1.60263188677702	-1.58801644455969	-1.57708151450101
XM_027351335.1	1.43775263210727	1.70763874912395	1.46001016964312	1.47419349435603
XM_027351342.1	2.09886185523665	2.17443246513044	2.12145871122727	2.13271968194888
XM_027351343.1	1.88833372160759	1.94676372318781	1.91253620509935	1.92585481952678
