ID	hep_mean	hep_wssv_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	hep_1	hep_2	hep_3	hep_wssv_1	hep_wssv_2	hep_wssv_3	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_wssv_1_normalized	hep_wssv_2_normalized	hep_wssv_3_normalized	Expression
XM_027350794.1	75.92772726651	0.70981898488681	2.73748535486745	1	6.74103185323722	0	-6.74103185323722	124	48	143	0	0	0	90.0660281284611	40.6953192453937	97.0218344256754	0.489752413158416	0.597096721825505	1.04260781967651	Up_hep_Down_hep_wssv
XM_027350808.1	84.8143518155202	0.70981898488681	2.79373511762706	1	6.90071343872063	0	-6.90071343872063	153	53	145	0	0	0	111.129857287537	44.9344150001222	98.3787831589016	0.489752413158416	0.597096721825505	1.04260781967651	Up_hep_Down_hep_wssv
XM_027350821.1	21714.7695068192	69631.9971100566	-3.77463607348099	1	-1.68107376255494	0	1.68107376255494	27805	28363	30807	56558	61670	38294	20195.8541299344	24046.6945782729	20901.7598122502	55398.8339668274	73645.9096699578	79851.2476933845	Down_hep_Up_hep_wssv
XM_027350836.1	4934.57484226276	183.73257655111	2.61032457746836	1	4.74724643887957	0	-4.74724643887957	8585	2510	9492	346	73	60	6235.61977002289	2128.02606887371	6440.07868789168	338.908669905624	87.1761213865237	125.112938361181	Up_hep_Down_hep_wssv
XM_027350844.1	2535.72180097612	32.0722982562114	2.72744997806311	1	6.30492492402431	0	-6.30492492402431	4828	2947	2361	10	13	34	3506.76438551782	2498.52303783698	1601.87797957356	9.79504826316833	15.5245147674631	70.8973317380027	Up_hep_Down_hep_wssv
XM_027350922.1	476.758270721193	4664.70467555822	-3.02300974984001	1	-3.29045587483475	0	3.29045587483475	810	789	255	5119	4134	1939	588.334538581077	668.929310096159	173.010963486344	5014.08520591587	4936.79569605328	4043.2331247055	Down_hep_Up_hep_wssv
XM_027351067.1	1632.16566306448	37380.6043810109	-2.73685273185165	1	-4.51743049335161	0	4.51743049335161	1455	2413	2644	23464	56366	10477	1056.82315263638	2045.78761123198	1793.88622532507	22983.1012446982	67311.9076448328	21846.8042535016	Down_hep_Up_hep_wssv
XM_027351143.1	2516.31509033175	21669.033456527	-2.8132728164096	1	-3.1062503123065	0	3.1062503123065	3353	2335	4619	33200	12359	8502	2435.41445415105	1979.65771745821	3133.87309938598	32519.5602337188	14759.0367700828	17728.5033657794	Down_hep_Up_hep_wssv
XM_027351214.1	10836.5756127508	64247.7992055263	-3.08853300520709	1	-2.56773810277851	0	2.56773810277851	15390	13130	15033	49984	44493	43473	11178.3562330405	11131.8654519171	10199.5051532949	48959.5692386206	53133.2488883644	90650.5794895938	Down_hep_Up_hep_wssv
XM_027351448.1	0.375438742346444	141.488037814491	-2.82900553950135	1	-8.55788683670073	0	8.55788683670073	0	0	0	71	51	141	0.363169468259924	0.423909575472851	0.339237183306557	69.5448426684951	60.9038656262015	294.015405148776	Down_hep_Up_hep_wssv
XM_027351586.1	737.078335275838	1.85257461558978	2.68591797221282	1	8.6361424934182	0	-8.6361424934182	1936	499	563	4	0	0	1406.19218110243	423.061756321905	381.981068403183	3.91801930526733	0.597096721825505	1.04260781967651	Up_hep_Down_hep_wssv
XM_027352133.1	1107.59006814253	76217.6652575564	-2.74313950870102	1	-6.1046294881651	0	6.1046294881651	1510	897	2160	30935	30690	77547	1096.77179414497	760.493778398295	1465.50463188433	30300.9818021112	36649.7967856495	161702.217184909	Down_hep_Up_hep_wssv
XM_027352608.1	5.07784884055258	2193.55467993989	-3.75064782919886	1	-8.75483750541939	0	8.75483750541939	10	7	3	3479	738	1099	7.26338936519848	5.93473405661991	2.03542309983934	3407.69729075626	881.314761414445	2291.65198764897	Down_hep_Up_hep_wssv
XM_027352782.1	155.991823165001	10179.8952120525	-2.90758238692758	1	-6.02810849334734	0	6.02810849334734	164	181	288	19373	1927	4442	119.119585589255	153.455266321172	195.400617584577	18975.947000236	2301.2107659155	9262.52787000611	Down_hep_Up_hep_wssv
XM_027352783.1	87.7710792287099	7355.38242578874	-3.02893318167256	1	-6.38891089598948	0	6.38891089598948	133	91	132	14013	1496	3143	96.6030785571397	77.1515427360589	89.5586163929311	13725.8011311778	1786.51339170191	6553.83275448654	Down_hep_Up_hep_wssv
