ID	log2FC_SigInv
XM_027350794.1	-6.74103185323722
XM_027350808.1	-6.90071343872063
XM_027350821.1	1.68107376255494
XM_027350836.1	-4.74724643887957
XM_027350844.1	-6.30492492402431
XM_027350922.1	3.29045587483475
XM_027351067.1	4.51743049335161
XM_027351143.1	3.1062503123065
XM_027351214.1	2.56773810277851
XM_027351354.1	1.41413771471884
XM_027351357.1	1.42532636215447
XM_027351448.1	8.55788683670073
XM_027351586.1	-8.6361424934182
XM_027352133.1	6.1046294881651
XM_027352608.1	8.75483750541939
XM_027352782.1	6.02810849334734
XM_027352783.1	6.38891089598948
XM_027352913.1	-6.70342755767281
XM_027353153.1	-6.41103356749476
XM_027353154.1	-6.38042810934327
XM_027353444.1	-9.22892561758225
XM_027354259.1	2.61196511657359
XM_027354450.1	3.28911584183171
XM_027354784.1	1.76662921040024
XM_027355167.1	1.57411130186644
XM_027355316.1	-7.92402278465515
XM_027355416.1	-6.9081778636756
XM_027355512.1	5.13979836118735
XM_027355915.1	3.61275928762265
XM_027355916.1	3.73322622936259
XM_027356042.1	-5.49739721655443
XM_027356246.1	3.73304996895244
XM_027356531.1	-6.83254981959686
XM_027356582.1	1.42679098616747
XM_027356585.1	1.46672008992122
XM_027356790.1	6.26637308547313
XM_027357068.1	6.40541525284731
XM_027357116.1	-3.88412648240241
XM_027357394.1	1.71803291576413
XM_027357602.1	6.76880169017772
XM_027357656.1	1.55907759168287
XM_027358752.1	5.59708486739052
XM_027358775.1	11.7190412315195
XM_027358804.1	2.58145587660989
XM_027359037.1	-4.02028924154062
XM_027359752.1	-4.68635949339163
XM_027359926.1	2.00666573810677
XM_027359977.1	3.60791269612636
XM_027360144.1	2.94175746260186
XM_027360421.1	1.23502856567744
XM_027360500.1	2.00293105902805
XM_027361146.1	1.34765247230912
XM_027361177.1	-9.42601602213367
XM_027361178.1	-10.5718069752202
XM_027361625.1	4.45197330914828
XM_027361724.1	7.99691501738093
XM_027361732.1	7.82430003267637
XM_027361758.1	2.10220427932698
XM_027361885.1	5.91138185653479
XM_027362115.1	-2.02993118001559
XM_027362951.1	3.66268447370055
XM_027363613.1	2.99323154517489
XM_027364183.1	8.41641086663246
XM_027364825.1	-6.5590521219277
XM_027365010.1	-6.62240609435799
XM_027365174.1	3.13912297595819
XM_027365200.1	3.65222545199435
