ID	lminusProb
XM_027350794.1	0
XM_027350808.1	0
XM_027350821.1	0
XM_027350836.1	0
XM_027350844.1	0
XM_027350922.1	0
XM_027351067.1	0
XM_027351143.1	0
XM_027351214.1	0
XM_027351354.1	0
XM_027351357.1	0
XM_027351448.1	0
XM_027351586.1	0
XM_027352133.1	0
XM_027352608.1	0
XM_027352782.1	0
XM_027352783.1	0
XM_027352913.1	0
XM_027353153.1	0
XM_027353154.1	0
XM_027353444.1	0
XM_027354259.1	0
XM_027354450.1	0
XM_027354784.1	0
XM_027355167.1	0
XM_027355316.1	0
XM_027355416.1	0
XM_027355512.1	0
XM_027355915.1	0
XM_027355916.1	0
XM_027356042.1	0
XM_027356246.1	0
XM_027356531.1	0
XM_027356582.1	0
XM_027356585.1	0
XM_027356790.1	0
XM_027357068.1	0
XM_027357116.1	0
XM_027357394.1	0
XM_027357602.1	0
XM_027357656.1	0
XM_027358752.1	0
XM_027358775.1	0
XM_027358804.1	0
XM_027359037.1	0
XM_027359752.1	0
XM_027359926.1	0
XM_027359977.1	0
XM_027360144.1	0
XM_027360421.1	0
XM_027360500.1	0
XM_027361146.1	0
XM_027361177.1	0
XM_027361178.1	0
XM_027361625.1	0
XM_027361724.1	0
XM_027361732.1	0
XM_027361758.1	0
XM_027361885.1	0
XM_027362115.1	0
XM_027362951.1	0
XM_027363613.1	0
XM_027364183.1	0
XM_027364825.1	0
XM_027365010.1	0
XM_027365174.1	0
XM_027365200.1	0
XM_027365290.1	0
XM_027365316.1	0
XM_027365932.1	0
XM_027366336.1	0
XM_027367111.1	0
XM_027367320.1	0
XM_027367622.1	0
XM_027367745.1	0
XM_027367904.1	0
XM_027368111.1	0
XM_027369235.1	0
XM_027369299.1	0
XM_027369540.1	0
XM_027369544.1	0
XM_027369628.1	0
XM_027369826.1	0
XM_027370034.1	0
XM_027370046.1	0
XM_027370377.1	0
XM_027370735.1	0
XM_027370921.1	0
XM_027371169.1	0
XM_027371190.1	0
XM_027371208.1	0
XM_027371210.1	0
XM_027371458.1	0
XM_027371604.1	0
XM_027372635.1	0
XM_027372959.1	0
XM_027372983.1	0
XM_027373402.1	0
XM_027373503.1	0
XM_027373581.1	0
XM_027373693.1	0
XM_027373880.1	0
XM_027373891.1	0
XM_027373902.1	0
XM_027373946.1	0
XM_027373956.1	0
XM_027374294.1	0
XM_027374295.1	0
XM_027375207.1	0
XM_027375208.1	0
XM_027375905.1	0
XM_027376202.1	0
XM_027377139.1	0
XM_027377294.1	0
XM_027377476.1	0
XM_027377478.1	0
XM_027377479.1	0
XM_027377480.1	0
XM_027377482.1	0
XM_027377497.1	0
XM_027377569.1	0
XM_027377638.1	0
XM_027377681.1	0
XM_027377853.1	0
XM_027378808.1	0
XM_027378888.1	0
XM_027379243.1	0
XM_027379490.1	0
XM_027379686.1	0
XM_027379687.1	0
XM_027381025.1	0
XM_027381144.1	0
XM_027381749.1	0
XM_027381756.1	0
XM_027381930.1	0
XM_027381992.1	0
XM_027382130.1	0
XM_027382533.1	0
XM_027382850.1	0
XM_027382943.1	0
XR_003475533.1	0
XR_003475955.1	0
XR_003476155.1	0
XR_003476156.1	0
XR_003477406.1	0
XR_003477411.1	0
XR_003477542.1	0
XR_003477749.1	0
XR_003477801.1	0
XR_003477979.1	0
XM_027354901.1	1.11022302462516e-16
XM_027358905.1	1.11022302462516e-16
XM_027359925.1	1.11022302462516e-16
XM_027360097.1	1.11022302462516e-16
XM_027360145.1	1.11022302462516e-16
XM_027360177.1	1.11022302462516e-16
XM_027361127.1	1.11022302462516e-16
XM_027361789.1	1.11022302462516e-16
XM_027365450.1	1.11022302462516e-16
XM_027366527.1	1.11022302462516e-16
XM_027366643.1	1.11022302462516e-16
XM_027366971.1	1.11022302462516e-16
XM_027367638.1	1.11022302462516e-16
XM_027367684.1	1.11022302462516e-16
XM_027373398.1	1.11022302462516e-16
XM_027373404.1	1.11022302462516e-16
XM_027373410.1	1.11022302462516e-16
XM_027373548.1	1.11022302462516e-16
XM_027373549.1	1.11022302462516e-16
XM_027375771.1	1.11022302462516e-16
XM_027377492.1	1.11022302462516e-16
XM_027379214.1	1.11022302462516e-16
XM_027379287.1	1.11022302462516e-16
XM_027379785.1	1.11022302462516e-16
XM_027380974.1	1.11022302462516e-16
XM_027380975.1	1.11022302462516e-16
XM_027383088.1	1.11022302462516e-16
XM_027383657.1	1.11022302462516e-16
XR_003475680.1	1.11022302462516e-16
XR_003477976.1	1.11022302462516e-16
XM_027354443.1	2.22044604925031e-16
XM_027356325.1	2.22044604925031e-16
XM_027356431.1	2.22044604925031e-16
XM_027360178.1	2.22044604925031e-16
XM_027362356.1	2.22044604925031e-16
XM_027362612.1	2.22044604925031e-16
XM_027363278.1	2.22044604925031e-16
XM_027364457.1	2.22044604925031e-16
XM_027366621.1	2.22044604925031e-16
XM_027367706.1	2.22044604925031e-16
XM_027367743.1	2.22044604925031e-16
XM_027370745.1	2.22044604925031e-16
XM_027370963.1	2.22044604925031e-16
XM_027370979.1	2.22044604925031e-16
XM_027372709.1	2.22044604925031e-16
XM_027373111.1	2.22044604925031e-16
XM_027373288.1	2.22044604925031e-16
XM_027373706.1	2.22044604925031e-16
XM_027373724.1	2.22044604925031e-16
XM_027375319.1	2.22044604925031e-16
XM_027382852.1	2.22044604925031e-16
XR_003477734.1	2.22044604925031e-16
XR_003477940.1	2.22044604925031e-16
XM_027351356.1	3.33066907387547e-16
XM_027358252.1	3.33066907387547e-16
XM_027359031.1	3.33066907387547e-16
XM_027360179.1	3.33066907387547e-16
XM_027361286.1	3.33066907387547e-16
XM_027362650.1	3.33066907387547e-16
XM_027369552.1	3.33066907387547e-16
XM_027369954.1	3.33066907387547e-16
XM_027371818.1	3.33066907387547e-16
XM_027373412.1	3.33066907387547e-16
XM_027380858.1	3.33066907387547e-16
XM_027381757.1	3.33066907387547e-16
XM_027382128.1	3.33066907387547e-16
XR_003475608.1	3.33066907387547e-16
XR_003477617.1	3.33066907387547e-16
XM_027350756.1	4.44089209850063e-16
XM_027350820.1	4.44089209850063e-16
XM_027356265.1	4.44089209850063e-16
XM_027356796.1	4.44089209850063e-16
XM_027360590.1	4.44089209850063e-16
XM_027361221.1	4.44089209850063e-16
XM_027361848.1	4.44089209850063e-16
XM_027362640.1	4.44089209850063e-16
XM_027364431.1	4.44089209850063e-16
XM_027373862.1	4.44089209850063e-16
XM_027375049.1	4.44089209850063e-16
XM_027375769.1	4.44089209850063e-16
XM_027377474.1	4.44089209850063e-16
XM_027378580.1	4.44089209850063e-16
XM_027381427.1	4.44089209850063e-16
XM_027381503.1	4.44089209850063e-16
XM_027381504.1	4.44089209850063e-16
XM_027381753.1	4.44089209850063e-16
XR_003476602.1	4.44089209850063e-16
XM_027358512.1	5.55111512312578e-16
XM_027363102.1	5.55111512312578e-16
XM_027363522.1	5.55111512312578e-16
XM_027363614.1	5.55111512312578e-16
XM_027371938.1	5.55111512312578e-16
XM_027375137.1	5.55111512312578e-16
XM_027376914.1	5.55111512312578e-16
XM_027381546.1	5.55111512312578e-16
XM_027363479.1	6.66133814775094e-16
XM_027367034.1	6.66133814775094e-16
XM_027371817.1	6.66133814775094e-16
XM_027372708.1	6.66133814775094e-16
XM_027376913.1	6.66133814775094e-16
XM_027379475.1	6.66133814775094e-16
XM_027381624.1	6.66133814775094e-16
XM_027382016.1	6.66133814775094e-16
XR_003477613.1	6.66133814775094e-16
XM_027360286.1	7.7715611723761e-16
XM_027362936.1	7.7715611723761e-16
XM_027363279.1	7.7715611723761e-16
XM_027363819.1	7.7715611723761e-16
XM_027352595.1	8.88178419700125e-16
XM_027354451.1	8.88178419700125e-16
XM_027373582.1	8.88178419700125e-16
XM_027375500.1	8.88178419700125e-16
XM_027355914.1	9.99200722162641e-16
XM_027370978.1	9.99200722162641e-16
XM_027375770.1	9.99200722162641e-16
XM_027377490.1	9.99200722162641e-16
XM_027357587.1	1.11022302462516e-15
XM_027360250.1	1.11022302462516e-15
