muscle_1	muscle_2	muscle_3	muscle_wssv_1	muscle_wssv_2	muscle_wssv_3
XM_027350592.1	3	2	1	10	14	4
XM_027350593.1	11	0	2	12	15	14
XM_027350595.1	5	4	2	6	10	6
XM_027350597.1	85	79	68	258	255	175
XM_027350598.1	9	277	285	117	4	2
XM_027350603.1	291	284	272	369	426	693
XM_027350604.1	19	25	16	90	72	138
XM_027350605.1	15	34	19	78	73	144
XM_027350606.1	6	18	10	71	70	109
XM_027350607.1	6	33	14	88	117	142
XM_027350608.1	81	114	75	86	39	61
XM_027350611.1	7	8	8	7	30	24
XM_027350612.1	18	14	6	30	16	38
XM_027350614.1	16	14	0	123	57	143
XM_027350615.1	13	20	11	136	49	161
XM_027350616.1	18	10	13	122	72	158
XM_027350617.1	63	45	50	212	81	209
XM_027350618.1	4	10	2	4	0	11
XM_027350619.1	2335	3501	2740	2010	2668	2011
XM_027350620.1	28	19	20	145	146	150
XM_027350627.1	632	690	370	1334	720	1910
XM_027350631.1	4	0	0	0	0	0
XM_027350634.1	29	28	11	17	11	28
XM_027350635.1	171	189	194	816	485	1344
XM_027350640.1	38	60	42	302	337	429
XM_027350641.1	10	21	10	128	92	160
XM_027350642.1	22	4	8	182	203	666
XM_027350643.1	28	8	10	194	184	706
XM_027350644.1	3106	4158	2550	5169	2259	1993
XM_027350645.1	3059	4126	2411	5152	2223	2082
XM_027350646.1	6	17	2	84	64	52
XM_027350647.1	234	389	171	648	428	539
XM_027350648.1	204	375	202	628	417	592
XM_027350649.1	220	334	153	599	371	458
XM_027350651.1	2	2	0	12	9	8
XM_027350652.1	2	0	2	10	24	19
XM_027350653.1	354	411	451	493	558	183
XM_027350658.1	35	5	8	219	92	463
XM_027350660.1	2484	3777	2291	1015	1512	732
XM_027350661.1	2	4	0	11	0	12
XM_027350664.1	4	6	2	11	6	6
XM_027350665.1	3	14	33	46	50	1111
XM_027350668.1	4	0	2	20	12	29
XM_027350671.1	1164	2486	2639	1434	27191	2986
XM_027350674.1	6	8	3	178	19	496
XM_027350677.1	1883	2574	1961	2191	3005	3813
XM_027350678.1	168	334	239	136	193	272
XM_027350679.1	2	4	1	12	6	22
XM_027350680.1	16	15	15	51	22	46
XM_027350683.1	2	10	4	22	8	13
XM_027350685.1	1	7	0	8	5	8
