ID	log2FoldChange
XM_027368908.1	7.18623906757272
XM_027356275.1	6.02746718924882
XM_027368941.1	5.13267868210721
XR_003477213.1	8.47875648230511
XR_003476716.1	4.21122424826933
XM_027354398.1	-6.63582622068813
XM_027362237.1	6.89098473982491
XM_027364664.1	-5.18829593684685
XM_027383252.1	8.26906887939362
XR_003477866.1	4.54753121224437
XM_027357401.1	4.58357382751095
XM_027368427.1	-2.30325422207761
XM_027352483.1	8.66357324496467
XM_027370929.1	3.72859577723156
XM_027370990.1	-3.44514205507314
XR_003476715.1	4.92248507410729
XM_027378246.1	5.03648811373277
XM_027373769.1	-3.23096740422707
XM_027367240.1	3.63535104296545
XM_027371499.1	3.73381819949421
XM_027381617.1	3.49166790045001
XM_027373555.1	-2.47663471649501
XM_027362823.1	8.97794157799082
XM_027378245.1	4.97105992539389
XM_027383661.1	6.97835545850174
XM_027368202.1	5.32698467122127
XM_027371437.1	5.03453147042178
XR_003476142.1	4.61927943693811
XR_003475914.1	9.53747689287946
XR_003477346.1	-5.32914952459751
XR_003475422.1	-4.728738346392
XM_027352479.1	6.55124893392529
XM_027375346.1	-2.51758646154873
XM_027362035.1	-4.21176455583256
XM_027367216.1	4.63823513845256
XM_027380429.1	-5.60382232349964
XM_027370930.1	3.67169239474861
XM_027367793.1	5.18238782750113
XM_027360250.1	8.23597641056375
XM_027357432.1	9.40810006187585
XR_003476675.1	-4.81790867918323
XM_027358949.1	8.09102426797794
XM_027367217.1	5.07517054839725
XM_027361000.1	-2.26154569221863
XM_027362706.1	2.25747357634706
XM_027353545.1	3.49442554382467
XM_027365739.1	6.20856332557469
XR_003477647.1	-2.21456388248865
XM_027361214.1	3.2533355254896
XM_027362500.1	-1.89550363218073
XM_027377476.1	5.94436524596022
XM_027379437.1	5.09043839003266
XM_027361001.1	-2.30578082123933
XM_027361553.1	2.4671140353946
XM_027370837.1	2.45042902660222
XM_027357331.1	-2.91586473189499
XM_027377481.1	6.14288566921218
XM_027370046.1	-3.25891398232645
XM_027361002.1	-2.19625704440993
XM_027361742.1	-2.52021364911928
XM_027372808.1	3.68242553991042
XM_027373902.1	-2.35777877694337
XM_027356799.1	-2.33923574600849
XM_027357817.1	13.7631230463483
XM_027350824.1	-2.21196235125191
XM_027371490.1	-2.13208117224321
XM_027362049.1	-2.20651688518234
XM_027371491.1	-2.09546927931017
XR_003477695.1	6.85577551599827
XM_027374209.1	4.61574280728159
