ID	padj
XM_027368908.1	1.78554909600138e-85
XM_027356275.1	3.26512952796629e-74
XM_027368941.1	3.26512952796629e-74
XR_003477213.1	8.60561381521382e-67
XR_003476716.1	2.69352540716067e-57
XM_027354398.1	3.52445257194607e-53
XM_027362237.1	3.96325926084902e-51
XM_027364664.1	3.96325926084902e-51
XM_027383252.1	2.67485264646638e-49
XR_003477866.1	4.79670426237538e-49
XM_027357401.1	1.21687650490155e-48
XM_027368427.1	1.01342330967083e-47
XM_027352483.1	1.57161465595126e-47
XM_027370929.1	3.28775846250245e-45
XM_027370990.1	6.25806609376767e-44
XR_003476715.1	1.84365844121457e-41
XM_027378246.1	1.08882253645519e-40
XM_027373769.1	3.04176483713793e-39
XM_027367240.1	5.21595059387271e-39
XM_027371499.1	7.35092171759483e-39
XM_027381617.1	9.14232784874196e-39
XM_027373555.1	2.05538195927106e-38
XM_027362823.1	3.69725265507458e-38
XM_027378245.1	8.61258258570717e-38
XM_027383661.1	9.2972288673621e-38
XM_027368202.1	6.87615999439156e-37
XM_027371437.1	1.76475039696079e-36
XR_003476142.1	3.86098620687909e-36
XR_003475914.1	1.24736092938582e-34
XR_003477346.1	4.24803539750131e-34
XR_003475422.1	1.69194464402115e-33
XM_027352479.1	3.78047626784532e-33
XM_027375346.1	1.49862141926859e-32
XM_027362035.1	1.72868562345974e-32
XM_027367216.1	7.20602203377908e-31
XM_027380429.1	9.29140204409231e-31
XM_027370930.1	1.07026103008748e-29
XM_027367793.1	4.26248685333231e-29
XM_027360250.1	4.65704806547614e-29
XM_027357432.1	8.61293892646098e-28
XR_003476675.1	5.1096978427783e-27
XM_027358949.1	1.03681054433538e-26
XM_027367217.1	1.11299315113875e-26
XM_027361000.1	3.06159694313259e-26
XM_027362706.1	3.14948223237867e-26
XM_027353545.1	8.03440875339536e-26
XM_027365739.1	1.35698760460613e-25
XR_003477647.1	1.68110687331535e-25
XM_027361214.1	2.10377010171475e-25
XM_027362500.1	2.6163390583651e-25
XM_027377476.1	2.73433189665657e-25
XM_027379437.1	4.30577177839014e-25
XM_027361001.1	1.08877868528121e-24
XM_027361553.1	1.74066189915914e-24
XM_027370837.1	2.52516977924357e-24
XM_027357331.1	3.0366475141823e-24
XM_027377481.1	1.07534008748232e-23
XM_027370046.1	1.09972896164999e-23
XM_027361002.1	2.1551325808893e-23
XM_027361742.1	2.40835205338793e-23
XM_027372808.1	3.31218452212507e-23
XM_027373902.1	4.66841045901865e-23
XM_027356799.1	4.82342035447354e-23
XM_027357817.1	5.64054874165762e-23
XM_027350824.1	7.58276010980986e-23
XM_027371490.1	1.19552956403092e-22
XM_027362049.1	1.61249917481981e-22
XM_027371491.1	2.23118158057553e-22
XR_003477695.1	2.77206300792624e-22
XM_027374209.1	3.07011549188301e-22
XM_027375277.1	6.10280586095106e-22
XM_027361051.1	6.20943943906281e-22
XR_003477191.1	6.20943943906281e-22
XM_027352782.1	9.7423017817715e-22
XM_027375763.1	1.01994155226771e-21
XM_027368186.1	2.16103422313603e-21
XM_027361907.1	2.21438640024853e-21
XM_027367233.1	2.24769342928954e-21
XM_027374011.1	2.30841927150288e-21
XM_027364982.1	2.67251697797837e-21
XM_027369700.1	2.82175556588784e-21
XM_027352767.1	3.25299932986288e-21
XR_003476320.1	4.72339846823648e-21
XR_003476132.1	5.65292366422094e-21
XM_027356497.1	6.35295807841533e-21
XM_027358948.1	8.53617798921147e-21
XM_027353912.1	8.94583460472976e-21
XM_027352348.1	9.27726652781791e-21
XM_027350825.1	9.42454491596626e-21
XR_003477192.1	1.05315991800699e-20
XM_027365164.1	1.42584156767461e-20
XM_027359537.1	2.66661143854637e-20
XM_027350817.1	2.77681724119502e-20
XM_027365957.1	2.77681724119502e-20
XM_027350818.1	4.2566812643185e-20
XM_027367748.1	4.4708264362557e-20
XM_027364651.1	4.68673406831475e-20
XR_003475830.1	6.10181980976942e-20
XM_027359927.1	6.92113357577901e-20
XM_027372885.1	7.13600657535004e-20
XM_027373696.1	7.45583283245712e-20
XM_027361008.1	9.35360191638638e-20
XM_027367845.1	9.35360191638638e-20
XM_027383051.1	9.76062977307815e-20
XM_027364654.1	9.96202945058073e-20
XM_027374829.1	1.01119141796327e-19
XM_027377480.1	1.45925997226478e-19
XM_027374211.1	2.36757102422885e-19
XM_027369235.1	2.41298975356073e-19
XM_027367241.1	3.78929088911366e-19
XM_027365709.1	4.16148535841242e-19
XM_027369407.1	5.58182064752158e-19
XM_027373260.1	5.58182064752158e-19
XM_027354223.1	6.19840055809515e-19
XM_027372091.1	7.0585828455281e-19
XM_027369044.1	7.65732110844325e-19
XM_027352895.1	8.45128095180432e-19
XR_003476465.1	9.28326997031731e-19
XR_003476770.1	9.99692347176021e-19
XM_027383722.1	1.70742232602313e-18
XM_027363736.1	1.77691974338427e-18
XM_027365880.1	1.90298535930868e-18
XM_027376809.1	2.23753983979622e-18
XM_027374701.1	2.39716191575059e-18
XM_027383284.1	2.41852718802952e-18
XM_027375347.1	2.51797262578666e-18
XM_027375231.1	2.57964591267847e-18
XM_027372558.1	3.3122397483733e-18
XM_027374210.1	3.31526703363593e-18
XM_027363358.1	3.688277045615e-18
XM_027380564.1	3.80912054600483e-18
XM_027360208.1	3.90416168318563e-18
XM_027366290.1	3.98684380070582e-18
XM_027361439.1	4.35970929767566e-18
XM_027359128.1	4.51444473335531e-18
XM_027370576.1	4.63427796033041e-18
XM_027359142.1	5.89646938689074e-18
XM_027368551.1	9.42150212648971e-18
XM_027356950.1	9.46021593327552e-18
XM_027368298.1	1.19276699408511e-17
XM_027375202.1	1.30239961587223e-17
XM_027372920.1	2.27558926409866e-17
XM_027375174.1	2.37488080642441e-17
XM_027377478.1	2.51484167697961e-17
XM_027354567.1	2.54915344518701e-17
XM_027377497.1	2.54915344518701e-17
XM_027383147.1	2.7400169538397e-17
XM_027365955.1	2.87099710725973e-17
XM_027368681.1	3.09261656948157e-17
XM_027373857.1	3.16907100826475e-17
XM_027375315.1	3.67191157809145e-17
XM_027352765.1	4.78955722667294e-17
XM_027363021.1	5.03965322923414e-17
XM_027359151.1	5.27168898259081e-17
XM_027370759.1	5.3528153562317e-17
XR_003477519.1	5.3528153562317e-17
XM_027369201.1	5.91199870294553e-17
XM_027352138.1	6.13738964348567e-17
XM_027366660.1	6.89216466905732e-17
XM_027360420.1	7.03272409660044e-17
XR_003476673.1	7.11172662635684e-17
XM_027374627.1	7.28136166190905e-17
XR_003476670.1	7.58551068077125e-17
XM_027352783.1	7.78062331445627e-17
XM_027359006.1	9.14613370677489e-17
XM_027367830.1	9.39790580754207e-17
XM_027371308.1	9.79193554076533e-17
XR_003477966.1	1.0841909040484e-16
XM_027377058.1	1.20344129621377e-16
XM_027352137.1	1.26861993765467e-16
XM_027350869.1	1.3114899068183e-16
XM_027368508.1	1.3482538502483e-16
XM_027370944.1	1.62122436642077e-16
XM_027371566.1	1.65232025281014e-16
XM_027361425.1	1.96394662434392e-16
XM_027374470.1	2.06979518710809e-16
XM_027365498.1	2.21168601946071e-16
XM_027380316.1	2.2168690654848e-16
XR_003476679.1	2.38858462241597e-16
XM_027353536.1	2.61830595613727e-16
XM_027364989.1	2.92032944394002e-16
XM_027373554.1	3.12737144504743e-16
XM_027355073.1	3.66469752066312e-16
XM_027372643.1	4.30074725907602e-16
XM_027365959.1	4.34609998580011e-16
XM_027378026.1	4.34609998580011e-16
XM_027375204.1	4.37549824342485e-16
XM_027370575.1	4.45140269946055e-16
XM_027360884.1	4.52893129566805e-16
XM_027353587.1	4.81499416287335e-16
XM_027364524.1	5.57011779990484e-16
XM_027361980.1	5.91353344469819e-16
XM_027380144.1	6.05402021874159e-16
XM_027354132.1	6.5580301227692e-16
XM_027350819.1	1.10462817738671e-15
XM_027369344.1	1.10462817738671e-15
XM_027370319.1	1.12177583383818e-15
XR_003476140.1	1.1243543925354e-15
XM_027367983.1	1.12526834883861e-15
XM_027379675.1	1.19526816890224e-15
XM_027363899.1	1.2144794642425e-15
XM_027379285.1	1.34141936970359e-15
XM_027376977.1	1.5154992661261e-15
XM_027375947.1	1.70778249666209e-15
XM_027370301.1	1.88048195901232e-15
XM_027363737.1	1.94441860722829e-15
XM_027362738.1	1.95095958156049e-15
XM_027360670.1	1.96853447776166e-15
XM_027358311.1	2.37151199119467e-15
XM_027359133.1	2.5862347036231e-15
XM_027373022.1	2.6015708597269e-15
XM_027356800.1	2.75579969083748e-15
XM_027350755.1	2.78674010750318e-15
XM_027352131.1	2.89950448720385e-15
XM_027362211.1	2.89950448720385e-15
XM_027360674.1	3.15873605686402e-15
XM_027360596.1	3.25046699999431e-15
XM_027375121.1	3.45131409306113e-15
XM_027359130.1	3.755759225976e-15
XM_027364648.1	3.755759225976e-15
XM_027365225.1	3.95444340559159e-15
XM_027354946.1	4.02765079987235e-15
XM_027373205.1	4.161193491745e-15
XM_027361478.1	4.8374271095109e-15
XM_027368883.1	4.91498176178132e-15
XM_027351679.1	5.45810747434338e-15
XM_027368104.1	5.70282585042937e-15
XM_027351037.1	5.77489496474218e-15
XR_003475680.1	6.03636097552729e-15
XM_027382110.1	6.58481371802782e-15
XR_003476384.1	6.94050542240423e-15
XM_027379859.1	7.45213347358541e-15
XM_027381381.1	7.63578399088389e-15
XM_027383009.1	7.88292006547551e-15
XM_027379995.1	8.00670148618257e-15
XM_027374119.1	8.10630006412339e-15
XM_027355188.1	9.97492126502162e-15
XM_027371496.1	9.99366562406464e-15
XM_027383205.1	1.10476970878473e-14
XM_027358285.1	1.15553026979681e-14
XM_027356293.1	1.28970408736245e-14
XM_027355469.1	1.30775208217917e-14
XM_027356832.1	1.33345354190284e-14
XM_027360886.1	1.39579450299372e-14
XM_027367818.1	1.39579450299372e-14
XM_027365872.1	1.45982202546695e-14
XM_027353338.1	1.54510705452801e-14
XM_027358980.1	1.56019792900886e-14
XM_027364824.1	1.73375640340896e-14
XM_027364028.1	1.76809940853627e-14
XM_027379845.1	2.00875089959683e-14
XM_027371919.1	2.24704514238453e-14
XR_003475857.1	2.30840400282827e-14
XM_027371805.1	2.44424524509802e-14
XM_027354175.1	2.45835136957117e-14
XM_027355298.1	2.50206037505279e-14
XR_003477542.1	2.5935335559896e-14
XM_027358312.1	3.04566560818261e-14
XM_027350868.1	3.1218332953296e-14
XM_027357480.1	3.1218332953296e-14
XM_027365608.1	3.27442137537925e-14
XM_027371564.1	3.51612622798763e-14
XR_003475477.1	3.76860300967944e-14
XM_027372901.1	4.2697133168267e-14
XM_027377590.1	4.43390941421477e-14
XM_027360888.1	4.60218209942797e-14
XM_027370574.1	4.66115715745605e-14
XM_027365867.1	4.77685097923992e-14
XM_027361480.1	4.80958880274723e-14
XM_027371158.1	5.14333784801537e-14
XM_027363738.1	5.40372717918229e-14
XM_027359129.1	5.45367400439252e-14
XM_027361479.1	5.49640729944655e-14
XM_027364708.1	5.69199205678056e-14
XM_027380214.1	5.69199205678056e-14
