ID	edgeR_logFC	limma_logFC	NOISeq_log2FC_SigInv	DESeq2_log2FoldChange
XM_027350598.1	-3.45584066287402	-4.39351753381639	-3.44672690391097	-3.48511109935418
XM_027350606.1	1.63775496435978	1.65004156099967	1.67785383744828	1.6189178073823
XM_027350607.1	1.53367440706469	1.64369759116922	1.5727419489284	1.5163592086434
XM_027350608.1	-1.77796929955615	-1.82348762699518	-1.76956173158813	-1.80461526821368
XM_027350614.1	2.18262756333334	3.12500124900895	2.17100305926991	2.15170534622026
XM_027350615.1	1.68093228951458	1.57629948678285	1.69139535650413	1.65288424714805
XM_027350616.1	1.78666793000068	1.84559110833488	1.77988671624334	1.7697081828286
XM_027350619.1	-1.5443648327967	-1.59880978534477	-1.51687308715522	-1.55269779057417
XM_027350628.1	7.89871550563589	6.8474207582908	7.88496380341633	7.95432416970019
XM_027350640.1	1.70129425811961	1.67966637463764	1.72323176858015	1.68324954245318
XM_027350641.1	1.9648002715878	1.94559136904819	2.00080477838025	1.94307242348623
XM_027350642.1	3.54837802151434	3.7893800625138	3.54695999691465	3.52599026838247
XM_027350643.1	3.16076800323768	3.25157708386303	3.15819301020662	3.13188437224595
XM_027350646.1	1.86124484835457	1.95873622309749	1.93306560826042	1.84514741799709
XM_027350658.1	2.5946485998521	3.01951882786997	2.58889742184011	2.56215608580924
XM_027350660.1	-2.5221623114344	-2.66678885519881	-2.49109075403167	-2.52509540953577
XM_027350678.1	-1.5349397348649	-1.55053082547645	-1.5169819470517	-1.55518078697924
XM_027350690.1	-2.34216720996244	-2.29608671572762	-2.33459114209296	-2.37190742659716
XM_027350736.1	-2.24611582156857	-2.41717666547783	-2.21498286470855	-2.24884336370568
XM_027350773.1	1.9128517757898	1.96242399055319	1.93761769206226	1.88922038179784
XM_027350774.1	1.49252708101297	1.57483512423942	1.50515758043379	1.47076057265768
XM_027350775.1	2.03100270880392	2.15676574542087	2.03081419475739	2.02225243751163
XM_027350784.1	1.78872256108931	1.79993744284525	1.7998194173438	1.77219969314924
XM_027350785.1	1.60683544701622	1.60202805392529	1.61344940503601	1.58244382502979
XM_027350786.1	2.06267195580572	2.09160918486155	2.0822809668781	2.03383023113305
XM_027350787.1	1.79359664676991	1.76264959075661	1.81164363476794	1.77053540496239
XM_027350788.1	2.13480012718743	2.09192808561785	2.14417510286833	2.11378815362836
XM_027350793.1	4.79783797299987	5.50790228874656	4.78962239283652	4.77857678994129
XM_027350797.1	-1.48860949163921	-1.52369088025942	-1.46558000804521	-1.50067464823938
XM_027350817.1	-2.13689755635496	-2.1443113772133	-2.11738773070536	-2.15352634069275
XM_027350818.1	-2.14563255629453	-2.15333212910216	-2.12596117547257	-2.16213780931215
XM_027350819.1	-1.82382967016038	-1.82476669324974	-1.80743748639759	-1.84346736094736
XM_027350824.1	-2.18790062124382	-2.18043592890655	-2.17741155134817	-2.21196235125191
XM_027350825.1	-2.30862526881475	-2.29902883039113	-2.29759984702191	-2.33218867755935
XM_027350836.1	-1.96172550940101	-2.41670073971369	-1.94466733190663	-1.98307309812934
XM_027350857.1	5.7152420767628	5.94769486087731	5.58109019751047	5.76143350574603
XM_027350868.1	3.34499218665612	3.29951397911217	3.34875960657809	3.32277874504103
XM_027350869.1	3.37216575193861	3.35800511893678	3.37286399930217	3.35560428659635
XM_027350882.1	1.51176225567278	1.50493006370079	1.53255241111169	1.49263384319254
XM_027350917.1	3.04079324606385	3.191271067044	3.09401849424941	3.03093495260773
XM_027350920.1	-1.62502352125881	-1.70410706755852	-1.61842173990084	-1.65300100684855
XM_027350924.1	4.34649896800457	4.79081120603848	4.01229433291236	4.41436927248719
XM_027350951.1	-2.36561757914691	-2.55222991332531	-2.33382186904976	-2.37001775032923
XM_027350967.1	-2.69653768670446	-1.474538015758	-2.66660719930064	-2.69661656130611
XM_027350998.1	1.54060287851085	1.59313251150988	1.5581137548001	1.52645909109946
XM_027351003.1	-1.68009508188886	-1.5988336189718	-1.66173821073059	-1.69789887296999
XM_027351009.1	-2.0744838908641	-2.00297134220751	-2.05751037176436	-2.09533761946806
XM_027351020.1	2.13274439245193	2.04607770145653	2.13836365322508	2.09305905078016
