ID	edgeR_FDR	limma_adj.P.Val	NOISeq_lminusProb	DESeq2_padj
XM_027350598.1	0.105189501288191	0.208830743347761	0.00910215570845807	0.0911246101648518
XM_027350606.1	0.000450696212927784	0.0410540218247524	0.00851980893859994	0.000157815795939018
XM_027350607.1	0.0149306193371148	0.0656068419362056	0.0145014402123911	0.00501665365929994
XM_027350608.1	3.09720720798864e-05	0.00786584027666119	0.0077330273038092	1.79539412625933e-07
XM_027350614.1	0.0316177443162233	0.0671271948345983	0.0089709119447503	0.00195445410323933
XM_027350615.1	0.00154447253897907	0.0874358423553859	0.00712570039931981	0.000467502945132278
XM_027350616.1	0.000237260919829926	0.0285604843276902	0.00517684604881219	2.45411504689814e-05
XM_027350619.1	0.00281440015655475	0.00987524045753813	0	2.45411504689814e-05
XM_027350628.1	0.00643492413446262	0.278980556204541	2.30903739006916e-06	1
XM_027350640.1	3.19183942855295e-05	0.00748125971910224	0.00256115509283261	1.53796005432364e-08
XM_027350641.1	1.98480369740948e-06	0.0153042141940424	0.00181690106629406	2.27155786239333e-07
XM_027350642.1	5.1314915598067e-05	0.0306660679816482	0.00469978839076934	2.39609062597993e-07
XM_027350643.1	0.000125813061527192	0.0333240767326608	0.00347590359066019	1.30508729868114e-06
XM_027350646.1	0.00740827421735691	0.0975959220309614	0.00863304817935706	0.00227811159757685
XM_027350658.1	0.00796648503489393	0.0582228974772665	0.00518941242149817	0.00090682287724699
XM_027350660.1	2.69457928807274e-05	0.00594848538942881	0	5.33520049049704e-08
XM_027350678.1	0.00189416623539857	0.0133423691519642	0.00691285552305143	1.48227731711762e-05
XM_027350690.1	0.000200571087401214	0.0118281760398548	0.000749951122660963	3.10050206981894e-07
XM_027350736.1	0.000324310974448504	0.00950640562699183	0	4.60625599685918e-06
XM_027350773.1	9.59390293240853e-05	0.0164375684507606	0.00904483530798572	1.98157662049403e-06
XM_027350774.1	0.00495179028583028	0.039463739078603	0.0122791703074534	0.000842953914849166
XM_027350775.1	4.14258269220667e-05	0.0144687300555829	0.00679230929440322	1.00569413786196e-06
XM_027350784.1	9.85702472085039e-06	0.00744448883778747	0.00373405773156121	1.75422185098013e-09
XM_027350785.1	0.000774928282169505	0.0197511873878063	0.00523655869340789	2.42344919713897e-05
XM_027350786.1	5.06283178312781e-05	0.0109304679110772	0.00184531133855437	1.42656265985243e-07
XM_027350787.1	9.17780912770645e-06	0.00765406546730477	0.00372596721236218	1.91619414997434e-09
XM_027350788.1	2.26397460519335e-06	0.0116108661948792	0.00455495049749477	6.06470142596374e-09
XM_027350793.1	0.000540337445241227	0.0694255522292125	1.24566060188958e-06	0.00261387840636918
XM_027350797.1	0.0017601074869101	0.0075679912096544	0	1.33288610189054e-06
XM_027350817.1	3.38628948259352e-06	0.00292352525428264	0	2.77681724119502e-20
XM_027350818.1	3.25439785126856e-06	0.00292352525428264	4.44089209850063e-16	4.2566812643185e-20
XM_027350819.1	7.85119786060015e-05	0.00384399167114985	1.77635683940025e-15	1.10462817738671e-15
XM_027350824.1	1.30034384851869e-07	0.00292352525428264	4.27115223322616e-06	7.58276010980986e-23
XM_027350825.1	1.0019850317525e-07	0.00297370317639428	0.00014879521630029	9.42454491596626e-21
XM_027350836.1	0.0475897304153038	0.0427814770402833	0.0167051515657196	0.010429738926114
XM_027350857.1	5.81233728683522e-10	0.0108317832437728	2.22044604925031e-16	1.21198622409892e-09
XM_027350868.1	1.28282585145612e-09	0.00985047660785538	3.33066907387547e-16	3.1218332953296e-14
XM_027350869.1	3.44123784519905e-11	0.00710841248922356	0	1.3114899068183e-16
XM_027350882.1	0.00101794676761545	0.0114437111745304	0.00693989390259253	5.2532516638953e-06
