ID	limma	DESeq2	edgeR	NOISeq
XM_027350606.1	1	1	1	1
XM_027350608.1	1	1	1	1
XM_027350616.1	1	1	1	1
XM_027350619.1	1	1	1	1
XM_027350640.1	1	1	1	1
XM_027350641.1	1	1	1	1
XM_027350642.1	1	1	1	1
XM_027350643.1	1	1	1	1
XM_027350660.1	1	1	1	1
XM_027350678.1	1	1	1	1
XM_027350690.1	1	1	1	1
XM_027350736.1	1	1	1	1
XM_027350773.1	1	1	1	1
XM_027350775.1	1	1	1	1
XM_027350784.1	1	1	1	1
XM_027350785.1	1	1	1	1
XM_027350786.1	1	1	1	1
XM_027350787.1	1	1	1	1
XM_027350788.1	1	1	1	1
XM_027350817.1	1	1	1	1
XM_027350818.1	1	1	1	1
XM_027350819.1	1	1	1	1
XM_027350824.1	1	1	1	1
XM_027350825.1	1	1	1	1
XM_027350836.1	1	1	1	1
XM_027350857.1	1	1	1	1
XM_027350868.1	1	1	1	1
XM_027350869.1	1	1	1	1
XM_027350917.1	1	1	1	1
XM_027350920.1	1	1	1	1
XM_027350924.1	1	1	1	1
XM_027350951.1	1	1	1	1
XM_027350998.1	1	1	1	1
XM_027351003.1	1	1	1	1
XM_027351009.1	1	1	1	1
XM_027351022.1	1	1	1	1
XM_027351023.1	1	1	1	1
XM_027351024.1	1	1	1	1
XM_027351025.1	1	1	1	1
XM_027351037.1	1	1	1	1
XM_027351045.1	1	1	1	1
XM_027351058.1	1	1	1	1
XM_027351137.1	1	1	1	1
XM_027351138.1	1	1	1	1
XM_027351149.1	1	1	1	1
XM_027351150.1	1	1	1	1
XM_027351151.1	1	1	1	1
XM_027351152.1	1	1	1	1
XM_027351167.1	1	1	1	1
XM_027351169.1	1	1	1	1
XM_027351256.1	1	1	1	1
XM_027351347.1	1	1	1	1
XM_027351365.1	1	1	1	1
XM_027351384.1	1	1	1	1
XM_027351444.1	1	1	1	1
XM_027351445.1	1	1	1	1
XM_027351446.1	1	1	1	1
XM_027351447.1	1	1	1	1
XM_027351449.1	1	1	1	1
XM_027351486.1	1	1	1	1
XM_027351522.1	1	1	1	1
XM_027351545.1	1	1	1	1
XM_027351617.1	1	1	1	1
