ID	muscle_mean	muscle_wssv_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	muscle_1	muscle_2	muscle_3	muscle_wssv_1	muscle_wssv_2	muscle_wssv_3	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_wssv_1_normalized	muscle_wssv_2_normalized	muscle_wssv_3_normalized	Expression
XM_027350619.1	4368.53469503049	1526.55160572387	2.13589818421799	1	1.51687308715522	0	-1.51687308715522	2335	3501	2740	2010	2668	2011	3774.66797850935	4564.16644308647	4766.76966349566	1297.81230879614	2215.25769383622	1066.58481453924	Up_muscle_Down_muscle_wssv
XM_027350660.1	4308.38731215688	766.340361249823	2.92566525947015	1	2.49109075403167	0	-2.49109075403167	2484	3777	2291	1015	1512	732	4015.53544266263	4923.98076422097	3985.64572958706	655.36293205377	1255.42340070479	388.234750990914	Up_muscle_Down_muscle_wssv
XM_027350703.1	16758.7115715152	6693.41514494124	3.22174170174127	1	1.32409683498825	0	-1.32409683498825	9906	12654	10212	8792	11229	9578	16013.6449657874	16496.7044189706	17765.7853297875	5676.79891489335	9323.51148578971	5079.93503414067	NonDE
XM_027350736.1	2285.95213924376	492.369169683982	2.05266398707226	1	2.21498286470855	0	-2.21498286470855	1413	1987	1140	715	963	407	2284.19950905084	2590.40237715305	1983.25453152739	461.659602382705	799.585142115548	215.862764553691	Up_muscle_Down_muscle_wssv
XM_027350755.1	4996.31776884538	1938.16478404029	3.35689764075796	1	1.36617400129938	0	-1.36617400129938	3179	3799	2815	2905	2266	3879	5139.04475532387	4952.6616159056	4897.24693530667	1875.69390898148	1881.47448809328	2057.32595504611	NonDE
XM_027350797.1	3467.99639878112	1255.72660106782	2.15879588958267	1	1.46558000804521	0	-1.46558000804521	2096	2850	1897	1810	2013	1748	3388.31009976685	3715.47396823663	3300.20512833988	1168.67675568209	1671.40694816054	927.096099360816	NonDE
XM_027350813.1	10780.8969550616	5662.5871585718	1.96159564714543	1	0.928943956816169	0	-0.928943956816169	6031	9321	6002	9404	8492	7287	9749.47433764021	12151.5553887486	10441.661138796	6071.95370742232	7050.96264469911	3864.84512359397	NonDE
XM_027350817.1	82653.4158213944	19048.6230186547	6.38817802410636	1	2.11738773070536	0	-2.11738773070536	44855	66446	51058	24659	27650	34440	72510.8060711079	86623.994138053	88825.4472550224	15921.768021196	22957.9742258514	18266.1268089168	Up_muscle_Down_muscle_wssv
XM_027350821.1	23906.1252435434	13920.7346732228	2.05426658426064	1	0.780144961771769	0	-0.780144961771769	16000	18026	12849	21057	21648	19216	25864.9625936401	23500.0469303275	22353.3662066627	13596.0367096121	17974.4747212019	10191.6925888544	NonDE
XM_027350869.1	20.3605839752396	210.922769527404	-1.73641571079708	1	-3.37286399930217	0	3.37286399930217	16	11	12	336	191	485	25.8649625936401	14.3404258423168	20.876363489762	216.947729231593	158.588538051994	257.232041298624	Down_muscle_Up_muscle_wssv
XM_027351037.1	89947.6783455706	27300.0227755674	5.22022434156891	1	1.72018388957495	0	-1.72018388957495	48424	70216	57495	42028	38000	43765	78280.3092896518	91538.849176738	100023.876570322	27136.5451313851	31551.6463140092	23211.8768813078	Up_muscle_Down_muscle_wssv
XM_027351045.1	1584174.6837109	541762.652228039	3.24734837276885	1	1.54799858096148	0	-1.54799858096148	752344	1315421	1046983	1111652	558009	837521	1216209.33859685	1714881.57290238	1821433.13963346	717768.979451663	463318.489685104	444200.487547351	Up_muscle_Down_muscle_wssv
XM_027351050.1	9505.56593714289	4385.06856253462	2.52344910193656	1	1.1161731237754	0	-1.1161731237754	6071	7575	5074	7381	3625	10143	9814.13674412431	9875.33870504999	8827.22236225437	4765.74758767377	3009.86099706009	5379.59710287	NonDE
XM_027351138.1	6.83272399044736	97.7575195918083	-1.7292194903975	1	-3.8386749249376	0	3.8386749249376	3	8	3	148	134	163	4.84968048630752	10.429400612594	5.2190908724405	95.5603093043921	111.26106858098	86.4511808900532	Down_muscle_Up_muscle_wssv
