ID	muscle_mean	muscle_wssv_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	muscle_1	muscle_2	muscle_3	muscle_wssv_1	muscle_wssv_2	muscle_wssv_3	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_wssv_1_normalized	muscle_wssv_2_normalized	muscle_wssv_3_normalized	Expression
XM_027350619.1	4368.53469503049	1526.55160572387	2.13589818421799	1	1.51687308715522	0	-1.51687308715522	2335	3501	2740	2010	2668	2011	3774.66797850935	4564.16644308647	4766.76966349566	1297.81230879614	2215.25769383622	1066.58481453924	Up_muscle_Down_muscle_wssv
XM_027350660.1	4308.38731215688	766.340361249823	2.92566525947015	1	2.49109075403167	0	-2.49109075403167	2484	3777	2291	1015	1512	732	4015.53544266263	4923.98076422097	3985.64572958706	655.36293205377	1255.42340070479	388.234750990914	Up_muscle_Down_muscle_wssv
XM_027350736.1	2285.95213924376	492.369169683982	2.05266398707226	1	2.21498286470855	0	-2.21498286470855	1413	1987	1140	715	963	407	2284.19950905084	2590.40237715305	1983.25453152739	461.659602382705	799.585142115548	215.862764553691	Up_muscle_Down_muscle_wssv
XM_027350817.1	82653.4158213944	19048.6230186547	6.38817802410636	1	2.11738773070536	0	-2.11738773070536	44855	66446	51058	24659	27650	34440	72510.8060711079	86623.994138053	88825.4472550224	15921.768021196	22957.9742258514	18266.1268089168	Up_muscle_Down_muscle_wssv
XM_027350869.1	20.3605839752396	210.922769527404	-1.73641571079708	1	-3.37286399930217	0	3.37286399930217	16	11	12	336	191	485	25.8649625936401	14.3404258423168	20.876363489762	216.947729231593	158.588538051994	257.232041298624	Down_muscle_Up_muscle_wssv
XM_027351037.1	89947.6783455706	27300.0227755674	5.22022434156891	1	1.72018388957495	0	-1.72018388957495	48424	70216	57495	42028	38000	43765	78280.3092896518	91538.849176738	100023.876570322	27136.5451313851	31551.6463140092	23211.8768813078	Up_muscle_Down_muscle_wssv
XM_027351045.1	1584174.6837109	541762.652228039	3.24734837276885	1	1.54799858096148	0	-1.54799858096148	752344	1315421	1046983	1111652	558009	837521	1216209.33859685	1714881.57290238	1821433.13963346	717768.979451663	463318.489685104	444200.487547351	Up_muscle_Down_muscle_wssv
XM_027351138.1	6.83272399044736	97.7575195918083	-1.7292194903975	1	-3.8386749249376	0	3.8386749249376	3	8	3	148	134	163	4.84968048630752	10.429400612594	5.2190908724405	95.5603093043921	111.26106858098	86.4511808900532	Down_muscle_Up_muscle_wssv
XM_027351545.1	1.42849290431328	87.4709370861772	-2.12863477929429	1	-5.93623797449848	0	5.93623797449848	0	2	0	89	98	233	0.808280081051253	2.60735015314851	0.869848478740084	57.4653211357493	81.3700352308658	123.577454891916	Down_muscle_Up_muscle_wssv
XM_027352136.1	941.124355042605	5321.98437349662	-2.17197085461458	1	-2.49950700377886	0	2.49950700377886	872	584	375	12036	5847	6297	1409.64046135339	761.346244719366	652.386359055063	7771.37758640313	4854.80199994768	3339.77353413905	Down_muscle_Up_muscle_wssv
XM_027352479.1	22.535274312205	2172.07347664024	-3.39520732590568	1	-6.59074408559015	0	6.59074408559015	23	18	4	4416	2939	2309	37.1808837283576	23.4661513783366	6.95878782992067	2851.31301275808	2440.27075044403	1224.63666671861	Down_muscle_Up_muscle_wssv
XM_027352483.1	6.00465287119041	2523.62121439195	-4.63224611888786	1	-8.71519882220393	0	8.71519882220393	2	6	4	4131	4167	2722	3.23312032420501	7.82205045944554	6.95878782992067	2667.29484957057	3459.88711027569	1443.6816833296	Down_muscle_Up_muscle_wssv
XM_027352783.1	2.29760962202945	560.165290150827	-2.50649725178243	1	-7.9295750853336	0	7.9295750853336	0	4	0	550	373	1915	0.808280081051253	5.21470030629702	0.869848478740084	355.122771063619	309.704317766459	1015.6687816224	Down_muscle_Up_muscle_wssv
XM_027352835.1	5535.86268101846	327.789332488848	2.13934607800949	1	4.07796734733868	0	-4.07796734733868	6539	3427	902	262	483	779	10570.6868999883	4467.69448741998	1569.20665564711	169.167574579397	401.038030780696	413.16239210645	Up_muscle_Down_muscle_wssv
