ID	log2FC_SigInv
XM_027350619.1	-1.51687308715522
XM_027350660.1	-2.49109075403167
XM_027350703.1	-1.32409683498825
XM_027350736.1	-2.21498286470855
XM_027350755.1	-1.36617400129938
XM_027350797.1	-1.46558000804521
XM_027350813.1	-0.928943956816169
XM_027350817.1	-2.11738773070536
XM_027350821.1	-0.780144961771769
XM_027350869.1	3.37286399930217
XM_027351037.1	-1.72018388957495
XM_027351045.1	-1.54799858096148
XM_027351050.1	-1.1161731237754
XM_027351138.1	3.8386749249376
XM_027351153.1	-1.15448097558926
XM_027351361.1	-1.23661115863481
XM_027351545.1	5.93623797449848
XM_027352136.1	2.49950700377886
XM_027352479.1	6.59074408559015
XM_027352483.1	8.71519882220393
XM_027352492.1	-1.27767467523972
XM_027352549.1	-1.35759104092982
XM_027352596.1	-1.05151206459035
XM_027352783.1	7.9295750853336
XM_027352835.1	-4.07796734733868
XM_027352853.1	-1.04477790223955
XM_027352883.1	-2.53336426554617
XM_027352899.1	-1.80846518675876
XM_027353037.1	-1.29201703007739
XM_027353310.1	-2.07847127532297
XM_027353405.1	-1.52958348290604
XM_027353445.1	-1.92872131135761
XM_027353474.1	-2.53394900757521
XM_027353507.1	-0.920579254910104
XM_027353803.1	-1.45995368915624
XM_027353960.1	7.43635028012246
XM_027353962.1	7.58977752666411
XM_027353966.1	7.42136213239545
XM_027354032.1	-1.50380897382965
XM_027354134.1	-1.11141589700726
XM_027354136.1	-1.07243486799712
XM_027354211.1	-1.68285225284452
XM_027354223.1	-2.13747201063399
XM_027354226.1	-1.61857228798222
XM_027354276.1	8.65877805863328
XM_027354357.1	-1.53728375812616
XM_027354360.1	-1.2768219618004
XM_027354368.1	-1.30440337820829
XM_027354376.1	-1.27895604585906
XM_027354398.1	-6.59604320351335
XM_027354567.1	-1.44834116697088
XM_027354956.1	-1.76466927437383
XM_027355073.1	-5.61888584126592
XM_027355173.1	5.85770851400913
XM_027355188.1	-2.77633715548153
XM_027355297.1	-0.991644407404022
XM_027355456.1	-0.476425459442747
XM_027355469.1	-3.89930327327639
XM_027355855.1	5.17937800225699
XM_027356021.1	-1.49201332865662
XM_027356031.1	-0.990643767156378
XM_027356176.1	-1.31030671178435
XM_027356267.1	6.40348499780446
XM_027356275.1	6.05397256868169
XM_027356293.1	4.31253027895426
XM_027356385.1	8.68526498392569
XM_027356392.1	8.02312588493834
XM_027356430.1	-1.22985175986671
XM_027356497.1	-2.1973848775746
XM_027356582.1	-1.94242547987492
XM_027356583.1	-2.05166036936466
XM_027356584.1	-2.04806442815217
XM_027356585.1	-2.06027320240831
XM_027356611.1	-1.49784153154029
XM_027356719.1	-2.21370668029267
XM_027356797.1	-1.28912000237803
XM_027356798.1	-1.28558723487917
XM_027356800.1	-1.92352747784823
XM_027356801.1	-1.3016501304744
XM_027356810.1	-1.82225900690542
XM_027356811.1	-2.02454985096876
XM_027356950.1	6.89693287613706
XM_027356979.1	-2.4336944169687
XM_027357166.1	6.84864461181284
XM_027357342.1	6.54154225206953
XM_027357394.1	-1.06498277769217
XM_027357432.1	9.44701186082867
XM_027357555.1	-0.697440933366608
XM_027357682.1	-0.925555130078008
XM_027357817.1	12.3472351805463
XM_027357841.1	-1.30024364090518
XM_027357842.1	-1.33403460058523
XM_027357932.1	-2.15871397281618
XM_027357991.1	-1.01817881392341
XM_027358254.1	2.74572959865356
XM_027358346.1	-1.58083129254736
XM_027358373.1	7.60528267088228
XM_027358510.1	-1.83721875139589
XM_027358642.1	-1.40936291323946
XM_027358708.1	5.7490075715546
XM_027358886.1	-2.3128759882805
XM_027359019.1	5.61147890132609
XM_027359020.1	7.03845202878788
XM_027359086.1	13.0523846639543
XM_027359129.1	3.09199111458117
XM_027359130.1	-5.62715290021987
XM_027359131.1	-5.11263882252122
XM_027359132.1	-5.26652598242555
XM_027359133.1	-5.77781436693012
XM_027359134.1	-5.09769037001884
XM_027359243.1	-1.2862676689742
XM_027359278.1	-3.622063006083
XM_027359338.1	10.6871084128422
XM_027359501.1	4.83879069878653
XM_027359526.1	-1.76275825206919
XM_027359545.1	-1.20066098807139
XM_027359703.1	-1.28492511402529
XM_027359769.1	-1.2309752701405
XM_027359770.1	-0.999076293742544
XM_027359927.1	-2.24038105631022
XM_027360017.1	-1.69022480435437
XM_027360018.1	-1.7511104474772
XM_027360019.1	-1.71772777077826
XM_027360020.1	-1.69756427634275
XM_027360096.1	-0.736986370626977
XM_027360208.1	5.16456981514042
XM_027360250.1	8.28898881111958
XM_027360421.1	-0.813824338434212
XM_027360602.1	-1.31162673922174
XM_027360632.1	-0.914364743886957
XM_027360965.1	-1.00559796812788
XM_027361007.1	5.60396673911949
XM_027361051.1	4.73242338943634
XM_027361127.1	-1.57590314130402
XM_027361146.1	-1.12366127940361
XM_027361191.1	-2.68149310399366
XM_027361199.1	8.08846305970991
XM_027361437.1	2.85146826551503
XM_027361441.1	-1.08075152788971
XM_027361442.1	2.59566780955698
XM_027361443.1	2.62295505959125
XM_027361478.1	3.11819364879502
XM_027361742.1	-2.48220184625178
XM_027361797.1	-1.33414761645347
XM_027361850.1	-1.1350515314723
XM_027361907.1	6.41847560017539
XM_027361942.1	-0.96827002739193
XM_027362035.1	-4.17673075908696
XM_027362049.1	-2.17194510792454
XM_027362104.1	-0.948100528687989
XM_027362211.1	4.73820722884
XM_027362226.1	-1.76743058890431
XM_027362345.1	-1.2834393079771
XM_027362440.1	8.24454409298797
XM_027362651.1	-1.26526227877215
XM_027362833.1	-1.25042678253793
XM_027362845.1	-1.83460088635441
XM_027362977.1	5.96909132024247
XM_027363011.1	-1.76771087115815
XM_027363087.1	1.62935914576436
XM_027363243.1	3.39454803626241
XM_027363358.1	5.36114497819277
XM_027363479.1	-1.4094255210666
XM_027363570.1	-2.14642869130614
XM_027363736.1	-3.80762341494663
XM_027363799.1	5.57792377880757
XM_027363912.1	-1.74645242264335
XM_027364239.1	7.43153724454292
XM_027364286.1	7.3291677749071
XM_027364342.1	3.04980116450524
XM_027364390.1	7.12458335262274
XM_027364515.1	-1.16520255694994
XM_027364565.1	3.70217532952505
XM_027364574.1	-4.27660057393562
XM_027364575.1	-4.23126484236911
XM_027364618.1	-2.51626087797175
XM_027364646.1	4.21410529797657
XM_027364651.1	5.42629712147843
XM_027364664.1	-5.15162873171562
XM_027364702.1	8.22483327870083
XM_027364708.1	7.25260394726093
XM_027364989.1	-2.67305199239562
XM_027365655.1	-0.967559117785012
XM_027365689.1	-1.05892872593792
XM_027365712.1	-1.08099986971649
XM_027365741.1	-1.74866217291663
XM_027365744.1	-1.12639629542057
XM_027365747.1	-1.79460365891508
XM_027365763.1	-0.868940484170903
XM_027365792.1	-1.1321889291572
XM_027365800.1	-1.16637445707351
XM_027365839.1	-0.99479711792616
XM_027365845.1	-1.05829611879032
XM_027365875.1	-1.75001461097591
XM_027365880.1	-2.23614843039255
XM_027365884.1	-0.860678730775766
XM_027365885.1	-0.885592647219201
XM_027365890.1	-1.83686549253962
XM_027365954.1	3.35505379092831
XM_027366290.1	5.72504171085613
XM_027366299.1	-2.13349844578892
XM_027366315.1	6.26475138183938
XM_027366349.1	7.15302523776449
XM_027366571.1	7.80244165582203
XM_027366836.1	6.75015978022255
XM_027366966.1	-0.823085603225333
XM_027367211.1	2.54890574701207
XM_027367214.1	6.39110610396089
XM_027367216.1	4.6910746886731
XM_027367217.1	5.13162863619564
XM_027367232.1	6.2892853796024
XM_027367236.1	-1.05844149628412
XM_027367238.1	-0.805358560654614
XM_027367245.1	3.67634961424116
XM_027367294.1	6.60049360004957
XM_027367318.1	3.13765606153495
XM_027367592.1	5.66536599580961
XM_027367619.1	3.24025806628618
XM_027367748.1	5.94539633953993
XM_027367818.1	-6.52861858921051
XM_027367830.1	-6.97422627814819
XM_027367904.1	-1.4318682861914
XM_027367938.1	1.58922643211635
XM_027367939.1	-1.46467972187083
XM_027367983.1	3.56412500028288
XM_027368034.1	5.35986825966635
XM_027368186.1	5.23735251130639
XM_027368262.1	7.75814691954549
XM_027368462.1	-1.35450361545715
XM_027368470.1	-1.33697792170777
XM_027368477.1	-1.30908705339102
XM_027368485.1	-1.31546378655617
XM_027368508.1	2.88126047327915
XM_027368562.1	6.61665431646443
XM_027368608.1	3.57167476605998
XM_027368618.1	2.16155033817014
XM_027368830.1	-1.47900712692709
XM_027368883.1	8.70196001711583
XM_027368941.1	5.1672495810871
XM_027368956.1	6.20189577952047
XM_027369201.1	3.64836361946226
XM_027369235.1	-2.99046914732441
XM_027369344.1	3.76567345497386
XM_027369498.1	-1.91135113268362
XM_027369692.1	4.29474711379128
XM_027369700.1	-2.17552893683552
XM_027369777.1	6.40072797522764
XM_027369895.1	-1.20365684716583
XM_027370034.1	-0.967975883825761
XM_027370061.1	-1.71845901547223
XM_027370320.1	6.48701070923706
XM_027370391.1	6.5950216878875
XM_027370481.1	-1.44008840732448
XM_027370482.1	-1.68604857126525
XM_027370663.1	7.81527065316862
XM_027370759.1	-1.94224974475659
XM_027370795.1	4.30665063432724
XM_027370944.1	6.2986997350091
XM_027370972.1	-0.767502804994056
XM_027370990.1	-3.40703340605134
XM_027371190.1	-1.29644156166266
XM_027371429.1	-2.05059882318777
XM_027371430.1	-2.14180234471639
XM_027371487.1	2.23445695399814
XM_027371492.1	-1.87307992074045
XM_027371551.1	1.72577868564435
XM_027371552.1	1.78984698337375
XM_027371553.1	1.71464777483999
XM_027371554.1	1.77130457393301
XM_027371555.1	1.71227235264835
XM_027371564.1	5.34846594813843
XM_027371797.1	-0.870386523177834
XM_027371798.1	-0.837907887986577
XM_027371919.1	-2.19775327924879
XM_027371932.1	-2.2855599188987
XM_027371996.1	-1.87402236699242
XM_027372083.1	-0.842472682916635
XM_027372091.1	5.36609489734698
XM_027372154.1	6.39418484230535
XM_027372168.1	-2.71390253253318
XM_027372314.1	-1.57565605237064
XM_027372318.1	5.66398420221585
XM_027372426.1	5.04891616215052
XM_027372535.1	2.41676677406643
XM_027372558.1	6.40787117179818
XM_027372660.1	-1.94127911461509
XM_027372901.1	4.20642031209936
XM_027372990.1	-1.77539123775839
XM_027373020.1	4.35996448826173
XM_027373021.1	4.26882304132823
XM_027373022.1	5.05094428691919
XM_027373029.1	4.10093316976161
XM_027373049.1	4.14518680445654
XM_027373082.1	4.32005328897476
XM_027373205.1	3.27426862444947
XM_027373312.1	-1.25507264367482
XM_027373315.1	-1.26143666453601
XM_027373318.1	-1.33579819772295
XM_027373320.1	-1.16846071803847
XM_027373324.1	-1.31951949969907
XM_027373327.1	-1.35071949261691
XM_027373328.1	-1.4424852434121
XM_027373330.1	-1.07584058659346
XM_027373331.1	-1.07963416751479
XM_027373332.1	-1.16948090320233
XM_027373333.1	-1.05391693008015
XM_027373334.1	-1.150760061697
XM_027373335.1	-1.20730074894701
XM_027373336.1	-0.975807592484766
XM_027373338.1	-0.992559381619436
XM_027373339.1	-1.08473705983419
XM_027373340.1	-1.09681410956838
