ID	lminusProb
XM_027350619.1	0
XM_027350660.1	0
XM_027350703.1	0
XM_027350736.1	0
XM_027350755.1	0
XM_027350797.1	0
XM_027350813.1	0
XM_027350817.1	0
XM_027350821.1	0
XM_027350869.1	0
XM_027351037.1	0
XM_027351045.1	0
XM_027351050.1	0
XM_027351138.1	0
XM_027351153.1	0
XM_027351361.1	0
XM_027351545.1	0
XM_027352136.1	0
XM_027352479.1	0
XM_027352483.1	0
XM_027352492.1	0
XM_027352549.1	0
XM_027352596.1	0
XM_027352783.1	0
XM_027352835.1	0
XM_027352853.1	0
XM_027352883.1	0
XM_027352899.1	0
XM_027353037.1	0
XM_027353310.1	0
XM_027353405.1	0
XM_027353445.1	0
XM_027353474.1	0
XM_027353507.1	0
XM_027353803.1	0
XM_027353960.1	0
XM_027353962.1	0
XM_027353966.1	0
XM_027354032.1	0
XM_027354134.1	0
XM_027354136.1	0
XM_027354211.1	0
XM_027354223.1	0
XM_027354226.1	0
XM_027354276.1	0
XM_027354357.1	0
XM_027354360.1	0
XM_027354368.1	0
XM_027354376.1	0
XM_027354398.1	0
XM_027354567.1	0
XM_027354956.1	0
XM_027355073.1	0
XM_027355173.1	0
XM_027355188.1	0
XM_027355297.1	0
XM_027355456.1	0
XM_027355469.1	0
XM_027355855.1	0
XM_027356021.1	0
XM_027356031.1	0
XM_027356176.1	0
XM_027356267.1	0
XM_027356275.1	0
XM_027356293.1	0
XM_027356385.1	0
XM_027356392.1	0
XM_027356430.1	0
XM_027356497.1	0
XM_027356582.1	0
XM_027356583.1	0
XM_027356584.1	0
XM_027356585.1	0
XM_027356611.1	0
XM_027356719.1	0
XM_027356797.1	0
XM_027356798.1	0
XM_027356800.1	0
XM_027356801.1	0
XM_027356810.1	0
XM_027356811.1	0
XM_027356950.1	0
XM_027356979.1	0
XM_027357166.1	0
XM_027357342.1	0
XM_027357394.1	0
XM_027357432.1	0
XM_027357555.1	0
XM_027357682.1	0
XM_027357817.1	0
XM_027357841.1	0
XM_027357842.1	0
XM_027357932.1	0
XM_027357991.1	0
XM_027358254.1	0
XM_027358346.1	0
XM_027358373.1	0
XM_027358510.1	0
XM_027358642.1	0
XM_027358708.1	0
XM_027358886.1	0
XM_027359019.1	0
XM_027359020.1	0
XM_027359086.1	0
XM_027359129.1	0
XM_027359130.1	0
XM_027359131.1	0
XM_027359132.1	0
XM_027359133.1	0
XM_027359134.1	0
XM_027359243.1	0
XM_027359278.1	0
XM_027359338.1	0
XM_027359501.1	0
XM_027359526.1	0
XM_027359545.1	0
XM_027359703.1	0
XM_027359769.1	0
XM_027359770.1	0
XM_027359927.1	0
XM_027360017.1	0
XM_027360018.1	0
XM_027360019.1	0
XM_027360020.1	0
XM_027360096.1	0
XM_027360208.1	0
XM_027360250.1	0
XM_027360421.1	0
XM_027360602.1	0
XM_027360632.1	0
XM_027360965.1	0
XM_027361007.1	0
XM_027361051.1	0
XM_027361127.1	0
XM_027361146.1	0
XM_027361191.1	0
XM_027361199.1	0
XM_027361437.1	0
XM_027361441.1	0
XM_027361442.1	0
XM_027361443.1	0
XM_027361478.1	0
XM_027361742.1	0
XM_027361797.1	0
XM_027361850.1	0
XM_027361907.1	0
XM_027361942.1	0
XM_027362035.1	0
XM_027362049.1	0
XM_027362104.1	0
XM_027362211.1	0
XM_027362226.1	0
XM_027362345.1	0
XM_027362440.1	0
XM_027362651.1	0
XM_027362833.1	0
XM_027362845.1	0
XM_027362977.1	0
XM_027363011.1	0
XM_027363087.1	0
XM_027363243.1	0
XM_027363358.1	0
XM_027363479.1	0
XM_027363570.1	0
XM_027363736.1	0
XM_027363799.1	0
XM_027363912.1	0
XM_027364239.1	0
XM_027364286.1	0
XM_027364342.1	0
XM_027364390.1	0
XM_027364515.1	0
XM_027364565.1	0
XM_027364574.1	0
XM_027364575.1	0
XM_027364618.1	0
XM_027364646.1	0
XM_027364651.1	0
XM_027364664.1	0
XM_027364702.1	0
XM_027364708.1	0
XM_027364989.1	0
XM_027365655.1	0
XM_027365689.1	0
XM_027365712.1	0
XM_027365741.1	0
XM_027365744.1	0
XM_027365747.1	0
XM_027365763.1	0
XM_027365792.1	0
XM_027365800.1	0
XM_027365839.1	0
XM_027365845.1	0
XM_027365875.1	0
XM_027365880.1	0
XM_027365884.1	0
XM_027365885.1	0
XM_027365890.1	0
XM_027365954.1	0
XM_027366290.1	0
XM_027366299.1	0
XM_027366315.1	0
XM_027366349.1	0
XM_027366571.1	0
XM_027366836.1	0
XM_027366966.1	0
XM_027367211.1	0
XM_027367214.1	0
XM_027367216.1	0
XM_027367217.1	0
XM_027367232.1	0
XM_027367236.1	0
XM_027367238.1	0
XM_027367245.1	0
XM_027367294.1	0
XM_027367318.1	0
XM_027367592.1	0
XM_027367619.1	0
XM_027367748.1	0
XM_027367818.1	0
XM_027367830.1	0
XM_027367904.1	0
XM_027367938.1	0
XM_027367939.1	0
XM_027367983.1	0
XM_027368034.1	0
XM_027368186.1	0
XM_027368262.1	0
XM_027368462.1	0
XM_027368470.1	0
XM_027368477.1	0
XM_027368485.1	0
XM_027368508.1	0
XM_027368562.1	0
XM_027368608.1	0
XM_027368618.1	0
XM_027368830.1	0
XM_027368883.1	0
XM_027368941.1	0
XM_027368956.1	0
XM_027369201.1	0
XM_027369235.1	0
XM_027369344.1	0
XM_027369498.1	0
XM_027369692.1	0
XM_027369700.1	0
XM_027369777.1	0
XM_027369895.1	0
XM_027370034.1	0
XM_027370061.1	0
XM_027370320.1	0
XM_027370391.1	0
XM_027370481.1	0
XM_027370482.1	0
XM_027370663.1	0
XM_027370759.1	0
XM_027370795.1	0
XM_027370944.1	0
XM_027370972.1	0
XM_027370990.1	0
XM_027371190.1	0
XM_027371429.1	0
XM_027371430.1	0
XM_027371487.1	0
XM_027371492.1	0
XM_027371551.1	0
XM_027371552.1	0
XM_027371553.1	0
XM_027371554.1	0
XM_027371555.1	0
XM_027371564.1	0
XM_027371797.1	0
XM_027371798.1	0
XM_027371919.1	0
XM_027371932.1	0
XM_027371996.1	0
XM_027372083.1	0
XM_027372091.1	0
XM_027372154.1	0
XM_027372168.1	0
XM_027372314.1	0
XM_027372318.1	0
XM_027372426.1	0
XM_027372535.1	0
XM_027372558.1	0
XM_027372660.1	0
XM_027372901.1	0
XM_027372990.1	0
XM_027373020.1	0
XM_027373021.1	0
XM_027373022.1	0
XM_027373029.1	0
XM_027373049.1	0
XM_027373082.1	0
XM_027373205.1	0
XM_027373312.1	0
XM_027373315.1	0
XM_027373318.1	0
XM_027373320.1	0
XM_027373324.1	0
XM_027373327.1	0
XM_027373328.1	0
XM_027373330.1	0
XM_027373331.1	0
XM_027373332.1	0
XM_027373333.1	0
XM_027373334.1	0
XM_027373335.1	0
XM_027373336.1	0
XM_027373338.1	0
XM_027373339.1	0
XM_027373340.1	0
XM_027373343.1	0
XM_027373344.1	0
XM_027373349.1	0
XM_027373428.1	0
XM_027373519.1	0
XM_027373555.1	0
XM_027373581.1	0
XM_027373696.1	0
XM_027373707.1	0
XM_027373708.1	0
XM_027373709.1	0
XM_027373769.1	0
XM_027373879.1	0
XM_027373886.1	0
XM_027373887.1	0
XM_027373889.1	0
XM_027373902.1	0
XM_027374011.1	0
XM_027374209.1	0
XM_027374295.1	0
XM_027374690.1	0
XM_027375035.1	0
XM_027375138.1	0
XM_027375202.1	0
XM_027375204.1	0
XM_027375215.1	0
XM_027375216.1	0
XM_027375217.1	0
XM_027375219.1	0
XM_027375277.1	0
XM_027375296.1	0
XM_027375311.1	0
XM_027375346.1	0
XM_027375347.1	0
XM_027375674.1	0
XM_027375747.1	0
XM_027375763.1	0
XM_027375888.1	0
XM_027375889.1	0
XM_027375928.1	0
XM_027376110.1	0
XM_027376112.1	0
XM_027376311.1	0
XM_027376330.1	0
XM_027376347.1	0
XM_027376348.1	0
XM_027376349.1	0
XM_027376470.1	0
XM_027376489.1	0
XM_027376573.1	0
XM_027376592.1	0
XM_027376606.1	0
XM_027376619.1	0
XM_027376628.1	0
XM_027376911.1	0
XM_027376977.1	0
XM_027376995.1	0
XM_027377198.1	0
XM_027377426.1	0
XM_027377477.1	0
XM_027377490.1	0
XM_027377492.1	0
XM_027377493.1	0
XM_027378026.1	0
XM_027378245.1	0
XM_027378454.1	0
XM_027378553.1	0
XM_027378572.1	0
XM_027378659.1	0
XM_027378660.1	0
XM_027378706.1	0
XM_027379062.1	0
XM_027379285.1	0
XM_027379294.1	0
XM_027379385.1	0
XM_027379437.1	0
XM_027379507.1	0
XM_027379534.1	0
XM_027379675.1	0
XM_027379965.1	0
XM_027380214.1	0
XM_027380238.1	0
XM_027380246.1	0
XM_027380313.1	0
XM_027380481.1	0
XM_027380490.1	0
XM_027380776.1	0
XM_027380982.1	0
XM_027381034.1	0
XM_027381278.1	0
XM_027381338.1	0
XM_027381346.1	0
XM_027381353.1	0
XM_027381381.1	0
XM_027381422.1	0
XM_027381547.1	0
XM_027381853.1	0
