ID	logFC	logCPM	PValue	FDR	muscle_1	muscle_2	muscle_3	muscle_wssv_1	muscle_wssv_2	muscle_wssv_3	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_wssv_1_normalized	muscle_wssv_2_normalized	muscle_wssv_3_normalized	Expression
XR_003476770.1	11.1604801264684	3.97691921170736	2.92338534151808e-41	2.88245794673683e-37	0	1	0	2280	2041	2138	0	0.0284356434569624	0	32.4554321764382	35.8762076952174	25.5705160464598	Down_muscle_Up_muscle_wssv
XM_027368908.1	7.19307725252741	4.83740521843225	9.28717844331482e-39	4.5785789725542e-35	14	12	8	3660	3694	4415	0.498949539192381	0.341227721483549	0.314155753350845	52.0995095463877	64.9322445987914	52.8034744364452	Down_muscle_Up_muscle_wssv
XR_003477213.1	8.48170571243977	5.18110719280528	5.57877084197482e-38	1.83355601672906e-34	3	10	5	4428	5314	5026	0.106917758398367	0.284356434569624	0.196347345844278	63.0318656479248	93.4082154298801	60.1110447378423	Down_muscle_Up_muscle_wssv
XM_027352483.1	8.64851500906289	4.78606484395867	1.04519733711318e-32	2.57641143598398e-29	2	6	4	4131	4167	2722	0.0712785055989115	0.170613860741775	0.157077876675423	58.8041185617835	73.2465249710784	32.5551658926396	Down_muscle_Up_muscle_wssv
XM_027368883.1	11.4614761396701	1.85603625885448	1.79324596046575e-32	3.53628103403845e-29	0	0	0	568	442	446	0	0	0	8.08538836676181	7.76936981934645	5.33416751951406	Down_muscle_Up_muscle_wssv
XR_003477627.1	10.6587748048904	1.07813818053259	1.0724614634535e-31	1.76241167160859e-28	0	0	0	269	216	377	0	0	0	3.82917160327276	3.79679611081184	4.50892635618117	Down_muscle_Up_muscle_wssv
XM_027356275.1	6.04548587667953	5.20475995435126	5.7937135116668e-29	8.16085931786209e-26	35	28	32	4380	3510	7807	1.24737384798095	0.796198016794948	1.25662301340338	62.3485933915787	61.6979368006924	93.3718516252158	Down_muscle_Up_muscle_wssv
XM_027368941.1	5.14707889750534	5.62647360031897	3.31592377104583e-27	4.08687604781398e-24	78	91	70	7730	5854	6256	2.77986171835755	2.58764355458358	2.74886284181989	110.035302949065	102.90020570691	74.8218654755156	Down_muscle_Up_muscle_wssv
XM_027356950.1	7.00978702413757	1.63250609460992	2.90732799598188e-26	2.86662540403813e-23	0	4	0	390	382	476	0	0.11374257382785	0	5.5515870828118	6.71470423300983	5.69296802531097	Down_muscle_Up_muscle_wssv
XM_027372989.1	10.5632139453115	0.986377903285873	2.68269364552416e-26	2.86662540403813e-23	0	0	0	185	251	361	0	0	0	2.63344515466714	4.41201770284153	4.31756608642281	Down_muscle_Up_muscle_wssv
