ID	FDR
XR_003476770.1	2.88245794673683e-37
XM_027368908.1	4.5785789725542e-35
XR_003477213.1	1.83355601672906e-34
XM_027352483.1	2.57641143598398e-29
XM_027368883.1	3.53628103403845e-29
XR_003477627.1	1.76241167160859e-28
XM_027356275.1	8.16085931786209e-26
XM_027368941.1	4.08687604781398e-24
XM_027356950.1	2.86662540403813e-23
XM_027372989.1	2.86662540403813e-23
XM_027366836.1	4.40779235328153e-22
XM_027375277.1	8.23521131401266e-22
XR_003477518.1	8.23521131401266e-22
XR_003475914.1	9.33960232576357e-22
XM_027371568.1	1.28093600189013e-21
XR_003477520.1	1.66417219524483e-21
XM_027354398.1	1.73302689342738e-21
XR_003477866.1	4.39401255535453e-21
XM_027383284.1	8.78886288949607e-21
XM_027364980.1	1.03007345861864e-20
XM_027357817.1	1.52580410949524e-20
XM_027357401.1	2.48758579973835e-20
XM_027364664.1	2.76579025155376e-20
XM_027367793.1	7.28857060391197e-20
XM_027358948.1	1.3161827011023e-19
XM_027362237.1	2.26430551178258e-19
XM_027372318.1	2.53459365008775e-19
XM_027375231.1	3.76748104879403e-19
XM_027364390.1	5.05561042706786e-19
XM_027362823.1	7.16577612466858e-19
XM_027376592.1	9.71594789803681e-19
XM_027383252.1	1.04860382206004e-18
XM_027353771.1	1.16026693021147e-18
XM_027382025.1	1.6466110605971e-18
XM_027365739.1	1.94967233337323e-18
XM_027368202.1	2.0637413585183e-18
XM_027371437.1	2.47335207409545e-18
XM_027358788.1	3.51076148390959e-18
XR_003475830.1	3.52240942608722e-18
XR_003476465.1	3.88119144460814e-18
XM_027379437.1	4.40472416414216e-18
XM_027370320.1	4.45148266070167e-18
XR_003477191.1	4.98166965736821e-18
XM_027383340.1	8.14085030896395e-18
XM_027371041.1	1.55272639757676e-17
XR_003475788.1	1.70291981535827e-17
XM_027352106.1	2.25083361950478e-17
XM_027351679.1	2.44253339538784e-17
XM_027370775.1	2.97288728637239e-17
XR_003476132.1	3.10327138925009e-17
XM_027353895.1	3.8420165247457e-17
XR_003476716.1	5.05978803879242e-17
XR_003476715.1	5.89244238530806e-17
XM_027362211.1	6.7800749480985e-17
XM_027355298.1	9.56657329517604e-17
XM_027360028.1	1.08940871491306e-16
XM_027361907.1	1.79536885461411e-16
XM_027371323.1	2.19886039904762e-16
XR_003477519.1	2.52073691025262e-16
XM_027355173.1	3.895104142573e-16
XM_027372558.1	5.56327601275237e-16
XM_027357068.1	6.21663452664599e-16
XM_027362035.1	6.21663452664599e-16
XM_027352149.1	6.31428160634963e-16
XM_027357060.1	8.29721482981958e-16
XM_027352498.1	1.14428372245323e-15
XM_027364702.1	1.14428372245323e-15
XM_027366290.1	1.37786856725005e-15
XM_027376112.1	1.5177545667762e-15
XM_027364183.1	1.66222361424915e-15
XM_027352479.1	1.69294391414377e-15
XM_027378246.1	1.99384140607943e-15
XM_027379914.1	2.27552095858821e-15
XM_027351486.1	2.51465171089674e-15
XM_027359377.1	2.5251509863894e-15
XM_027368645.1	2.64208822314581e-15
XM_027370929.1	2.9001827714e-15
XM_027360208.1	3.22560900098749e-15
XM_027370732.1	3.24506741359253e-15
XM_027362977.1	3.94343958872477e-15
XM_027367216.1	4.05288663945605e-15
XM_027363358.1	6.3165364322492e-15
XM_027383661.1	7.56081926478264e-15
XM_027351138.1	7.82558816010803e-15
XM_027378245.1	9.97513836118114e-15
XM_027374209.1	1.35153860428554e-14
XM_027380429.1	2.84996911477557e-14
XM_027353961.1	3.00778336625999e-14
XR_003476142.1	3.63559249810457e-14
XM_027366593.1	3.70982374689712e-14
XM_027351545.1	4.64234760487909e-14
XM_027371566.1	4.64234760487909e-14
XM_027370990.1	4.6428414224263e-14
XM_027362340.1	4.67808820926018e-14
XM_027380884.1	5.14917591978332e-14
XM_027378347.1	5.27513255578276e-14
XM_027364565.1	6.25306623425088e-14
XM_027381617.1	7.90199584676498e-14
XM_027369044.1	8.55603280031165e-14
XM_027356755.1	9.57597923642802e-14
XM_027382961.1	9.64605847699328e-14
XM_027359162.1	1.00632798313663e-13
XM_027380482.1	1.02615613588756e-13
XR_003477346.1	1.02615613588756e-13
XR_003476320.1	1.14099705478899e-13
XM_027360032.1	1.41550906507624e-13
XM_027353960.1	1.45806654180281e-13
XM_027361051.1	1.50967779883269e-13
XM_027367240.1	1.64431211321952e-13
XM_027371499.1	1.64431211321952e-13
XM_027372643.1	1.87087531468313e-13
XM_027353965.1	1.93115344469906e-13
XM_027372736.1	2.08759273359938e-13
XM_027351720.1	2.09644580626542e-13
XM_027367217.1	2.11008084320733e-13
XR_003475503.1	2.3445927838569e-13
XR_003477164.1	2.65251726936116e-13
XM_027358369.1	2.84980232434143e-13
XM_027372245.1	2.89187047304984e-13
XR_003477966.1	3.22028009680542e-13
XM_027374119.1	3.62015956916717e-13
XM_027355855.1	3.6524000627365e-13
XM_027376470.1	3.73607322629663e-13
XM_027354672.1	3.75729097880667e-13
XM_027365498.1	3.75729097880667e-13
XR_003475422.1	4.02889593960837e-13
XM_027370930.1	4.79191594618355e-13
XM_027379899.1	4.85735545846224e-13
XM_027377476.1	5.14276535423663e-13
XM_027352782.1	5.28392171833854e-13
XM_027383637.1	5.51868723240863e-13
XR_003475477.1	5.51868723240863e-13
XR_003476559.1	5.5282611306212e-13
XM_027355794.1	5.71462191582444e-13
XM_027372091.1	5.99633364501433e-13
XM_027353959.1	6.22355138023308e-13
XM_027353980.1	6.22355138023308e-13
XM_027378719.1	6.22355138023308e-13
XM_027373221.1	6.80872354158139e-13
XM_027352895.1	7.23312491534422e-13
XM_027357339.1	7.23312491534422e-13
XM_027370391.1	7.9033710049723e-13
