ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	muscle_1	muscle_2	muscle_3	muscle_wssv_1	muscle_wssv_2	muscle_wssv_3	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_wssv_1_normalized	muscle_wssv_2_normalized	muscle_wssv_3_normalized	Expression
XM_027354398.1	-6.64175868495981	4.04319580076091	-16.2603945140891	7.47595498379866e-07	0.00120140448451003	6.59264708118245	2913	7555	5006	77	141	139	103.817143404815	214.831286317351	196.582962659291	1.09608257788848	2.47846412789106	1.66244234352568	Up_muscle_Down_muscle_wssv
XM_027356275.1	6.07237498155069	3.14047093540035	16.3531032953085	7.188573767792e-07	0.00120140448451003	6.18242298432358	35	28	32	4380	3510	7807	1.24737384798095	0.796198016794948	1.25662301340338	62.3485933915787	61.6979368006924	93.3718516252158	Down_muscle_Up_muscle_wssv
XM_027362237.1	6.97239959062805	6.28410977360325	15.6874797192179	9.57123674601599e-07	0.00120140448451003	6.44957596263076	347	208	116	38825	59369	96665	12.3668207214112	5.91461383904819	4.55525842358725	552.667611513252	1043.57401992032	1156.11502976194	Down_muscle_Up_muscle_wssv
XM_027368908.1	7.16122386953163	2.23658076921647	15.8363289762578	8.96882967762766e-07	0.00120140448451003	4.92879819729199	14	12	8	3660	3694	4415	0.498949539192381	0.341227721483549	0.314155753350845	52.0995095463877	64.9322445987914	52.8034744364452	Down_muscle_Up_muscle_wssv
XM_027368941.1	5.12084180845491	4.0042538944803	19.9516620812695	1.81387701022315e-07	0.00120140448451003	7.65014438733406	78	91	70	7730	5854	6256	2.77986171835755	2.58764355458358	2.74886284181989	110.035302949065	102.90020570691	74.8218654755156	Down_muscle_Up_muscle_wssv
XM_027370990.1	-3.43445031812894	3.81363079845492	-15.6458878855479	9.7477037282761e-07	0.00120140448451003	6.40223630617908	1423	1606	1083	290	288	312	50.7146567336255	45.6676433918817	42.5288351098706	4.12810321542416	5.06239481441579	3.73152526028786	Up_muscle_Down_muscle_wssv
XR_003476716.1	4.21678773868964	6.77230344712927	17.7248640234994	4.12088819796566e-07	0.00120140448451003	7.19672256592085	675	1036	583	40319	27155	32025	24.0564956396326	29.4593266214131	22.8941005254428	573.934460492023	477.324066616183	383.019539938201	Down_muscle_Up_muscle_wssv
XR_003476770.1	10.2967571175728	-0.194878438749483	15.887602687875	8.77140369732778e-07	0.00120140448451003	3.93728128891986	0	1	0	2280	2041	2138	0	0.0284356434569624	0	32.4554321764382	35.8762076952174	25.5705160464598	Down_muscle_Up_muscle_wssv
XM_027364664.1	-5.10880008642604	1.98797358944195	-14.6396068876853	1.53894996805783e-06	0.00134673746971864	5.80597160881342	924	770	444	53	37	51	32.9306695866971	21.8954454618611	17.4356443109719	0.75444644971545	0.65037711157425	0.609960859854747	Up_muscle_Down_muscle_wssv
XM_027367240.1	3.63647780632421	6.1048294626758	14.6784094177851	1.51126740175906e-06	0.00134673746971864	6.03291750979808	618	587	513	21401	13662	16355	22.0250582300637	16.6917227092369	20.1452376836229	304.639782459629	240.147354008849	195.606075743615	Down_muscle_Up_muscle_wssv
