ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	muscle_1	muscle_2	muscle_3	muscle_wssv_1	muscle_wssv_2	muscle_wssv_3	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_wssv_1_normalized	muscle_wssv_2_normalized	muscle_wssv_3_normalized	Expression
XM_027350606.1	1.65004156099967	-0.598457446141689	3.31258078030625	0.0127451293367448	0.0410540218247524	-2.67044477090362	6	18	10	71	70	109	0.213835516796735	0.511841582225324	0.392694691688556	1.01067354584523	1.23044318405939	1.30364183772877	Down_muscle_Up_muscle_wssv
XM_027350608.1	-1.82348762699518	0.690015871771479	-5.95045838557291	0.000552577804980087	0.00786584027666119	0.204625653888619	81	114	75	86	39	61	2.88677947675592	3.24166335409372	2.94521018766417	1.22419612595337	0.685532631118804	0.729561028453717	Up_muscle_Down_muscle_wssv
XM_027350616.1	1.84559110833488	-0.197603430408201	3.7350826207983	0.00720274641596526	0.0285604843276902	-2.16292993451735	18	10	13	122	72	158	0.641506550390204	0.284356434569624	0.510503099195123	1.73665031821292	1.26559870360395	1.88968266386372	Down_muscle_Up_muscle_wssv
XM_027350619.1	-1.59880978534477	5.79092325475427	-5.39972695258766	0.000982053197769557	0.00987524045753813	-0.566678021685098	2335	3501	2740	2010	2668	2011	83.2176552867292	99.5531877428255	107.598345522664	28.6120257344916	46.8974630724351	24.0515939052529	Up_muscle_Down_muscle_wssv
XM_027350640.1	1.67966637463764	1.50232085452809	6.10315828287591	0.000474260247587126	0.00748125971910224	0.357803264904334	38	60	42	302	337	429	1.35429160637932	1.70613860741775	1.64931770509194	4.29892127951068	5.92370504325736	5.13084723289581	Down_muscle_Up_muscle_wssv
XM_027350641.1	1.94559136904819	-0.148804972514197	4.61268241055242	0.00239594770875966	0.0153042141940424	-1.08173774860217	10	21	10	128	92	160	0.356392527994558	0.597148512596211	0.392694691688556	1.82205935025618	1.61715389904949	1.91360269758352	Down_muscle_Up_muscle_wssv
XM_027350642.1	3.7893800625138	0.223862451661272	3.65148475886361	0.00804718591002821	0.0306660679816482	-2.21442524114271	22	4	8	182	203	666	0.784063561588027	0.11374257382785	0.314155753350845	2.59074063864551	3.56828523377224	7.9653712286914	Down_muscle_Up_muscle_wssv
XM_027350643.1	3.25157708386303	0.490192407899512	3.54803989785032	0.00924354461093584	0.0333240767326608	-2.4157956267	28	8	10	194	184	706	0.997899078384761	0.227485147655699	0.392694691688556	2.76155870273203	3.23430779809897	8.44377190308728	Down_muscle_Up_muscle_wssv
XM_027350660.1	-2.66678885519881	5.23737440090907	-6.70058376221633	0.000267559234978927	0.00594848538942881	0.825089603652269	2484	3777	2291	1015	1512	732	88.5279039538481	107.401425336947	89.9663538658482	14.4483612539846	26.5775727756829	8.7547323414446	Up_muscle_Down_muscle_wssv
XM_027350678.1	-1.55053082547645	2.24970723535179	-4.82965104748886	0.00185748923795569	0.0133423691519642	-1.20685079935549	168	334	239	136	193	272	5.98739447030857	9.49750491462545	9.3854031313565	1.93593805964719	3.39250763604947	3.25312458589198	Up_muscle_Down_muscle_wssv
