Contig	lncRNA_ID	lncRNA_strand	mRNA_ID	mRNA_strand	DE_status	mRNA_Position	distance_Kb	product
NW_020869550.1	XR_003476155.1	-	XM_027362368.1	+	not DE	1_U	7.803	retinol dehydrogenase 12-like
NW_020869550.1	XR_003476155.1	-	XM_027362386.1	+	not DE	2_U	22.659	retinol dehydrogenase 12-like%2C transcript variant X1
NW_020869550.1	XR_003476155.1	-	XM_027362384.1	+	not DE	3_U	33.968	estrogen sulfotransferase-like
NW_020869550.1	XR_003476155.1	-	XM_027362383.1	-	not DE	4_U	42.291	peregrin-like%2C transcript variant X11
NW_020869550.1	XR_003476155.1	-	XM_027362371.1	-	not DE	5_U	68.251	formimidoyltransferase-cyclodeaminase-like
NW_020869550.1	XR_003476155.1	-	XM_027362388.1	+	not DE	1_D	0.329	transcription initiation factor TFIID subunit 5-like
NW_020869550.1	XR_003476155.1	-	XM_027362389.1	-	not DE	2_D	23.522	ras-related protein Rab-5B-like
NW_020869079.1	XR_003475784.1	+	XM_027357394.1	+	not DE	1_U	5.455	60S ribosomal protein L17-like
NW_020869079.1	XR_003475784.1	+	XM_027357393.1	+	not DE	2_U	20.030	UNC93-like protein MFSD11
NW_020869079.1	XR_003475784.1	+	XM_027357419.1	-	not DE	3_U	67.767	uncharacterized LOC113806302
NW_020869079.1	XR_003475784.1	+	XM_027357391.1	-	not DE	4_U	74.606	DNA-directed RNA polymerase I subunit RPA1-like
NW_020869079.1	XR_003475784.1	+	XM_027357418.1	+	not DE	5_U	93.186	SH2 domain-containing protein 4B-like
NW_020869079.1	XR_003475784.1	+	XM_027357396.1	-	not DE	1_D	20.029	uncharacterized LOC113806284
NW_020869079.1	XR_003475784.1	+	XM_027357420.1	+	not DE	2_D	37.559	probable serine/threonine-protein kinase kinX
NW_020869079.1	XR_003475784.1	+	XM_027357397.1	-	not DE	3_D	53.803	coiled-coil domain-containing protein 124-like%2C transcript variant X1
NW_020869079.1	XR_003475784.1	+	XM_027357399.1	-	not DE	4_D	316.563	collagen alpha-1(III) chain-like
NW_020869079.1	XR_003475784.1	+	XM_027357421.1	+	not DE	5_D	374.565	uncharacterized LOC113806304
NW_020869028.1	XR_003475707.1	-	XM_027356756.1	+	not DE	1_U	0.146	uncharacterized LOC113805701
NW_020869028.1	XR_003475707.1	-	XM_027356749.1	-	not DE	2_U	18.630	arginine-glutamic acid dipeptide repeats protein-like%2C transcript variant X3
NW_020869028.1	XR_003475707.1	-	XM_027356755.1	-	not DE	3_U	44.371	Ig-like and fibronectin type-III domain-containing protein 2
NW_020869028.1	XR_003475707.1	-	XM_027356754.1	-	not DE	4_U	233.961	oleosin-B6-like
NW_020869028.1	XR_003475707.1	-	XM_027356753.1	+	not DE	5_U	246.381	uncharacterized LOC113805698
NW_020869028.1	XR_003475707.1	-	XM_027356757.1	+	not DE	1_D	29.508	oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
NW_020869028.1	XR_003475707.1	-	XM_027356758.1	+	not DE	2_D	40.070	oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
NW_020869028.1	XR_003475707.1	-	XM_027356759.1	-	not DE	3_D	43.489	extensin-like
NW_020869028.1	XR_003475707.1	-	XM_027356760.1	-	not DE	4_D	46.354	histidine-rich glycoprotein-like
NW_020869028.1	XR_003475707.1	-	XM_027356761.1	-	not DE	5_D	46.971	proline-rich receptor-like protein kinase PERK9
NW_020869077.1	XR_003475769.1	+	XM_027357371.1	-	not DE	1_U	17.504	uncharacterized LOC113806250
NW_020869077.1	XR_003475769.1	+	XM_027357368.1	-	not DE	2_U	29.199	neurocan core protein-like%2C transcript variant X2
NW_020869077.1	XR_003475769.1	+	XM_027357370.1	+	not DE	3_U	32.310	uncharacterized LOC113806248
NW_020869077.1	XR_003475769.1	+	XM_027357369.1	-	not DE	4_U	41.190	agrin-like
NW_020868801.1	XR_003475547.1	-	XM_027354603.1	-	not DE	1_U	5.279	carbohydrate sulfotransferase 10-like
NW_020868801.1	XR_003475547.1	-	XM_027354608.1	-	not DE	2_U	418.644	serine/threonine-protein phosphatase with EF-hands 2-like
NW_020868801.1	XR_003475547.1	-	XM_027354607.1	-	not DE	3_U	442.528	uncharacterized LOC113803784
NW_020868801.1	XR_003475547.1	-	XM_027354605.1	+	not DE	1_D	7.856	WD repeat-containing protein 6-like%2C transcript variant X2
NW_020868801.1	XR_003475547.1	-	XM_027354606.1	-	not DE	2_D	17.830	DNA polymerase epsilon subunit 4-like
NW_020869652.1	XR_003476239.1	-	XM_027363306.1	+	not DE	1_U	1.896	geranylgeranyl transferase type-2 subunit alpha-like
NW_020869652.1	XR_003476239.1	-	XM_027363304.1	-	not DE	2_U	17.636	malate dehydrogenase%2C mitochondrial-like
NW_020869652.1	XR_003476239.1	-	XM_027363303.1	-	not DE	3_U	64.880	zinc transporter ZIP1-like
NW_020869652.1	XR_003476239.1	-	XM_027363302.1	-	not DE	4_U	71.004	protein cornichon homolog 4-like
NW_020869652.1	XR_003476239.1	-	XM_027363299.1	+	not DE	5_U	88.540	S-antigen protein-like
NW_020869652.1	XR_003476239.1	-	XM_027363300.1	+	not DE	1_D	4.412	cystatin-A-like
NW_020869652.1	XR_003476239.1	-	XM_027363301.1	+	not DE	2_D	14.774	uncharacterized LOC113811532
NW_020869652.1	XR_003476239.1	-	XM_027363307.1	+	not DE	3_D	22.536	ganglioside GM2 activator-like
NW_020869652.1	XR_003476239.1	-	XM_027363298.1	+	DE	4_D	28.085	proton-coupled folate transporter-like
NW_020869728.1	XR_003476291.1	+	XM_027364010.1	+	not DE	1_U	45.680	probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2
