Contig	lncRNA_ID	lncRNA_strand	mRNA_ID	mRNA_strand	DE_status	mRNA_Position	distance_Kb	product
NW_020871588.1	XR_003477632.1	+	XM_027378947.1	-	not DE	1_U	11.925	uncharacterized LOC113826067%2C transcript variant X7
NW_020871588.1	XR_003477632.1	+	XM_027378937.1	-	not DE	2_U	66.069	E3 ubiquitin-protein ligase E3D-like
NW_020871588.1	XR_003477632.1	+	XM_027378934.1	-	not DE	3_U	382.486	myelin expression factor 2-like
NW_020871588.1	XR_003477632.1	+	XM_027378912.1	+	not DE	4_U	436.552	negative elongation factor B-like
NW_020871588.1	XR_003477632.1	+	XM_027378932.1	-	DE	5_U	448.418	S-phase kinase-associated protein 2-like%2C transcript variant X1
NW_020871588.1	XR_003477632.1	+	XM_027378923.1	+	not DE	1_D	8.951	uncharacterized LOC113826051%2C transcript variant X2
NW_020871588.1	XR_003477632.1	+	XM_027378938.1	-	not DE	2_D	30.371	E3 ubiquitin-protein ligase E3D-like
NW_020871588.1	XR_003477632.1	+	XM_027378905.1	+	not DE	3_D	32.826	poly(ADP-ribose) glycohydrolase ARH3-like%2C transcript variant X1
NW_020871588.1	XR_003477632.1	+	XM_027378921.1	-	not DE	4_D	43.515	actin-binding LIM protein 3-like%2C transcript variant X9
NW_020871588.1	XR_003477632.1	+	XM_027378902.1	-	not DE	5_D	207.588	protein unc-93 homolog A-like
NW_020869028.1	XR_003475707.1	-	XM_027356756.1	+	not DE	1_U	0.146	uncharacterized LOC113805701
NW_020869028.1	XR_003475707.1	-	XM_027356749.1	-	not DE	2_U	18.630	arginine-glutamic acid dipeptide repeats protein-like%2C transcript variant X3
NW_020869028.1	XR_003475707.1	-	XM_027356755.1	-	not DE	3_U	44.371	Ig-like and fibronectin type-III domain-containing protein 2
NW_020869028.1	XR_003475707.1	-	XM_027356754.1	-	not DE	4_U	233.961	oleosin-B6-like
NW_020869028.1	XR_003475707.1	-	XM_027356753.1	+	not DE	5_U	246.381	uncharacterized LOC113805698
NW_020869028.1	XR_003475707.1	-	XM_027356757.1	+	not DE	1_D	29.508	oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
NW_020869028.1	XR_003475707.1	-	XM_027356758.1	+	not DE	2_D	40.070	oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
NW_020869028.1	XR_003475707.1	-	XM_027356759.1	-	not DE	3_D	43.489	extensin-like
NW_020869028.1	XR_003475707.1	-	XM_027356760.1	-	not DE	4_D	46.354	histidine-rich glycoprotein-like
NW_020869028.1	XR_003475707.1	-	XM_027356761.1	-	not DE	5_D	46.971	proline-rich receptor-like protein kinase PERK9
NW_020870248.1	XR_003476751.1	-	XM_027369089.1	+	not DE	1_U	5.665	chymotrypsin BI-like
NW_020870248.1	XR_003476751.1	-	XM_027369083.1	+	not DE	2_U	39.268	ras-related protein Rab-28-like
NW_020870248.1	XR_003476751.1	-	XM_027369088.1	-	not DE	3_U	136.117	beta-1%2C3-galactosyltransferase 5-like%2C transcript variant X3
NW_020870248.1	XR_003476751.1	-	XM_027369110.1	-	not DE	4_U	195.897	uncharacterized protein K02A2.6-like
NW_020870248.1	XR_003476751.1	-	XM_027369090.1	-	not DE	1_D	0.003	brachyurin-like
NW_020870248.1	XR_003476751.1	-	XM_027369111.1	+	not DE	2_D	16.011	methionine aminopeptidase 1D%2C mitochondrial-like
NW_020870248.1	XR_003476751.1	-	XM_027369092.1	-	not DE	3_D	26.466	nuclear receptor coactivator 6-like%2C transcript variant X2
NW_020870248.1	XR_003476751.1	-	XM_027369112.1	+	DE	4_D	137.529	insulin-like growth factor 1 receptor
NW_020870248.1	XR_003476751.1	-	XM_027369094.1	-	DE	5_D	220.485	BAG family molecular chaperone regulator 1-like%2C transcript variant X1
NW_020869060.1	XR_003475752.1	+	XM_027357186.1	-	not DE	1_U	Overlap: 2851 bases	coiled-coil domain-containing protein 47-like
NW_020869060.1	XR_003475752.1	+	XM_027357183.1	-	not DE	2_U	53.804	uncharacterized protein KIAA0513-like%2C transcript variant X1
NW_020869060.1	XR_003475752.1	+	XM_027357185.1	+	not DE	3_U	87.164	tubulin beta chain-like
NW_020869060.1	XR_003475752.1	+	XM_027357194.1	-	not DE	4_U	384.087	craniofacial development protein 2-like
NW_020869060.1	XR_003475752.1	+	XM_027357182.1	-	not DE	5_U	537.757	myosin-2 essential light chain-like
NW_020869060.1	XR_003475752.1	+	XM_027357187.1	-	DE	1_D	30.920	docking protein 2-like
NW_020869060.1	XR_003475752.1	+	XM_027357195.1	+	not DE	2_D	38.836	D-glucuronyl C5-epimerase B-like
NW_020869060.1	XR_003475752.1	+	XM_027357188.1	-	not DE	3_D	57.313	uncharacterized LOC113806081
NW_020869060.1	XR_003475752.1	+	XM_027357190.1	-	not DE	4_D	62.218	uncharacterized LOC113806082%2C transcript variant X1
NW_020869060.1	XR_003475752.1	+	XM_027357193.1	+	not DE	5_D	76.518	uncharacterized LOC113806083%2C transcript variant X1
NW_020870979.1	XR_003477381.1	-	XM_027375904.1	-	not DE	1_D	0.167	non-specific lipid-transfer protein-like
NW_020870979.1	XR_003477381.1	-	XM_027375905.1	+	DE	2_D	6.909	non-specific lipid-transfer protein-like
NW_020870979.1	XR_003477381.1	-	XM_027375913.1	-	not DE	3_D	84.419	uncharacterized LOC113823295%2C transcript variant X1
NW_020870979.1	XR_003477381.1	-	XM_027375916.1	+	not DE	4_D	87.248	uncharacterized LOC113823296
NW_020870979.1	XR_003477381.1	-	XM_027375906.1	-	not DE	5_D	120.860	tripeptidyl-peptidase 2-like
NW_020869770.1	XR_003476318.1	-	XM_027364390.1	+	DE	1_U	33.782	copine-8-like
NW_020869770.1	XR_003476318.1	-	XM_027364389.1	+	not DE	2_U	59.123	copine-8-like
NW_020869770.1	XR_003476318.1	-	XM_027364383.1	+	DE	3_U	69.845	cytochrome b5-related protein-like
NW_020869770.1	XR_003476318.1	-	XM_027364411.1	+	not DE	4_U	71.800	ubiquitin-conjugating enzyme E2 K-like
NW_020869770.1	XR_003476318.1	-	XM_027364388.1	+	DE	5_U	109.182	alpha-mannosidase 2x-like
NW_020869770.1	XR_003476318.1	-	XM_027364412.1	-	not DE	1_D	22.574	mucin-6-like
NW_020869770.1	XR_003476318.1	-	XM_027364385.1	+	not DE	2_D	145.418	cytoplasmic protein NCK2-like
NW_020869770.1	XR_003476318.1	-	XM_027364413.1	+	not DE	3_D	160.833	uncharacterized LOC113812510
NW_020869770.1	XR_003476318.1	-	XM_027364392.1	-	not DE	4_D	232.875	profilin-like
NW_020869770.1	XR_003476318.1	-	XM_027364391.1	-	not DE	5_D	246.870	profilin-like
NW_020869124.1	XR_003475820.1	-	XM_027357908.1	-	not DE	1_U	12.066	vicilin-like seed storage protein At2g18540
