lncRNA_ID	lncRNA_strand	mRNA_ID	mRNA_strand	mRNA_position	DE_status	match_count	distance_Kb	product
XR_003477104.1	+	XM_027372522.1	-	1_D	not_DE	0	6.151	zinc transporter 6-like%2C transcript variant X4
XR_003477104.1	+	XM_027372519.1	-	2_D	not_DE	0	6.151	zinc transporter 6-like%2C transcript variant X2
XR_003477104.1	+	XM_027372521.1	-	3_D	not_DE	0	6.151	zinc transporter 6-like%2C transcript variant X3
XR_003477104.1	+	XM_027372518.1	-	4_D	not_DE	0	6.151	zinc transporter 6-like%2C transcript variant X1
XR_003477104.1	+	XM_027372523.1	+	5_D	not_DE	0	27.804	polypeptide N-acetylgalactosaminyltransferase 2-like%2C transcript variant X1
XR_003475515.1	-	XM_027354318.1	+	1_D	not_DE	0	102.39	zinc finger FYVE domain-containing protein 21-like
XR_003475515.1	-	XM_027354287.1	-	2_D	not_DE	0	141.358	ATP-dependent RNA helicase has1-like%2C transcript variant X2
XR_003475515.1	-	XM_027354286.1	-	3_D	not_DE	0	141.358	ATP-dependent RNA helicase has1-like%2C transcript variant X1
XR_003475515.1	-	XM_027354288.1	+	4_D	not_DE	0	152.922	ATP-dependent RNA helicase HAS1-like%2C transcript variant X1
XR_003475515.1	-	XM_027354289.1	+	5_D	not_DE	0	152.922	ATP-dependent RNA helicase HAS1-like%2C transcript variant X2
XR_003475479.1	+	XM_027355613.1	-	1_U	not_DE	0	31.027	uncharacterized LOC113804693
XR_003475479.1	+	XM_027355513.1	-	2_U	not_DE	0	39.063	uncharacterized LOC113804590
XR_003475479.1	+	XM_027355421.1	+	3_U	not_DE	0	45.269	endoglucanase E1-like
XR_003475479.1	+	XM_027355310.1	-	4_U	not_DE	0	48.318	uncharacterized LOC113804402
XR_003475479.1	+	XM_027355196.1	-	5_U	not_DE	0	55.59	uncharacterized LOC113804305
XR_003475479.1	+	XM_027355720.1	+	1_D	DE	3	2.93	protein trapped in endoderm-1-like
XR_003475479.1	+	XM_027353853.1	-	2_D	DE	2	12.693	mucin-2-like
XR_003475479.1	+	XM_027353951.1	+	3_D	DE	0	78.655	uncharacterized LOC113803197
XR_003475479.1	+	XM_027375703.1	-	4_D	not_DE	0	112.915	synaptotagmin-7-like
XR_003475479.1	+	XM_027354483.1	-	5_D	not_DE	0	165.851	DNA-binding protein Ewg-like%2C transcript variant X6
XR_003475420.1	-	XM_027352844.1	-	1_U	not_DE	0	12.749	putative nuclease HARBI1
XR_003475420.1	-	XM_027352868.1	+	2_U	DE	0	17.631	uncharacterized LOC113802311
XR_003475420.1	-	XM_027352843.1	+	3_U	DE	0	23.656	ankyrin-1-like
XR_003475420.1	-	XM_027352856.1	+	4_U	DE	0	43.491	uncharacterized LOC113802305
XR_003475420.1	-	XM_027352866.1	+	5_U	DE	0	57.445	uncharacterized LOC113802310
XR_003475420.1	-	XM_027352861.1	+	1_D	DE	1	1.978	serine/arginine-rich splicing factor 7-like%2C transcript variant X4
XR_003475420.1	-	XM_027352858.1	+	2_D	DE	1	1.978	serine/arginine-rich splicing factor 7-like%2C transcript variant X1
XR_003475420.1	-	XM_027352859.1	+	3_D	not_DE	0	1.978	serine/arginine-rich splicing factor 7-like%2C transcript variant X2
XR_003475420.1	-	XM_027352860.1	+	4_D	DE	1	1.978	serine/arginine-rich splicing factor 7-like%2C transcript variant X3
XR_003475420.1	-	XM_027352863.1	+	5_D	DE	1	7.251	serine/arginine-rich splicing factor 7-like%2C transcript variant X6
XR_003475516.1	-	XM_027354318.1	+	1_D	not_DE	0	95.857	zinc finger FYVE domain-containing protein 21-like
XR_003475516.1	-	XM_027354287.1	-	2_D	not_DE	0	134.825	ATP-dependent RNA helicase has1-like%2C transcript variant X2
XR_003475516.1	-	XM_027354286.1	-	3_D	not_DE	0	134.825	ATP-dependent RNA helicase has1-like%2C transcript variant X1
XR_003475516.1	-	XM_027354288.1	+	4_D	not_DE	0	146.389	ATP-dependent RNA helicase HAS1-like%2C transcript variant X1
XR_003475516.1	-	XM_027354289.1	+	5_D	not_DE	0	146.389	ATP-dependent RNA helicase HAS1-like%2C transcript variant X2
XR_003475824.1	-	XM_027357927.1	-	1_U	DE	0	27.426	molybdenum cofactor sulfurase-like%2C transcript variant X2
XR_003475824.1	-	XM_027357926.1	-	2_U	DE	0	27.426	molybdenum cofactor sulfurase-like%2C transcript variant X1
XR_003475824.1	-	XM_027357954.1	+	3_U	not_DE	0	39.651	E3 ubiquitin-protein ligase RNF19A-like
XR_003475824.1	-	XM_027357953.1	+	4_U	not_DE	0	309.76	thyrotropin-releasing hormone receptor-like
