lncRNA_ID	lncRNA_strand	mRNA_ID	mRNA_strand	mRNA_position	DE_status	match_count	distance_Kb	product
XR_003477389.1	+	XM_027376035.1	+	1_U	not_DE	0	9.015	uncharacterized LOC113823408
XR_003477389.1	+	XM_027376029.1	-	2_U	DE	0	134.366	serine-rich adhesin for platelets-like
XR_003477389.1	+	XM_027376033.1	+	1_D	DE	3	35.835	uncharacterized LOC113823405
XR_003477389.1	+	XM_027376032.1	-	2_D	DE	2	47.242	uncharacterized LOC113823404
XR_003477389.1	+	XM_027376028.1	-	3_D	DE	2	164.941	prolow-density lipoprotein receptor-related protein 1-like
XR_003477389.1	+	XM_027376030.1	+	4_D	DE	1	190.909	low-density lipoprotein receptor-related protein 1B-like
XR_003477389.1	+	XM_027376031.1	-	5_D	not_DE	0	240.888	WAS/WASL-interacting protein family member 3-like
XR_003477294.1	+	XM_027374920.1	+	1_D	not_DE	0	119.32	DNA-directed RNA polymerase II subunit RPB1-like
XR_003477294.1	+	XM_027374921.1	-	2_D	DE	0	157.888	ubiquitin carboxyl-terminal hydrolase 22-like
XR_003477403.1	-	XM_027376303.1	-	1_U	DE	1	84.356	uncharacterized LOC113823614
XR_003477403.1	-	XM_027376304.1	-	1_D	not_DE	0	119.329	RPA-interacting protein B-like
XR_003476733.1	-	XM_027368721.1	+	1_U	not_DE	0	81.463	ubiquitin-like domain-containing CTD phosphatase 1
XR_003476733.1	-	XM_027368715.1	+	2_U	not_DE	0	165.204	keratin%2C type II cytoskeletal 1-like
XR_003476733.1	-	XM_027368722.1	+	1_D	not_DE	0	125.367	uncharacterized LOC113816668
XR_003476733.1	-	XM_027368716.1	+	2_D	not_DE	0	144.97	uncharacterized LOC113816657
XR_003476733.1	-	XM_027368717.1	+	3_D	not_DE	0	286.087	deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like
XR_003476733.1	-	XM_027368723.1	+	4_D	not_DE	0	370.626	mitochondrial ribonuclease P catalytic subunit-like%2C transcript variant X1
XR_003476733.1	-	XM_027368724.1	+	5_D	not_DE	0	370.626	mitochondrial ribonuclease P catalytic subunit-like%2C transcript variant X2
XR_003475612.1	+	XM_027355552.1	+	1_U	DE	3	0.855	MAM domain-containing glycosylphosphatidylinositol anchor protein 1-like
XR_003475612.1	+	XM_027355551.1	+	2_U	not_DE	0	107.086	G8 domain-containing protein DDB_G0286311-like
XR_003475612.1	+	XM_027355550.1	+	3_U	not_DE	0	118.271	uncharacterized LOC113804670
XR_003476799.1	+	XM_027369682.1	+	1_U	not_DE	0	42.721	aminopeptidase N-like
XR_003476799.1	+	XM_027369685.1	+	1_D	not_DE	0	6.959	uncharacterized LOC113817631
XR_003476799.1	+	XM_027369680.1	+	2_D	not_DE	0	11.843	uncharacterized LOC113817624
XR_003476799.1	+	XM_027369681.1	+	3_D	not_DE	0	16.77	uncharacterized LOC113817625
XR_003476799.1	+	XM_027369687.1	-	4_D	DE	0	34.327	aminopeptidase N-like
XR_003476799.1	+	XM_027369684.1	-	5_D	not_DE	0	140.232	uncharacterized LOC113817630%2C transcript variant X2
XR_003477709.1	+	XM_027379817.1	-	1_D	not_DE	0	137.147	transmembrane and TPR repeat-containing protein 1-like
XR_003477709.1	+	XM_027379818.1	-	2_D	not_DE	0	152.109	transmembrane and TPR repeat-containing protein 1-like
XR_003477709.1	+	XM_027379819.1	-	3_D	not_DE	0	180.368	transmembrane and TPR repeat-containing protein 1-like
XR_003477709.1	+	XM_027379815.1	-	4_D	not_DE	0	402.887	A disintegrin and metalloproteinase with thrombospondin motifs 7-like
XR_003477709.1	+	XM_027379820.1	-	5_D	not_DE	0	406.008	A disintegrin and metalloproteinase with thrombospondin motifs 7-like
XR_003475449.1	+	XM_027353360.1	+	1_U	not_DE	0	170.758	histone-lysine N-methyltransferase SETMAR-like
XR_003475449.1	+	XM_027353358.1	-	2_U	not_DE	0	412.183	uncharacterized LOC113802743%2C transcript variant X2
XR_003475449.1	+	XM_027353357.1	-	3_U	not_DE	0	467.473	uncharacterized LOC113802743%2C transcript variant X1
XR_003475449.1	+	XM_027353361.1	+	1_D	DE	3	0.22	uncharacterized LOC113802748
XR_003475449.1	+	XM_027353359.1	+	2_D	not_DE	0	27.52	glucose dehydrogenase [FAD%2C quinone]-like
XR_003477708.1	+	XM_027379817.1	-	1_D	not_DE	0	132.725	transmembrane and TPR repeat-containing protein 1-like
XR_003477708.1	+	XM_027379818.1	-	2_D	not_DE	0	147.687	transmembrane and TPR repeat-containing protein 1-like
XR_003477708.1	+	XM_027379819.1	-	3_D	not_DE	0	175.946	transmembrane and TPR repeat-containing protein 1-like
XR_003477708.1	+	XM_027379815.1	-	4_D	not_DE	0	398.465	A disintegrin and metalloproteinase with thrombospondin motifs 7-like
XR_003477708.1	+	XM_027379820.1	-	5_D	not_DE	0	401.586	A disintegrin and metalloproteinase with thrombospondin motifs 7-like
XR_003477432.1	+	XM_027376405.1	-	1_U	not_DE	0	125.224	U1 small nuclear ribonucleoprotein C-like
XR_003477432.1	+	XM_027376420.1	-	2_U	DE	0	126.055	E3 ubiquitin-protein ligase Hakai-like
XR_003477432.1	+	XM_027376422.1	-	3_U	DE	0	132.072	bromodomain-containing protein 4-like
XR_003477432.1	+	XM_027376417.1	+	4_U	not_DE	0	393.507	rab GTPase-binding effector protein 1-like
XR_003477432.1	+	XM_027376419.1	-	5_U	not_DE	0	423.328	uncharacterized LOC113823728
XR_003477432.1	+	XM_027376400.1	+	1_D	DE	2	75.771	angiotensin-converting enzyme-like
XR_003477432.1	+	XM_027376423.1	-	2_D	not_DE	0	123.103	uncharacterized LOC113823733
XR_003477432.1	+	XM_027376394.1	-	3_D	not_DE	0	156.709	tigger transposable element-derived protein 4-like%2C transcript variant X4
XR_003477432.1	+	XM_027376395.1	-	4_D	not_DE	0	156.709	tigger transposable element-derived protein 4-like%2C transcript variant X5
XR_003477432.1	+	XM_027376392.1	-	5_D	not_DE	0	169.918	tigger transposable element-derived protein 4-like%2C transcript variant X2
XR_003475978.1	-	XM_027359380.1	-	1_U	DE	3	8.945	alpha-2-macroglobulin-like protein 1
XR_003475978.1	-	XM_027359377.1	-	2_U	DE	3	30.333	alpha-2-macroglobulin-like protein 1
XR_003475978.1	-	XM_027359376.1	+	3_U	not_DE	0	40.59	alpha-2-macroglobulin-like protein 1
XR_003475978.1	-	XM_027359379.1	-	4_U	not_DE	0	57.515	vegetative cell wall protein gp1-like
XR_003475978.1	-	XM_027359375.1	-	5_U	DE	2	204.512	inactive hydroxysteroid dehydrogenase-like protein 1%2C transcript variant X2
XR_003475978.1	-	XM_027359382.1	-	1_D	DE	3	10.65	alpha-2-macroglobulin-like protein 1
XR_003475978.1	-	XM_027359383.1	-	2_D	not_DE	0	23.836	uncharacterized LOC113808063
XR_003475978.1	-	XM_027359378.1	-	3_D	not_DE	0	32.073	kielin/chordin-like protein
XR_003476188.1	-	XM_027362731.1	-	1_D	not_DE	0	12.534	uncharacterized LOC113811060
XR_003476188.1	-	XM_027362732.1	-	2_D	DE	2	14.047	uncharacterized LOC113811062
XR_003476188.1	-	XM_027362738.1	-	3_D	not_DE	0	67.038	uncharacterized LOC113811068
XR_003476188.1	-	XM_027362740.1	-	4_D	DE	3	100.797	uncharacterized LOC113811069%2C transcript variant X2
XR_003476188.1	-	XM_027362739.1	-	5_D	DE	3	103.199	uncharacterized LOC113811069%2C transcript variant X1
XR_003475534.1	+	XM_027354449.1	-	1_U	not_DE	0	40.043	facilitated trehalose transporter Tret1-like
XR_003475534.1	+	XM_027354456.1	+	2_U	not_DE	0	50.359	reticulocyte-binding protein 2 homolog a-like
XR_003475534.1	+	XM_027354455.1	-	3_U	not_DE	0	89.758	ankyrin repeat domain-containing protein 27-like
XR_003475534.1	+	XM_027354454.1	-	4_U	not_DE	0	97.459	thymidine kinase%2C cytosolic-like
XR_003475534.1	+	XM_027354448.1	+	5_U	not_DE	0	103.495	vacuolar protein-sorting-associated protein 25-like
XR_003475534.1	+	XM_027354451.1	-	1_D	DE	3	15.432	alpha/beta-gliadin A-III-like%2C transcript variant X1
XR_003475534.1	+	XM_027354452.1	-	2_D	DE	3	15.432	alpha/beta-gliadin A-III-like%2C transcript variant X2
XR_003476985.1	-	XM_027371452.1	+	1_U	not_DE	0	19.35	TBC1 domain family member 15-like
XR_003476985.1	-	XM_027371450.1	+	2_U	DE	0	50.394	uncharacterized LOC113819202%2C transcript variant X3
XR_003476985.1	-	XM_027371447.1	+	3_U	DE	0	50.394	uncharacterized LOC113819202%2C transcript variant X1
XR_003476985.1	-	XM_027371448.1	+	4_U	DE	0	50.394	uncharacterized LOC113819202%2C transcript variant X2
XR_003476985.1	-	XM_027371446.1	+	5_U	not_DE	0	75.394	cell wall protein AWA1-like
XR_003476985.1	-	XM_027371453.1	-	1_D	DE	0	20.478	proteasome subunit beta type-4-like
XR_003476985.1	-	XM_027371451.1	+	2_D	not_DE	0	32.633	mucin-12-like
XR_003476985.1	-	XM_027371454.1	+	3_D	not_DE	0	70.699	putative protein TPRXL
XR_003476985.1	-	XM_027371455.1	+	4_D	DE	0	112.087	uncharacterized LOC113819207
XR_003476985.1	-	XM_027371456.1	+	5_D	not_DE	0	269.533	uncharacterized LOC113819208
XR_003477195.1	-	XM_027374035.1	+	1_D	not_DE	0	41.309	uncharacterized LOC113821531%2C transcript variant X1
XR_003477195.1	-	XM_027374037.1	+	2_D	DE	0	41.327	uncharacterized LOC113821531%2C transcript variant X2
XR_003477195.1	-	XM_027374032.1	+	3_D	DE	0	90.252	uncharacterized LOC113821528%2C transcript variant X1
XR_003477195.1	-	XM_027374033.1	+	4_D	DE	0	90.252	uncharacterized LOC113821528%2C transcript variant X2
XR_003477195.1	-	XM_027374034.1	+	5_D	not_DE	0	106.082	succinate dehydrogenase assembly factor 4%2C mitochondrial-like
XR_003477707.1	+	XM_027379817.1	-	1_D	not_DE	0	127.259	transmembrane and TPR repeat-containing protein 1-like
XR_003477707.1	+	XM_027379818.1	-	2_D	not_DE	0	142.221	transmembrane and TPR repeat-containing protein 1-like
XR_003477707.1	+	XM_027379819.1	-	3_D	not_DE	0	170.48	transmembrane and TPR repeat-containing protein 1-like
XR_003477707.1	+	XM_027379815.1	-	4_D	not_DE	0	392.999	A disintegrin and metalloproteinase with thrombospondin motifs 7-like
XR_003477707.1	+	XM_027379820.1	-	5_D	not_DE	0	396.12	A disintegrin and metalloproteinase with thrombospondin motifs 7-like
XR_003477453.1	+	XM_027376686.1	+	1_U	not_DE	0	11.47	uncharacterized LOC113823953
XR_003477453.1	+	XM_027376696.1	+	2_U	not_DE	0	21.873	E3 ubiquitin-protein ligase HUWE1-like
XR_003477453.1	+	XM_027376687.1	-	1_D	DE	2	0.33	uncharacterized LOC113823954
XR_003477453.1	+	XM_027376695.1	-	2_D	DE	3	10.971	venom carboxylesterase-6-like
XR_003477453.1	+	XM_027376698.1	+	3_D	DE	0	90.933	transient receptor potential channel pyrexia-like%2C transcript variant X2
XR_003477453.1	+	XM_027376700.1	+	4_D	DE	0	91.625	transient receptor potential channel pyrexia-like%2C transcript variant X4
XR_003477453.1	+	XM_027376699.1	+	5_D	DE	0	91.627	transient receptor potential channel pyrexia-like%2C transcript variant X3
XR_003477693.1	-	XM_027379694.1	-	1_U	not_DE	0	75.612	uncharacterized LOC113826806
XR_003477693.1	-	XM_027379693.1	-	2_U	not_DE	0	92.539	39S ribosomal protein L21%2C mitochondrial-like
XR_003477693.1	-	XM_027379686.1	+	3_U	DE	0	108.299	40S ribosomal protein S15Aa%2C transcript variant X1
XR_003477693.1	-	XM_027379687.1	+	4_U	DE	0	108.299	40S ribosomal protein S15Aa%2C transcript variant X2
XR_003477693.1	-	XM_027379688.1	-	5_U	DE	0	119.335	transport and Golgi organization 2 homolog%2C transcript variant X1
XR_003477528.1	-	XM_027377636.1	+	1_U	not_DE	0	10.486	myrosinase-binding protein 2-like
XR_003477528.1	-	XM_027377341.1	+	2_U	DE	2	19.736	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
XR_003477528.1	-	XM_027377329.1	-	3_U	DE	0	98.629	uncharacterized LOC113824434%2C transcript variant X23
XR_003477528.1	-	XM_027377319.1	-	4_U	DE	0	98.629	uncharacterized LOC113824434%2C transcript variant X22
XR_003477528.1	-	XM_027377312.1	-	5_U	DE	0	98.629	uncharacterized LOC113824434%2C transcript variant X21
XR_003477528.1	-	XM_027377379.1	-	1_D	not_DE	0	26.45	microtubule-associated protein futsch-like%2C transcript variant X3
XR_003477528.1	-	XM_027377370.1	-	2_D	not_DE	0	26.45	microtubule-associated protein futsch-like%2C transcript variant X2
XR_003477528.1	-	XM_027377362.1	-	3_D	not_DE	0	26.45	microtubule-associated protein futsch-like%2C transcript variant X1
XR_003477528.1	-	XM_027377390.1	-	4_D	not_DE	0	65.567	cyclin-D1-binding protein 1 homolog
XR_003477528.1	-	XM_027377643.1	+	5_D	not_DE	0	80.687	transcription initiation protein SPT3 homolog
XR_003476190.1	-	XM_027362748.1	+	1_U	not_DE	0	32.986	gamma-aminobutyric acid receptor alpha-like
XR_003476190.1	-	XM_027362747.1	-	2_U	not_DE	0	111.836	mucin-2-like
XR_003476190.1	-	XM_027362743.1	+	3_U	DE	0	130.037	uncharacterized LOC113811073
XR_003476190.1	-	XM_027362746.1	+	4_U	not_DE	0	136.514	extensin-like
XR_003476190.1	-	XM_027362749.1	-	1_D	not_DE	0	138.726	SH3 domain-containing protein C23A1.17-like
XR_003476190.1	-	XM_027362750.1	-	2_D	not_DE	0	244.869	nucleolar protein 58-like
XR_003476190.1	-	XM_027362751.1	-	3_D	not_DE	0	360.961	uncharacterized LOC113811084
XR_003476190.1	-	XM_027362754.1	+	4_D	DE	3	434.22	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like%2C transcript variant X1
XR_003476190.1	-	XM_027362745.1	+	5_D	DE	3	446.586	uncharacterized LOC113811076
XR_003476840.1	+	XM_027370497.1	+	1_U	DE	3	9.543	proto-oncogene tyrosine-protein kinase receptor Ret-like
XR_003476840.1	+	XM_027370469.1	-	1_D	DE	0	3.864	protein tincar-like
XR_003476840.1	+	XM_027370480.1	-	2_D	not_DE	0	136.736	uncharacterized LOC113818298
XR_003476840.1	+	XM_027370470.1	-	3_D	DE	1	244.657	uncharacterized LOC113818287
XR_003476840.1	+	XM_027370471.1	-	4_D	DE	0	276.738	serine/threonine-protein kinase TNNI3K-like
XR_003476840.1	+	XM_027370472.1	-	5_D	not_DE	0	286.536	chymotrypsin BI-like
XR_003475998.1	-	XM_027359910.1	+	1_U	not_DE	0	21.818	translation initiation factor IF-2-like
XR_003475998.1	-	XM_027359909.1	+	2_U	not_DE	0	29.332	uncharacterized LOC113808492
XR_003475998.1	-	XM_027359900.1	-	3_U	DE	0	81.398	cotranscriptional regulator FAM172A homolog
XR_003475998.1	-	XM_027359912.1	-	1_D	DE	0	6.501	puff-specific protein Bx42-like
XR_003475998.1	-	XM_027359903.1	-	2_D	not_DE	0	18.692	ankyrin repeat and SAM domain-containing protein 6-like
XR_003475998.1	-	XM_027359904.1	-	3_D	not_DE	0	22.283	ankyrin repeat and SAM domain-containing protein 6-like
XR_003475998.1	-	XM_027359902.1	+	4_D	not_DE	0	206.994	sialin-like
XR_003475998.1	-	XM_027359913.1	+	5_D	not_DE	0	219.291	putative uncharacterized protein DDB_G0271606
XR_003477289.1	-	XM_027374872.1	-	1_D	not_DE	0	0.977	nascent polypeptide-associated complex subunit alpha%2C muscle-specific form-like
XR_003477454.1	+	XM_027376686.1	+	1_U	not_DE	0	11.47	uncharacterized LOC113823953
XR_003477454.1	+	XM_027376696.1	+	2_U	not_DE	0	21.873	E3 ubiquitin-protein ligase HUWE1-like
XR_003477454.1	+	XM_027376687.1	-	1_D	DE	2	0.33	uncharacterized LOC113823954
XR_003477454.1	+	XM_027376695.1	-	2_D	DE	3	10.971	venom carboxylesterase-6-like
XR_003477454.1	+	XM_027376698.1	+	3_D	DE	0	90.933	transient receptor potential channel pyrexia-like%2C transcript variant X2
XR_003477454.1	+	XM_027376700.1	+	4_D	DE	0	91.625	transient receptor potential channel pyrexia-like%2C transcript variant X4
XR_003477454.1	+	XM_027376699.1	+	5_D	DE	0	91.627	transient receptor potential channel pyrexia-like%2C transcript variant X3
XR_003475614.1	-	XM_027355576.1	-	1_D	not_DE	0	90.035	formin-like protein 5
XR_003475614.1	-	XM_027355558.1	-	2_D	not_DE	0	122.389	hsp90 co-chaperone Cdc37-like
XR_003475614.1	-	XM_027355559.1	+	3_D	not_DE	0	136.115	protein phosphatase 1 regulatory subunit 21-like
XR_003475614.1	-	XM_027355560.1	-	4_D	not_DE	0	174.254	beta-arrestin-1-like%2C transcript variant X1
XR_003475614.1	-	XM_027355561.1	-	5_D	not_DE	0	174.269	beta-arrestin-1-like%2C transcript variant X2
XR_003476999.1	+	XM_027371990.1	-	1_U	not_DE	0	13.884	uncharacterized LOC113819765
XR_003476999.1	+	XM_027371891.1	+	2_U	not_DE	0	15.59	axoneme-associated protein mst101(2)-like
XR_003476999.1	+	XM_027371807.1	+	3_U	not_DE	0	18.725	axoneme-associated protein mst101(2)-like
XR_003476999.1	+	XM_027371716.1	-	4_U	not_DE	0	85.089	pollen-specific leucine-rich repeat extensin-like protein 2
XR_003476999.1	+	XM_027372099.1	-	1_D	not_DE	0	538.055	uncharacterized LOC113819850
XR_003477224.1	-	XM_027374466.1	+	1_U	DE	3	8.588	monocarboxylate transporter 8-like
XR_003477224.1	-	XM_027374464.1	-	2_U	not_DE	0	12.366	uncharacterized LOC113821927
XR_003477224.1	-	XM_027374427.1	+	3_U	DE	1	27.287	activated Cdc42 kinase-like%2C transcript variant X1
XR_003477224.1	-	XM_027374428.1	+	4_U	DE	1	27.287	activated Cdc42 kinase-like%2C transcript variant X2
XR_003477224.1	-	XM_027374429.1	+	5_U	DE	1	27.287	activated Cdc42 kinase-like%2C transcript variant X3
XR_003477224.1	-	XM_027374399.1	-	1_D	not_DE	0	7.424	alpha/beta-gliadin A-III-like%2C transcript variant X1
XR_003477224.1	-	XM_027374400.1	-	2_D	not_DE	0	7.424	alpha/beta-gliadin A-III-like%2C transcript variant X2
XR_003477224.1	-	XM_027374401.1	-	3_D	DE	3	7.424	alpha/beta-gliadin A-III-like%2C transcript variant X3
XR_003477224.1	-	XM_027374403.1	+	4_D	DE	3	35.123	alpha/beta-gliadin A-III-like
XR_003477224.1	-	XM_027374402.1	-	5_D	DE	2	44.832	alpha/beta-gliadin A-III-like%2C transcript variant X4
XR_003476732.1	-	XM_027368721.1	+	1_U	not_DE	0	71.269	ubiquitin-like domain-containing CTD phosphatase 1
XR_003476732.1	-	XM_027368715.1	+	2_U	not_DE	0	155.01	keratin%2C type II cytoskeletal 1-like
XR_003476732.1	-	XM_027368722.1	+	1_D	not_DE	0	135.863	uncharacterized LOC113816668
XR_003476732.1	-	XM_027368716.1	+	2_D	not_DE	0	155.466	uncharacterized LOC113816657
XR_003476732.1	-	XM_027368717.1	+	3_D	not_DE	0	296.583	deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like
XR_003476732.1	-	XM_027368723.1	+	4_D	not_DE	0	381.122	mitochondrial ribonuclease P catalytic subunit-like%2C transcript variant X1
