Contig	lncRNA_ID	lncRNA_strand	mRNA_ID	mRNA_strand	DE_status	mRNA_Position	distance_Kb	product
NW_020868731.1	XR_003475491.1	+	XM_027353948.1	+	not DE	1_D	8.130	sodium- and chloride-dependent GABA transporter 2-like
NW_020868731.1	XR_003475491.1	+	XM_027353946.1	+	not DE	2_D	36.529	uncharacterized LOC113803225
NW_020868731.1	XR_003475491.1	+	XM_027353947.1	-	not DE	3_D	49.184	vegetative cell wall protein gp1-like
NW_020868731.1	XR_003475491.1	+	XM_027353949.1	-	not DE	4_D	55.528	sodium-dependent proline transporter-like
NW_020872767.1	XR_003474985.1	-	XM_027351556.1	+	not DE	1_U	44.204	integumentary mucin A.1-like
NW_020872767.1	XR_003474985.1	-	XM_027351555.1	-	not DE	2_U	58.551	AT-rich interactive domain-containing protein 1A-like
NW_020872767.1	XR_003474985.1	-	XM_027351559.1	-	not DE	3_U	69.292	integumentary mucin A.1-like
NW_020872767.1	XR_003474985.1	-	XM_027351558.1	+	not DE	4_U	80.882	ATP-binding cassette sub-family A member 3-like
NW_020872767.1	XR_003474985.1	-	XM_027351560.1	-	not DE	1_D	13.610	neurexin-1-like
NW_020868938.1	XR_003475652.1	-	XM_027355912.1	-	not DE	1_U	24.428	uncharacterized LOC113804999
NW_020868938.1	XR_003475652.1	-	XM_027355913.1	+	not DE	2_U	36.414	pre-mRNA-splicing factor ISY1 homolog
NW_020868938.1	XR_003475652.1	-	XM_027355920.1	-	DE	3_U	42.617	FHA domain-containing protein DDL-like
NW_020868938.1	XR_003475652.1	-	XM_027355911.1	+	not DE	4_U	55.605	uncharacterized LOC113804998
NW_020868938.1	XR_003475652.1	-	XM_027355910.1	+	not DE	5_U	111.398	transmembrane protein 216-like
NW_020868938.1	XR_003475652.1	-	XM_027355922.1	-	DE	1_D	0.211	smad nuclear-interacting protein 1-like
NW_020868938.1	XR_003475652.1	-	XM_027355923.1	-	not DE	2_D	15.563	FYVE and coiled-coil domain-containing protein 1-like
NW_020868938.1	XR_003475652.1	-	XM_027355914.1	+	not DE	3_D	158.382	uncharacterized LOC113805003%2C transcript variant X1
NW_020869451.1	XR_003476078.1	+	XM_027361416.1	+	not DE	1_U	8.209	uncharacterized LOC113809734
NW_020869451.1	XR_003476078.1	+	XM_027361415.1	+	not DE	2_U	383.517	uncharacterized LOC113809732
NW_020869451.1	XR_003476078.1	+	XM_027361414.1	+	not DE	3_U	386.259	ataxin-3-like
NW_020869451.1	XR_003476078.1	+	XM_027361421.1	+	not DE	4_U	415.289	uncharacterized LOC113809737%2C transcript variant X2
NW_020869451.1	XR_003476078.1	+	XM_027361413.1	+	not DE	5_U	512.475	uncharacterized PE-PGRS family protein PE_PGRS10-like
NW_020869451.1	XR_003476078.1	+	XM_027361422.1	-	not DE	1_D	6.569	protoheme IX farnesyltransferase%2C mitochondrial-like
NW_020869451.1	XR_003476078.1	+	XM_027361423.1	+	not DE	2_D	14.411	COP9 signalosome complex subunit 2
NW_020869451.1	XR_003476078.1	+	XM_027361424.1	-	not DE	3_D	23.688	GATA zinc finger domain-containing protein 1-like
NW_020869451.1	XR_003476078.1	+	XM_027361425.1	+	not DE	4_D	77.249	CAP-Gly domain-containing linker protein 1-like
NW_020869451.1	XR_003476078.1	+	XM_027361417.1	+	DE	5_D	96.014	probable replication factor C subunit 1
NW_020868524.1	XR_003477060.1	+	XM_027372108.1	-	not DE	1_U	27.525	uncharacterized LOC113819880
NW_020868524.1	XR_003477060.1	+	XM_027372131.1	+	not DE	2_U	40.769	cell surface glycoprotein 1-like
NW_020868524.1	XR_003477060.1	+	XM_027372119.1	+	not DE	3_U	43.816	uncharacterized LOC113819888
NW_020868524.1	XR_003477060.1	+	XM_027372142.1	+	not DE	1_D	0.711	carbohydrate sulfotransferase 11-like
NW_020868524.1	XR_003477060.1	+	XM_027372153.1	-	not DE	2_D	11.909	carbohydrate sulfotransferase 14-like
NW_020871018.1	XR_003477441.1	-	XM_027376496.1	-	not DE	1_U	80.165	apoptogenic protein 1%2C mitochondrial-like
NW_020871018.1	XR_003477441.1	-	XM_027376498.1	-	not DE	2_U	97.800	uncharacterized LOC113823812
NW_020871018.1	XR_003477441.1	-	XM_027376481.1	+	not DE	3_U	197.305	zinc finger and BTB domain-containing protein 17-like%2C transcript variant X2
NW_020871018.1	XR_003477441.1	-	XM_027376487.1	-	not DE	4_U	208.942	TBC1 domain family member 31-like
NW_020871018.1	XR_003477441.1	-	XM_027376494.1	+	not DE	5_U	229.496	protein TRC8 homolog
NW_020871018.1	XR_003477441.1	-	XM_027376497.1	+	not DE	1_D	25.538	cell cycle checkpoint protein RAD17-like
NW_020871018.1	XR_003477441.1	-	XM_027376478.1	-	not DE	2_D	33.488	alpha-1%2C2-mannosyltransferase ALG9-like
NW_020869846.1	XR_003476374.1	+	XM_027365129.1	+	DE	1_U	0.094	alpha-(1%2C3)-fucosyltransferase 7-like%2C transcript variant X3
NW_020869846.1	XR_003476374.1	+	XM_027365131.1	-	not DE	1_D	4.774	uncharacterized LOC113813176
NW_020869846.1	XR_003476374.1	+	XM_027365132.1	+	not DE	2_D	77.047	pollen-specific leucine-rich repeat extensin-like protein 2
NW_020869846.1	XR_003476374.1	+	XM_027365133.1	-	not DE	3_D	227.843	balbiani ring protein 1-like
NW_020869846.1	XR_003476374.1	+	XM_027365134.1	+	not DE	4_D	354.243	tolloid-like protein 2
NW_020868714.1	XR_003475483.1	+	XM_027353870.1	-	not DE	1_U	311.273	putative leucine-rich repeat-containing protein DDB_G0290503
NW_020868714.1	XR_003475483.1	+	XM_027353871.1	+	not DE	2_U	323.166	cytochrome P450 302a1%2C mitochondrial-like
NW_020868714.1	XR_003475483.1	+	XM_027353869.1	+	not DE	3_U	353.673	uncharacterized LOC113803143
NW_020868772.1	XR_003475525.1	-	XM_027354325.1	-	not DE	1_U	92.880	uncharacterized LOC113803537
NW_020868772.1	XR_003475525.1	-	XM_027354327.1	+	not DE	1_D	22.877	glycine receptor subunit alpha-3-like
NW_020868772.1	XR_003475525.1	-	XM_027354326.1	+	not DE	2_D	26.166	S-adenosylmethionine mitochondrial carrier protein-like
NW_020868439.1	XR_003476177.1	-	XM_027362830.1	-	not DE	1_U	16.178	PR domain zinc finger protein 4-like
NW_020868439.1	XR_003476177.1	-	XM_027362821.1	-	not DE	2_U	32.416	zinc finger protein PLAG1-like
NW_020868439.1	XR_003476177.1	-	XM_027362674.1	+	not DE	3_U	60.131	transmembrane protein 138-like%2C transcript variant X2
NW_020868439.1	XR_003476177.1	-	XM_027362583.1	+	not DE	4_U	81.620	uncharacterized LOC113810923
NW_020868439.1	XR_003476177.1	-	XM_027362602.1	+	DE	5_U	96.315	uncharacterized LOC113810935%2C transcript variant X2
NW_020868439.1	XR_003476177.1	-	XM_027362843.1	-	not DE	1_D	81.700	transmembrane protein 131-like
NW_020868439.1	XR_003476177.1	-	XM_027362696.1	+	DE	2_D	100.704	sideroflexin-1-like%2C transcript variant X2
NW_020868439.1	XR_003476177.1	-	XM_027362703.1	-	not DE	3_D	121.986	potassium voltage-gated channel protein Shaw-like
NW_020868439.1	XR_003476177.1	-	XM_027362713.1	-	not DE	4_D	273.332	uncharacterized LOC113811033
NW_020868439.1	XR_003476177.1	-	XM_027362728.1	-	not DE	5_D	279.411	uncharacterized LOC113811049
NW_020870204.1	XR_003476735.1	-	XM_027368719.1	-	not DE	1_U	33.370	serine/threonine-protein kinase pkn3-like
NW_020870204.1	XR_003476735.1	-	XM_027368709.1	-	not DE	2_U	41.116	serine/threonine-protein kinase pkn3-like
NW_020870204.1	XR_003476735.1	-	XM_027368729.1	-	not DE	3_U	383.737	uncharacterized LOC113816671
NW_020870204.1	XR_003476735.1	-	XM_027368728.1	+	not DE	4_U	409.115	uncharacterized LOC113816670
NW_020870204.1	XR_003476735.1	-	XM_027368708.1	+	not DE	5_U	657.827	uncharacterized LOC113816647
NW_020870204.1	XR_003476735.1	-	XM_027368731.1	-	not DE	1_D	5.035	dentin sialophosphoprotein-like%2C transcript variant X2
NW_020870204.1	XR_003476735.1	-	XM_027368733.1	+	not DE	2_D	129.005	cullin-4A-like
NW_020870204.1	XR_003476735.1	-	XM_027368734.1	+	not DE	3_D	144.028	uncharacterized LOC113816676
NW_020870204.1	XR_003476735.1	-	XM_027368735.1	-	not DE	4_D	149.806	small integral membrane protein 8-like
NW_020870204.1	XR_003476735.1	-	XM_027368737.1	+	DE	5_D	160.087	TATA-binding protein-associated factor 172-like
NW_020870381.1	XR_003476840.1	+	XM_027370497.1	+	not DE	1_U	9.543	proto-oncogene tyrosine-protein kinase receptor Ret-like
NW_020870381.1	XR_003476840.1	+	XM_027370469.1	-	not DE	1_D	3.864	protein tincar-like
NW_020870381.1	XR_003476840.1	+	XM_027370480.1	-	not DE	2_D	136.736	uncharacterized LOC113818298
NW_020870381.1	XR_003476840.1	+	XM_027370470.1	-	not DE	3_D	244.657	uncharacterized LOC113818287
NW_020870381.1	XR_003476840.1	+	XM_027370471.1	-	not DE	4_D	276.738	serine/threonine-protein kinase TNNI3K-like
NW_020870381.1	XR_003476840.1	+	XM_027370472.1	-	not DE	5_D	286.536	chymotrypsin BI-like
NW_020868786.1	XR_003475534.1	+	XM_027354449.1	-	not DE	1_U	40.043	facilitated trehalose transporter Tret1-like
NW_020868786.1	XR_003475534.1	+	XM_027354456.1	+	not DE	2_U	50.359	reticulocyte-binding protein 2 homolog a-like
NW_020868786.1	XR_003475534.1	+	XM_027354455.1	-	not DE	3_U	89.758	ankyrin repeat domain-containing protein 27-like
NW_020868786.1	XR_003475534.1	+	XM_027354454.1	-	not DE	4_U	97.459	thymidine kinase%2C cytosolic-like
NW_020868786.1	XR_003475534.1	+	XM_027354448.1	+	not DE	5_U	103.495	vacuolar protein-sorting-associated protein 25-like
NW_020868786.1	XR_003475534.1	+	XM_027354451.1	-	DE	1_D	15.432	alpha/beta-gliadin A-III-like%2C transcript variant X1
NW_020869844.1	XR_003476371.1	+	XM_027365097.1	-	not DE	1_U	1.407	homeobox protein TGIF2LX-like
NW_020869844.1	XR_003476371.1	+	XM_027365101.1	-	not DE	2_U	20.130	fringe glycosyltransferase-like
NW_020869844.1	XR_003476371.1	+	XM_027365096.1	-	not DE	3_U	74.312	histone H1.11L-like
NW_020869844.1	XR_003476371.1	+	XM_027365104.1	+	not DE	4_U	86.854	DNA repair protein RAD51 homolog 2-like
NW_020869844.1	XR_003476371.1	+	XM_027365095.1	-	not DE	5_U	101.638	uncharacterized LOC113813146
NW_020869844.1	XR_003476371.1	+	XM_027365098.1	+	DE	1_D	1.464	vitamin K-dependent protein C-like
NW_020869844.1	XR_003476371.1	+	XM_027365105.1	-	not DE	2_D	8.295	flotillin-1-like%2C transcript variant X1
NW_020869844.1	XR_003476371.1	+	XM_027365108.1	+	not DE	3_D	79.965	uncharacterized LOC113813160
NW_020869844.1	XR_003476371.1	+	XM_027365110.1	-	not DE	4_D	85.955	uncharacterized LOC113813161
NW_020869844.1	XR_003476371.1	+	XM_027365111.1	-	not DE	5_D	123.485	serine/threonine-protein phosphatase CPPED1-like
NW_020871249.1	XR_003477569.1	+	XM_027377806.1	+	not DE	1_U	24.039	facilitated trehalose transporter Tret1-like
NW_020871249.1	XR_003477569.1	+	XM_027377794.1	+	not DE	2_U	58.196	uncharacterized protein DDB_G0271670-like%2C transcript variant X2
NW_020871249.1	XR_003477569.1	+	XM_027377804.1	-	not DE	3_U	353.053	bax inhibitor 1-like
NW_020871249.1	XR_003477569.1	+	XM_027377803.1	+	not DE	4_U	356.487	innexin inx3-like
NW_020871249.1	XR_003477569.1	+	XM_027377801.1	+	not DE	5_U	378.173	alpha-protein kinase 1-like
NW_020871249.1	XR_003477569.1	+	XM_027377795.1	+	not DE	1_D	0.302	facilitated trehalose transporter Tret1-like
NW_020871249.1	XR_003477569.1	+	XM_027377797.1	+	not DE	2_D	109.249	keratin%2C type I cytoskeletal 9-like
NW_020871249.1	XR_003477569.1	+	XM_027377796.1	+	not DE	3_D	112.707	glycine-rich protein 5-like
NW_020871249.1	XR_003477569.1	+	XM_027377805.1	-	not DE	4_D	116.407	loricrin-like
NW_020868581.1	XR_003477528.1	-	XM_027377636.1	+	not DE	1_U	10.486	myrosinase-binding protein 2-like
NW_020868581.1	XR_003477528.1	-	XM_027377341.1	+	not DE	2_U	19.736	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
NW_020868581.1	XR_003477528.1	-	XM_027377227.1	-	not DE	3_U	98.629	uncharacterized LOC113824434%2C transcript variant X8
NW_020868581.1	XR_003477528.1	-	XM_027377573.1	+	not DE	4_U	137.575	cyclin-D1-binding protein 1 homolog
NW_020868581.1	XR_003477528.1	-	XM_027377166.1	-	not DE	5_U	173.782	longitudinals lacking protein-like
NW_020868581.1	XR_003477528.1	-	XM_027377379.1	-	not DE	1_D	26.450	microtubule-associated protein futsch-like%2C transcript variant X3
NW_020868581.1	XR_003477528.1	-	XM_027377390.1	-	not DE	2_D	65.567	cyclin-D1-binding protein 1 homolog
NW_020868581.1	XR_003477528.1	-	XM_027377643.1	+	not DE	3_D	80.687	transcription initiation protein SPT3 homolog
NW_020868581.1	XR_003477528.1	-	XM_027377410.1	+	not DE	4_D	106.338	histone-lysine N-methyltransferase set1-like
NW_020868581.1	XR_003477528.1	-	XM_027377402.1	-	not DE	5_D	114.048	hydroxyacid oxidase 1-like
NW_020870991.1	XR_003477391.1	-	XM_027376038.1	+	not DE	1_D	9.277	extensin-like
NW_020870991.1	XR_003477391.1	-	XM_027376039.1	+	not DE	2_D	29.511	uncharacterized LOC113823414
NW_020870991.1	XR_003477391.1	-	XM_027376040.1	+	not DE	3_D	30.663	uncharacterized LOC113823415
NW_020870991.1	XR_003477391.1	-	XM_027376041.1	-	not DE	4_D	35.094	uncharacterized LOC113823416
NW_020870991.1	XR_003477391.1	-	XM_027376043.1	-	not DE	5_D	39.163	uncharacterized LOC113823417
NW_020871108.1	XR_003477523.1	+	XM_027377211.1	+	not DE	1_U	49.128	beta-ureidopropionase-like%2C transcript variant X2
NW_020871108.1	XR_003477523.1	+	XM_027377229.1	+	not DE	2_U	76.988	uncharacterized LOC113824482
NW_020871108.1	XR_003477523.1	+	XM_027377216.1	-	not DE	3_U	87.006	SH3 domain-containing protein C23A1.17-like
NW_020871108.1	XR_003477523.1	+	XM_027377215.1	-	not DE	4_U	94.828	histone-lysine N-methyltransferase 2B-like
NW_020871108.1	XR_003477523.1	+	XM_027377213.1	-	not DE	5_U	102.103	iduronate 2-sulfatase-like%2C transcript variant X1
NW_020871108.1	XR_003477523.1	+	XM_027377224.1	+	not DE	1_D	2.378	platelet-derived growth factor receptor alpha-like
NW_020871108.1	XR_003477523.1	+	XM_027377217.1	+	DE	2_D	21.794	neurofilament light polypeptide-like
NW_020872250.1	XR_003477784.1	-	XM_027380968.1	+	not DE	1_U	52.576	protein pxr1-like
NW_020872250.1	XR_003477784.1	-	XM_027380970.1	+	not DE	1_D	71.019	uncharacterized LOC113828029%2C transcript variant X2
NW_020868774.1	XR_003475526.1	+	XM_027354340.1	+	not DE	1_U	8.337	coiled-coil domain-containing protein 93-like
