lncRNA_ID	lncRNA_strand	mRNA_ID	mRNA_strand	mRNA_position	DE_status	match_count	distance_Kb	product
XR_003477354.1	+	XM_027375392.1	+	1_U	DE	0	17.483 kb	uncharacterized LOC113822860
XR_003477354.1	+	XM_027375393.1	+	1_D	DE	3	2.901 kb	low affinity immunoglobulin epsilon Fc receptor-like
XR_003477354.1	+	XM_027375394.1	+	2_D	DE	3	29.969 kb	macrophage mannose receptor 1-like
XR_003476707.1	-	XM_027368482.1	+	1_U	not_DE	0	27.789 kb	uncharacterized LOC113816407
XR_003476707.1	-	XM_027368481.1	+	2_U	not_DE	0	32.934 kb	uncharacterized LOC113816406
XR_003476707.1	-	XM_027368479.1	-	3_U	not_DE	0	38.962 kb	uncharacterized LOC113816403%2C transcript variant X5
XR_003476707.1	-	XM_027368480.1	-	4_U	not_DE	0	62.050 kb	uncharacterized LOC113816405
XR_003476707.1	-	XM_027368473.1	-	5_U	not_DE	0	66.485 kb	uncharacterized LOC113816402
XR_003476707.1	-	XM_027368483.1	+	1_D	DE	3	1.960 kb	uncharacterized LOC113816409%2C transcript variant X1
XR_003476707.1	-	XM_027368486.1	-	2_D	not_DE	0	19.483 kb	tubulin alpha-1D chain-like
XR_003476707.1	-	XM_027368461.1	+	3_D	not_DE	0	35.777 kb	uncharacterized LOC113816392
XR_003476707.1	-	XM_027368487.1	+	4_D	DE	0	61.533 kb	mucin-5AC-like
XR_003476707.1	-	XM_027368488.1	+	5_D	not_DE	0	96.836 kb	HAUS augmin-like complex subunit 1
XR_003477734.1	+	XM_027380253.1	+	1_U	DE	3	37.943 kb	basic salivary proline-rich protein 2-like
XR_003477734.1	+	XM_027380252.1	-	2_U	not_DE	0	42.069 kb	cytochrome c oxidase subunit NDUFA4-like
XR_003477734.1	+	XM_027380251.1	+	3_U	DE	3	53.367 kb	protein maelstrom homolog
XR_003477734.1	+	XM_027380250.1	-	4_U	not_DE	0	65.407 kb	uncharacterized LOC113827370
XR_003477734.1	+	XM_027380245.1	+	5_U	DE	0	80.404 kb	uncharacterized LOC113827364
