lncRNA_ID	strand	contig	mRNA_ID	mRNA_Position	DE_status	direction	mRNA_strand	product	distance_Kb
XR_003477709.1	+	NW_020871871.1	XM_027379817.1	1_D	not DE	downstream	-	transmembrane and TPR repeat-containing protein 1-like	137.147 kb
XR_003477709.1	+	NW_020871871.1	XM_027379818.1	2_D	not DE	downstream	-	transmembrane and TPR repeat-containing protein 1-like	152.109 kb
XR_003477709.1	+	NW_020871871.1	XM_027379819.1	3_D	not DE	downstream	-	transmembrane and TPR repeat-containing protein 1-like	180.368 kb
XR_003477709.1	+	NW_020871871.1	XM_027379815.1	4_D	not DE	downstream	-	A disintegrin and metalloproteinase with thrombospondin motifs 7-like	402.887 kb
XR_003477709.1	+	NW_020871871.1	XM_027379820.1	5_D	not DE	downstream	-	A disintegrin and metalloproteinase with thrombospondin motifs 7-like	406.008 kb
XR_003477195.1	-	NW_020870769.1	XM_027374035.1	1_D	not DE	downstream	+	uncharacterized LOC113821531%2C transcript variant X1	41.309 kb
XR_003477195.1	-	NW_020870769.1	XM_027374032.1	2_D	DE	downstream	+	uncharacterized LOC113821528%2C transcript variant X1	90.252 kb
XR_003477195.1	-	NW_020870769.1	XM_027374034.1	3_D	not DE	downstream	+	succinate dehydrogenase assembly factor 4%2C mitochondrial-like	106.082 kb
XR_003476843.1	+	NW_020870383.1	XM_027370511.1	1_U	not DE	upstream	+	neuropeptide-like protein 30%2C transcript variant X1	3.373 kb
XR_003476843.1	+	NW_020870383.1	XM_027370510.1	2_U	DE	upstream	+	neuropeptide-like protein 30	11.097 kb
XR_003476843.1	+	NW_020870383.1	XM_027370499.1	3_U	not DE	upstream	-	uncharacterized LOC113818309	68.807 kb
XR_003476843.1	+	NW_020870383.1	XM_027370498.1	4_U	not DE	upstream	-	brachyurin-like	85.099 kb
XR_003476843.1	+	NW_020870383.1	XM_027370507.1	5_U	not DE	upstream	-	solute carrier family 25 member 45-like%2C transcript variant X1	96.791 kb
XR_003476843.1	+	NW_020870383.1	XM_027370512.1	1_D	DE	downstream	+	neuropeptide-like protein 30%2C transcript variant X1	1.825 kb
XR_003476843.1	+	NW_020870383.1	XM_027370513.1	2_D	not DE	downstream	+	neuropeptide-like protein 30	5.784 kb
XR_003476843.1	+	NW_020870383.1	XM_027370516.1	3_D	DE	downstream	+	neuropeptide-like protein 31%2C transcript variant X2	9.370 kb
XR_003476843.1	+	NW_020870383.1	XM_027370517.1	4_D	not DE	downstream	+	neuropeptide-like protein 30	13.381 kb
XR_003476843.1	+	NW_020870383.1	XM_027370500.1	5_D	not DE	downstream	-	uncharacterized aarF domain-containing protein kinase 1-like	38.676 kb
XR_003477224.1	-	NW_020870801.1	XM_027374466.1	1_U	DE	upstream	+	monocarboxylate transporter 8-like	8.588 kb
XR_003477224.1	-	NW_020870801.1	XM_027374464.1	2_U	not DE	upstream	-	uncharacterized LOC113821927	12.366 kb
XR_003477224.1	-	NW_020870801.1	XM_027374429.1	3_U	DE	upstream	+	activated Cdc42 kinase-like%2C transcript variant X3	27.287 kb
XR_003477224.1	-	NW_020870801.1	XM_027374463.1	4_U	not DE	upstream	+	auracyanin-B-like	109.056 kb
XR_003477224.1	-	NW_020870801.1	XM_027374412.1	5_U	not DE	upstream	-	peroxidasin-like	144.914 kb
XR_003477224.1	-	NW_020870801.1	XM_027374399.1	1_D	not DE	downstream	-	alpha/beta-gliadin A-III-like%2C transcript variant X1	7.424 kb
XR_003477224.1	-	NW_020870801.1	XM_027374403.1	2_D	DE	downstream	+	alpha/beta-gliadin A-III-like	35.123 kb
XR_003477224.1	-	NW_020870801.1	XM_027374396.1	3_D	DE	downstream	+	methyltransferase-like 26%2C transcript variant X1	147.686 kb
XR_003477224.1	-	NW_020870801.1	XM_027374408.1	4_D	DE	downstream	-	eukaryotic translation initiation factor 2-alpha kinase 1-like%2C transcript variant X1	179.950 kb
XR_003477224.1	-	NW_020870801.1	XM_027374404.1	5_D	not DE	downstream	-	ubiquitin carboxyl-terminal hydrolase 25-like%2C transcript variant X1	207.015 kb
XR_003477289.1	-	NW_020870865.1	XM_027374872.1	1_D	not DE	downstream	-	nascent polypeptide-associated complex subunit alpha%2C muscle-specific form-like	0.977 kb
XR_003477707.1	+	NW_020871871.1	XM_027379817.1	1_D	not DE	downstream	-	transmembrane and TPR repeat-containing protein 1-like	127.259 kb
XR_003477707.1	+	NW_020871871.1	XM_027379818.1	2_D	not DE	downstream	-	transmembrane and TPR repeat-containing protein 1-like	142.221 kb
XR_003477707.1	+	NW_020871871.1	XM_027379819.1	3_D	not DE	downstream	-	transmembrane and TPR repeat-containing protein 1-like	170.480 kb
XR_003477707.1	+	NW_020871871.1	XM_027379815.1	4_D	not DE	downstream	-	A disintegrin and metalloproteinase with thrombospondin motifs 7-like	392.999 kb
XR_003477707.1	+	NW_020871871.1	XM_027379820.1	5_D	not DE	downstream	-	A disintegrin and metalloproteinase with thrombospondin motifs 7-like	396.120 kb
