Contig	lncRNA_ID	lncRNA_strand	mRNA_ID	mRNA_strand	DE_status	mRNA_Position	distance_Kb	product
NW_020869121.1	XR_003475818.1	+	XM_027357882.1	-	not DE	1_U	34.893	galactosylceramide sulfotransferase-like%2C transcript variant X3
NW_020869121.1	XR_003475818.1	+	XM_027357869.1	+	not DE	2_U	42.094	cold shock domain-containing protein CG9705-like
NW_020869121.1	XR_003475818.1	+	XM_027357878.1	-	DE	3_U	65.440	protein KIAA0100-like
NW_020869121.1	XR_003475818.1	+	XM_027357867.1	-	DE	4_U	100.525	uncharacterized LOC113806698%2C transcript variant X1
NW_020869121.1	XR_003475818.1	+	XM_027357865.1	+	not DE	5_U	181.909	tubulin-specific chaperone cofactor E-like protein%2C transcript variant X5
NW_020869121.1	XR_003475818.1	+	XM_027357870.1	-	not DE	1_D	-0.571	uncharacterized LOC113806701
NW_020869121.1	XR_003475818.1	+	XM_027357871.1	-	not DE	2_D	13.395	protein O-linked-mannose beta-1%2C2-N-acetylglucosaminyltransferase 1-like
NW_020869121.1	XR_003475818.1	+	XM_027357879.1	+	not DE	3_D	24.837	proteoglycan 4-like
NW_020868524.1	XR_003477060.1	+	XM_027372108.1	-	not DE	1_U	27.525	uncharacterized LOC113819880
NW_020868524.1	XR_003477060.1	+	XM_027372131.1	+	not DE	2_U	40.769	cell surface glycoprotein 1-like
NW_020868524.1	XR_003477060.1	+	XM_027372119.1	+	not DE	3_U	43.816	uncharacterized LOC113819888
NW_020868524.1	XR_003477060.1	+	XM_027372142.1	+	not DE	1_D	0.711	carbohydrate sulfotransferase 11-like
NW_020868524.1	XR_003477060.1	+	XM_027372153.1	-	not DE	2_D	11.909	carbohydrate sulfotransferase 14-like
NW_020869611.1	XR_003476205.1	+	XM_027362866.1	+	not DE	1_U	160.055	probable CTD kinase subunit alpha homolog
NW_020869611.1	XR_003476205.1	+	XM_027362865.1	+	not DE	2_U	203.455	uncharacterized LOC113811185
NW_020869611.1	XR_003476205.1	+	XM_027362873.1	-	not DE	3_U	213.591	solute carrier family 25 member 35-like
NW_020869611.1	XR_003476205.1	+	XM_027362872.1	+	not DE	4_U	223.729	uncharacterized LOC113811190%2C transcript variant X3
NW_020869611.1	XR_003476205.1	+	XM_027362863.1	+	not DE	5_U	248.382	serine/threonine-protein kinase-like protein At3g51990
NW_020869611.1	XR_003476205.1	+	XM_027362875.1	+	not DE	1_D	146.039	heparan-alpha-glucosaminide N-acetyltransferase-like%2C transcript variant X1
