lncRNA_ID	lncRNA_strand	mRNA_ID	mRNA_strand	mRNA_position	DE_status	match_count	distance_Kb	product
XR_003475635.1	+	XM_027355799.1	+	1_U	not_DE	0	8.416 kb	diamine acetyltransferase 2-like
XR_003475635.1	+	XM_027355798.1	-	2_U	not_DE	0	38.526 kb	uncharacterized LOC113804887
XR_003475635.1	+	XM_027355797.1	+	3_U	DE	0	53.238 kb	uncharacterized LOC113804886
XR_003475635.1	+	XM_027355796.1	+	4_U	not_DE	0	163.102 kb	probable RNA methyltransferase Y17G7B.18
XR_003475635.1	+	XM_027355795.1	-	5_U	not_DE	0	175.400 kb	histidine-rich glycoprotein-like
XR_003475635.1	+	XM_027355789.1	+	1_D	DE	3	1.112 kb	endothelin-converting enzyme 2-like%2C transcript variant X1
XR_003475635.1	+	XM_027355791.1	+	2_D	DE	3	11.909 kb	location of vulva defective 1-like
XR_003475635.1	+	XM_027355800.1	+	3_D	not_DE	0	280.095 kb	keratin%2C type I cytoskeletal 10-like
XR_003476167.1	-	XM_027362490.1	+	1_D	DE	2	8.372 kb	uncharacterized LOC113810844%2C transcript variant X1
XR_003476167.1	-	XM_027362493.1	+	2_D	DE	0	16.832 kb	disintegrin and metalloproteinase domain-containing protein 29-like
XR_003476167.1	-	XM_027362495.1	+	3_D	not_DE	0	25.459 kb	uncharacterized LOC113810846%2C transcript variant X2
XR_003476167.1	-	XM_027362486.1	+	4_D	not_DE	0	74.212 kb	gibberellin-regulated protein 14-like
XR_003476167.1	-	XM_027362487.1	+	5_D	DE	1	379.329 kb	small nuclear ribonucleoprotein Sm D1-like
XR_003475516.1	-	XM_027354318.1	+	1_D	not_DE	0	95.857 kb	zinc finger FYVE domain-containing protein 21-like
XR_003475516.1	-	XM_027354287.1	-	2_D	not_DE	0	134.825 kb	ATP-dependent RNA helicase has1-like%2C transcript variant X2
XR_003475516.1	-	XM_027354288.1	+	3_D	not_DE	0	146.389 kb	ATP-dependent RNA helicase HAS1-like%2C transcript variant X1
XR_003475516.1	-	XM_027354296.1	+	4_D	DE	3	181.720 kb	uncharacterized LOC113803507%2C transcript variant X8
XR_003475516.1	-	XM_027354290.1	+	5_D	DE	1	189.684 kb	endochitinase-like
XR_003475634.1	+	XM_027355790.1	-	1_U	not_DE	0	98.413 kb	uncharacterized LOC113804875
XR_003475634.1	+	XM_027355746.1	-	2_U	DE	0	160.267 kb	isobutyryl-CoA dehydrogenase%2C mitochondrial-like
XR_003475634.1	+	XM_027355755.1	+	3_U	not_DE	0	169.236 kb	centromere protein X-like
XR_003475634.1	+	XM_027355736.1	-	4_U	DE	0	173.638 kb	barrier-to-autointegration factor-like
XR_003475634.1	+	XM_027355778.1	-	5_U	not_DE	0	186.546 kb	acyl-CoA dehydrogenase family member 9%2C mitochondrial-like
XR_003475523.1	-	XM_027354318.1	+	1_D	not_DE	0	91.538 kb	zinc finger FYVE domain-containing protein 21-like
