lncRNA_ID	strand	contig	mRNA_ID	mRNA_Position	DE_status	direction	mRNA_strand	product	distance_Kb
XR_003475609.1	+	NW_020868904.1	XM_027355539.1	1_U	not DE	upstream	+	endo-1%2C4-beta-xylanase B-like	50.245 kb
XR_003475609.1	+	NW_020868904.1	XM_027355538.1	2_U	not DE	upstream	-	extensin-like	243.684 kb
XR_003475609.1	+	NW_020868904.1	XM_027355533.1	3_U	DE	upstream	+	chaoptin-like	299.305 kb
XR_003475609.1	+	NW_020868904.1	XM_027355544.1	4_U	not DE	upstream	-	uncharacterized LOC113804660	365.205 kb
XR_003475609.1	+	NW_020868904.1	XM_027355540.1	1_D	not DE	downstream	-	cuticle protein 19-like	111.264 kb
XR_003475609.1	+	NW_020868904.1	XM_027355541.1	2_D	not DE	downstream	+	uncharacterized LOC113804657	319.235 kb
XR_003475609.1	+	NW_020868904.1	XM_027355542.1	3_D	not DE	downstream	-	tripartite motif-containing protein 59-like	444.488 kb
XR_003475609.1	+	NW_020868904.1	XM_027355536.1	4_D	DE	downstream	-	uncharacterized LOC113804650%2C transcript variant X3	453.956 kb
XR_003475609.1	+	NW_020868904.1	XM_027355537.1	5_D	not DE	downstream	-	MPN domain-containing protein-like	730.483 kb
XR_003476489.1	+	NW_020869983.1	XM_027366471.1	1_D	not DE	downstream	+	ornithine decarboxylase antizyme 1-like	2.073 kb
XR_003476489.1	+	NW_020869983.1	XM_027366472.1	2_D	DE	downstream	+	uncharacterized LOC113814442	38.050 kb
XR_003476489.1	+	NW_020869983.1	XM_027366475.1	3_D	DE	downstream	-	laminin subunit gamma-1-like%2C transcript variant X2	70.409 kb
XR_003476489.1	+	NW_020869983.1	XM_027366470.1	4_D	not DE	downstream	-	uncharacterized LOC113814436	162.307 kb
XR_003476489.1	+	NW_020869983.1	XM_027366476.1	5_D	not DE	downstream	-	bromodomain-containing protein 4-like	309.859 kb
XR_003477015.1	-	NW_020870513.1	XM_027371589.1	1_U	DE	upstream	+	phosphoenolpyruvate carboxykinase%2C cytosolic [GTP]-like	33.033 kb
XR_003477015.1	-	NW_020870513.1	XM_027371591.1	2_U	not DE	upstream	+	neurotrimin-like	73.075 kb
XR_003477015.1	-	NW_020870513.1	XM_027371590.1	1_D	not DE	downstream	+	serine hydroxymethyltransferase%2C cytosolic-like	72.507 kb
XR_003477015.1	-	NW_020870513.1	XM_027371596.1	2_D	not DE	downstream	-	cuticle protein 7-like	199.138 kb
XR_003477015.1	-	NW_020870513.1	XM_027371592.1	3_D	not DE	downstream	+	cuticle protein 21-like%2C transcript variant X1	221.260 kb
XR_003477015.1	-	NW_020870513.1	XM_027371595.1	4_D	not DE	downstream	+	uncharacterized LOC113819359	233.005 kb
XR_003477469.1	-	NW_020871061.1	XM_027376764.1	1_U	DE	upstream	+	integral membrane protein 2B-like%2C transcript variant X2	0.084 kb
XR_003477469.1	-	NW_020871061.1	XM_027376781.1	2_U	not DE	upstream	-	uncharacterized LOC113824039	40.565 kb
XR_003477469.1	-	NW_020871061.1	XM_027376780.1	3_U	not DE	upstream	+	proline-rich receptor-like protein kinase PERK8%2C transcript variant X2	42.427 kb
XR_003477469.1	-	NW_020871061.1	XM_027376778.1	4_U	not DE	upstream	+	uncharacterized LOC113824036	60.586 kb
XR_003477469.1	-	NW_020871061.1	XM_027376772.1	1_D	not DE	downstream	+	uncharacterized LOC113824031	83.430 kb
XR_003477469.1	-	NW_020871061.1	XM_027376770.1	2_D	not DE	downstream	-	uncharacterized LOC113824030	91.856 kb
XR_003477469.1	-	NW_020871061.1	XM_027376766.1	3_D	not DE	downstream	+	glycine-rich cell wall structural protein 1.0-like	126.975 kb
XR_003477469.1	-	NW_020871061.1	XM_027376767.1	4_D	not DE	downstream	+	armadillo repeat-containing protein 2-like	216.621 kb
XR_003477469.1	-	NW_020871061.1	XM_027376775.1	5_D	DE	downstream	-	uncharacterized LOC113824034	235.289 kb
XR_003476908.1	+	NW_020870418.1	XM_027370782.1	1_U	not DE	upstream	-	histone-lysine N-methyltransferase%2C H3 lysine-79 specific-like	12.358 kb
XR_003476908.1	+	NW_020870418.1	XM_027370793.1	2_U	DE	upstream	-	pollen-specific leucine-rich repeat extensin-like protein 1	13.516 kb
XR_003476908.1	+	NW_020870418.1	XM_027370792.1	3_U	not DE	upstream	-	uncharacterized LOC113818589	57.422 kb
XR_003476908.1	+	NW_020870418.1	XM_027370789.1	4_U	DE	upstream	-	obscurin-like	15.530 kb
XR_003476908.1	+	NW_020870418.1	XM_027370790.1	5_U	DE	upstream	-	obscurin-like	91.159 kb
XR_003476908.1	+	NW_020870418.1	XM_027370783.1	1_D	DE	downstream	-	obscurin-like	2.656 kb
XR_003476908.1	+	NW_020870418.1	XM_027370784.1	2_D	DE	downstream	-	uncharacterized LOC113818580	51.905 kb
