lncRNA_ID	strand	contig	mRNA_ID	mRNA_Position	DE_status	direction	mRNA_strand	product	distance_Kb
XR_003475635.1	+	NW_020868923.1	XM_027355799.1	1_U	not DE	upstream	+	diamine acetyltransferase 2-like	8.416 kb
XR_003475635.1	+	NW_020868923.1	XM_027355798.1	2_U	not DE	upstream	-	uncharacterized LOC113804887	38.526 kb
XR_003475635.1	+	NW_020868923.1	XM_027355797.1	3_U	DE	upstream	+	uncharacterized LOC113804886	53.238 kb
XR_003475635.1	+	NW_020868923.1	XM_027355796.1	4_U	not DE	upstream	+	probable RNA methyltransferase Y17G7B.18	163.102 kb
XR_003475635.1	+	NW_020868923.1	XM_027355795.1	5_U	not DE	upstream	-	histidine-rich glycoprotein-like	175.400 kb
XR_003475635.1	+	NW_020868923.1	XM_027355789.1	1_D	DE	downstream	+	endothelin-converting enzyme 2-like%2C transcript variant X1	1.112 kb
XR_003475635.1	+	NW_020868923.1	XM_027355791.1	2_D	DE	downstream	+	location of vulva defective 1-like	11.909 kb
XR_003475635.1	+	NW_020868923.1	XM_027355800.1	3_D	not DE	downstream	+	keratin%2C type I cytoskeletal 10-like	280.095 kb
XR_003476167.1	-	NW_020869562.1	XM_027362490.1	1_D	DE	downstream	+	uncharacterized LOC113810844%2C transcript variant X1	8.372 kb
XR_003476167.1	-	NW_020869562.1	XM_027362493.1	2_D	DE	downstream	+	disintegrin and metalloproteinase domain-containing protein 29-like	16.832 kb
XR_003476167.1	-	NW_020869562.1	XM_027362495.1	3_D	not DE	downstream	+	uncharacterized LOC113810846%2C transcript variant X2	25.459 kb
XR_003476167.1	-	NW_020869562.1	XM_027362486.1	4_D	not DE	downstream	+	gibberellin-regulated protein 14-like	74.212 kb
XR_003476167.1	-	NW_020869562.1	XM_027362487.1	5_D	DE	downstream	+	small nuclear ribonucleoprotein Sm D1-like	379.329 kb
XR_003475516.1	-	NW_020868767.1	XM_027354318.1	1_D	not DE	downstream	+	zinc finger FYVE domain-containing protein 21-like	95.857 kb
XR_003475516.1	-	NW_020868767.1	XM_027354287.1	2_D	not DE	downstream	-	ATP-dependent RNA helicase has1-like%2C transcript variant X2	134.825 kb
XR_003475516.1	-	NW_020868767.1	XM_027354288.1	3_D	not DE	downstream	+	ATP-dependent RNA helicase HAS1-like%2C transcript variant X1	146.389 kb
XR_003475516.1	-	NW_020868767.1	XM_027354296.1	4_D	DE	downstream	+	uncharacterized LOC113803507%2C transcript variant X8	181.720 kb
XR_003475516.1	-	NW_020868767.1	XM_027354290.1	5_D	DE	downstream	+	endochitinase-like	189.684 kb
XR_003475634.1	+	NW_020868366.1	XM_027355790.1	1_U	not DE	upstream	-	uncharacterized LOC113804875	98.413 kb
XR_003475634.1	+	NW_020868366.1	XM_027355746.1	2_U	DE	upstream	-	isobutyryl-CoA dehydrogenase%2C mitochondrial-like	160.267 kb
XR_003475634.1	+	NW_020868366.1	XM_027355755.1	3_U	not DE	upstream	+	centromere protein X-like	169.236 kb
XR_003475634.1	+	NW_020868366.1	XM_027355736.1	4_U	DE	upstream	-	barrier-to-autointegration factor-like	173.638 kb
XR_003475634.1	+	NW_020868366.1	XM_027355778.1	5_U	not DE	upstream	-	acyl-CoA dehydrogenase family member 9%2C mitochondrial-like	186.546 kb
