Contig	lncRNA_ID	lncRNA_strand	mRNA_ID	mRNA_strand	DE_status	mRNA_Position	distance_Kb	product
NW_020868786.1	XR_003475534.1	+	XM_027354449.1	-	not DE	1_U	40.043	facilitated trehalose transporter Tret1-like
NW_020868786.1	XR_003475534.1	+	XM_027354456.1	+	not DE	2_U	50.359	reticulocyte-binding protein 2 homolog a-like
NW_020868786.1	XR_003475534.1	+	XM_027354455.1	-	not DE	3_U	89.758	ankyrin repeat domain-containing protein 27-like
NW_020868786.1	XR_003475534.1	+	XM_027354454.1	-	not DE	4_U	97.459	thymidine kinase%2C cytosolic-like
NW_020868786.1	XR_003475534.1	+	XM_027354448.1	+	not DE	5_U	103.495	vacuolar protein-sorting-associated protein 25-like
NW_020868786.1	XR_003475534.1	+	XM_027354451.1	-	DE	1_D	15.432	alpha/beta-gliadin A-III-like%2C transcript variant X1
NW_020868907.1	XR_003475612.1	+	XM_027355552.1	+	DE	1_U	0.855	MAM domain-containing glycosylphosphatidylinositol anchor protein 1-like
NW_020868907.1	XR_003475612.1	+	XM_027355551.1	+	not DE	2_U	107.086	G8 domain-containing protein DDB_G0286311-like
NW_020868907.1	XR_003475612.1	+	XM_027355550.1	+	not DE	3_U	118.271	uncharacterized LOC113804670
NW_020870494.1	XR_003476985.1	-	XM_027371452.1	+	not DE	1_U	19.350	TBC1 domain family member 15-like
NW_020870494.1	XR_003476985.1	-	XM_027371448.1	+	DE	2_U	50.394	uncharacterized LOC113819202%2C transcript variant X2
NW_020870494.1	XR_003476985.1	-	XM_027371446.1	+	not DE	3_U	75.394	cell wall protein AWA1-like
NW_020870494.1	XR_003476985.1	-	XM_027371445.1	+	DE	4_U	88.232	muscle M-line assembly protein unc-89-like
NW_020870494.1	XR_003476985.1	-	XM_027371453.1	-	DE	1_D	20.478	proteasome subunit beta type-4-like
NW_020870494.1	XR_003476985.1	-	XM_027371451.1	+	not DE	2_D	32.633	mucin-12-like
NW_020870494.1	XR_003476985.1	-	XM_027371454.1	+	not DE	3_D	70.699	putative protein TPRXL
NW_020870494.1	XR_003476985.1	-	XM_027371455.1	+	DE	4_D	112.087	uncharacterized LOC113819207
NW_020870494.1	XR_003476985.1	-	XM_027371456.1	+	not DE	5_D	269.533	uncharacterized LOC113819208
NW_020870769.1	XR_003477195.1	-	XM_027374035.1	+	not DE	1_D	41.309	uncharacterized LOC113821531%2C transcript variant X1
NW_020870769.1	XR_003477195.1	-	XM_027374032.1	+	DE	2_D	90.252	uncharacterized LOC113821528%2C transcript variant X1
NW_020870769.1	XR_003477195.1	-	XM_027374034.1	+	not DE	3_D	106.082	succinate dehydrogenase assembly factor 4%2C mitochondrial-like
NW_020870204.1	XR_003476732.1	-	XM_027368721.1	+	not DE	1_U	71.269	ubiquitin-like domain-containing CTD phosphatase 1
NW_020870204.1	XR_003476732.1	-	XM_027368715.1	+	not DE	2_U	155.010	keratin%2C type II cytoskeletal 1-like
NW_020870204.1	XR_003476732.1	-	XM_027368722.1	+	not DE	1_D	135.863	uncharacterized LOC113816668
NW_020870204.1	XR_003476732.1	-	XM_027368716.1	+	not DE	2_D	155.466	uncharacterized LOC113816657
NW_020870204.1	XR_003476732.1	-	XM_027368717.1	+	not DE	3_D	296.583	deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like
NW_020870204.1	XR_003476732.1	-	XM_027368723.1	+	not DE	4_D	381.122	mitochondrial ribonuclease P catalytic subunit-like%2C transcript variant X1
NW_020870204.1	XR_003476732.1	-	XM_027368708.1	+	not DE	5_D	399.606	uncharacterized LOC113816647
NW_020869600.1	XR_003476190.1	-	XM_027362748.1	+	not DE	1_U	32.986	gamma-aminobutyric acid receptor alpha-like
NW_020869600.1	XR_003476190.1	-	XM_027362747.1	-	not DE	2_U	111.836	mucin-2-like
NW_020869600.1	XR_003476190.1	-	XM_027362743.1	+	DE	3_U	130.037	uncharacterized LOC113811073
NW_020869600.1	XR_003476190.1	-	XM_027362746.1	+	not DE	4_U	136.514	extensin-like
NW_020869600.1	XR_003476190.1	-	XM_027362749.1	-	not DE	1_D	138.726	SH3 domain-containing protein C23A1.17-like
NW_020869600.1	XR_003476190.1	-	XM_027362750.1	-	not DE	2_D	244.869	nucleolar protein 58-like
NW_020869600.1	XR_003476190.1	-	XM_027362751.1	-	not DE	3_D	360.961	uncharacterized LOC113811084
NW_020869600.1	XR_003476190.1	-	XM_027362754.1	+	DE	4_D	434.220	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like%2C transcript variant X1
NW_020869600.1	XR_003476190.1	-	XM_027362745.1	+	DE	5_D	446.586	uncharacterized LOC113811076
NW_020871006.1	XR_003477403.1	-	XM_027376303.1	-	DE	1_U	84.356	uncharacterized LOC113823614
NW_020871006.1	XR_003477403.1	-	XM_027376304.1	-	not DE	1_D	119.329	RPA-interacting protein B-like
NW_020870801.1	XR_003477224.1	-	XM_027374466.1	+	DE	1_U	8.588	monocarboxylate transporter 8-like
NW_020870801.1	XR_003477224.1	-	XM_027374464.1	-	not DE	2_U	12.366	uncharacterized LOC113821927
NW_020870801.1	XR_003477224.1	-	XM_027374429.1	+	DE	3_U	27.287	activated Cdc42 kinase-like%2C transcript variant X3
NW_020870801.1	XR_003477224.1	-	XM_027374463.1	+	not DE	4_U	109.056	auracyanin-B-like
NW_020870801.1	XR_003477224.1	-	XM_027374412.1	-	not DE	5_U	144.914	peroxidasin-like
NW_020870801.1	XR_003477224.1	-	XM_027374399.1	-	not DE	1_D	7.424	alpha/beta-gliadin A-III-like%2C transcript variant X1
NW_020870801.1	XR_003477224.1	-	XM_027374403.1	+	DE	2_D	35.123	alpha/beta-gliadin A-III-like
NW_020870801.1	XR_003477224.1	-	XM_027374396.1	+	DE	3_D	147.686	methyltransferase-like 26%2C transcript variant X1
NW_020870801.1	XR_003477224.1	-	XM_027374408.1	-	DE	4_D	179.950	eukaryotic translation initiation factor 2-alpha kinase 1-like%2C transcript variant X1
NW_020870801.1	XR_003477224.1	-	XM_027374404.1	-	not DE	5_D	207.015	ubiquitin carboxyl-terminal hydrolase 25-like%2C transcript variant X1
NW_020868581.1	XR_003477528.1	-	XM_027377636.1	+	not DE	1_U	10.486	myrosinase-binding protein 2-like
NW_020868581.1	XR_003477528.1	-	XM_027377341.1	+	DE	2_U	19.736	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
NW_020868581.1	XR_003477528.1	-	XM_027377227.1	-	DE	3_U	98.629	uncharacterized LOC113824434%2C transcript variant X8
NW_020868581.1	XR_003477528.1	-	XM_027377573.1	+	not DE	4_U	137.575	cyclin-D1-binding protein 1 homolog
